N	4gram	Losev_Dial_1	Istorich
1	в то время как	1	3
2	мы уже знаем что	1	2
3	все больше и больше	1	2
4	но мы уже знаем	1	2
5	до сих пор не	1	1
6	и т д если	1	1
7	и т д но	2	1
8	одно и то же	4	1
9	не что иное как	1	1
10	же можно сказать о	1	1
11	то же можно сказать	1	1
12	что миф не есть	1	1
13	и т д в	1	1
14	то это значит что	1	1
15	и тем не менее	1	1
16	с одной стороны и	2	1
17	и с другой стороны	2	1
18	и то и другое	2	1
19	не потому что он	1	1
20	и т д все	1	1
21	это не значит что	1	1
22	же можно сказать что	1	1
23	как один из видов	2	1
24	убежден в том что	1	1
25	есть не что иное	1	1
