N	3gram	Vygotskiy__3	Tragedij
1	в отличие от	1	2
2	в данном случае	2	2
3	и как бы	2	2
4	бросается в глаза	1	2
5	между этими двумя	1	2
6	о том что	3	2
7	и в самом	10	2
8	но все же	1	2
9	в том что	11	2
10	а между тем	1	1
11	возьмем ли мы	1	1
12	не только нет	1	1
13	в таком виде	2	1
14	в той же	1	1
15	что он не	1	1
16	мы понимаем что	1	1
17	и то что	3	1
18	и т п	5	1
19	может быть не	2	1
20	в применении к	1	1
21	но гораздо больше	1	1
22	во всяком случае	2	1
23	в высшей степени	1	1
24	смысле этого слова	2	1
25	всяких прикрас и	1	1
26	и в этом	3	1
27	по сравнению с	1	1
28	и при этом	1	1
29	что в таком	1	1
30	то что он	2	1
31	мы отнюдь не	1	1
32	не может быть	1	1
33	и все же	1	1
34	как и все	1	1
35	и вместе с	2	1
36	что в ней	1	1
37	согласиться с его	1	1
38	с самого начала	6	1
39	не только не	1	1
40	в самом деле	18	1
41	с тем и	1	1
42	к тому что	2	1
43	в стихах и	1	1
44	что именно на	1	1
45	в разговоре с	1	1
