N	2gram	Vinokur_Ku_2	Sotsiolo
1	все это	5	7
2	в том	19	5
3	в этом	18	5
4	и только	1	3
5	более чем	1	3
6	для нас	4	3
7	не только	20	3
8	и в	23	3
9	но ведь	1	3
10	не в	8	3
11	в его	5	3
12	как только	1	2
13	но и	7	2
14	конце концов	3	2
15	было бы	15	2
16	она может	1	2
17	должна быть	5	2
18	только в	5	2
19	дело не	2	2
20	по природе	1	2
21	далеко не	1	2
22	нужно было	1	2
23	в результате	4	2
24	тем более	1	2
25	том что	11	2
26	в частности	2	2
27	как будто	2	2
28	то что	9	2
29	главным образом	3	2
30	или даже	1	2
31	и что	8	2
32	еще не	5	2
33	только как	2	2
34	ведь это	1	2
35	таким образом	5	2
36	это и	3	2
37	в конце	4	2
38	что в	10	2
39	может быть	15	2
40	как бы	4	2
41	по отношению	1	2
42	очевидно что	2	2
43	по существу	5	2
44	то же	6	2
45	крайней мере	6	1
46	что все	5	1
47	противном случае	1	1
48	вряд ли	4	1
49	быть не	2	1
50	по себе	10	1
51	даже в	1	1
52	сама по	1	1
53	а вот	1	1
54	сказать и	1	1
55	в этой	6	1
56	тому что	1	1
57	отнюдь не	4	1
58	выходит за	2	1
59	будто в	1	1
60	какие же	1	1
61	этой области	4	1
62	на все	2	1
63	с другой	8	1
64	совокупность приемов	2	1
65	дает нам	2	1
66	только для	2	1
67	лучшем случае	3	1
68	это не	6	1
69	новые и	1	1
70	на этот	2	1
71	именно в	3	1
72	в чем	1	1
73	они ни	1	1
74	же по	1	1
75	все же	7	1
76	в противном	1	1
77	один из	5	1
78	и есть	2	1
79	перед нами	4	1
80	в то	4	1
81	кто не	1	1
82	хотелось бы	2	1
83	тем же	2	1
84	это дает	2	1
85	еще и	2	1
86	только то	1	1
87	тем что	3	1
88	в наше	2	1
89	и как	1	1
90	в процессе	3	1
91	что он	5	1
92	прежде всего	8	1
93	слова но	1	1
94	в них	4	1
95	так и	4	1
96	не было	4	1
97	одной стороны	1	1
98	те же	3	1
99	но только	4	1
100	и не	16	1
101	это вовсе	1	1
102	пишет он	2	1
103	никогда не	2	1
104	наше время	2	1
105	к вопросам	1	1
106	мы не	1	1
107	это как	1	1
108	же время	3	1
109	ничего не	4	1
110	между собою	1	1
111	и самым	1	1
112	и о	4	1
113	все эти	12	1
114	чуть ли	1	1
115	такие новые	1	1
116	именно на	1	1
117	как и	2	1
118	себе чтобы	1	1
119	бы в	1	1
120	с помощью	7	1
121	для этого	3	1
122	в настоящее	1	1
123	что автор	1	1
124	мы должны	2	1
125	в таких	3	1
126	в сущности	9	1
127	творчество в	1	1
128	в серьезных	1	1
129	против этого	1	1
130	образом в	2	1
131	конечно не	2	1
132	в связи	4	1
133	и его	3	1
134	в этих	1	1
135	место в	1	1
136	связи с	3	1
137	или не	1	1
138	в лучшем	3	1
139	хотя бы	9	1
140	в целом	1	1
141	монументальный труд	1	1
142	не может	9	1
143	в своей	2	1
144	только тогда	1	1
145	а в	3	1
146	тех кто	1	1
147	что она	3	1
148	о том	1	1
149	не значат	1	1
150	в области	11	1
151	и потому	2	1
152	же это	1	1
153	настоящее время	1	1
154	представить себе	2	1
155	в него	1	1
156	в котором	1	1
157	никак не	3	1
158	между ними	1	1
159	писатель как	1	1
160	темы и	2	1
161	оставаясь на	1	1
162	столь же	1	1
163	время в	1	1
164	всяком случае	5	1
165	не выходит	1	1
166	когда мы	1	1
167	в силу	7	1
168	слишком много	1	1
169	он говорит	1	1
170	в область	1	1
171	ни на	2	1
172	наука о	1	1
173	в конечном	2	1
174	не без	1	1
175	что это	7	1
176	у которых	1	1
177	вовсе не	9	1
178	ни были	3	1
179	ли не	2	1
180	доказательством этого	1	1
181	будет тем	1	1
182	с одной	2	1
183	что без	1	1
184	может служить	2	1
185	но не	6	1
186	у него	3	1
187	в виде	1	1
188	в данном	4	1
189	между тем	6	1
190	но как	1	1
191	два типа	1	1
192	и по	3	1
193	что на	4	1
194	конечном счете	2	1
195	по крайней	6	1
196	понимать что	1	1
197	и никак	1	1
198	и более	2	1
199	том и	1	1
200	во всяком	5	1
201	в каждом	1	1
202	они не	1	1
203	нам право	2	1
