N	2gram	Vinokur_Ku_1	EvropaiE
1	и в	24	37
2	в пределах	4	25
3	точки зрения	14	23
4	что в	17	21
5	не только	10	18
6	с точки	9	17
7	в то	2	16
8	то же	8	15
9	хотя бы	10	15
10	отношении к	1	15
11	в своем	3	14
12	но в	2	14
13	же время	2	14
14	в качестве	7	14
15	но и	6	14
16	и не	12	14
17	в этом	14	12
18	в их	3	11
19	в области	7	11
20	в том	30	11
21	так и	7	10
22	отнюдь не	1	9
23	в себе	3	9
24	только в	11	9
25	прежде всего	9	9
26	все более	1	9
27	не может	7	9
28	так же	4	9
29	т е	38	9
30	в смысле	2	9
31	в ее	1	8
32	думать что	1	8
33	было бы	15	8
34	в своей	2	8
35	к тому	5	8
36	между тем	5	8
37	с одной	1	8
38	одной стороны	1	8
39	также и	2	7
40	а также	1	7
41	того что	9	7
42	так как	9	7
43	с другой	7	7
44	как и	2	7
45	по своему	1	7
46	между прочим	2	7
47	может быть	13	6
48	и на	4	6
49	во всех	1	6
50	на то	4	6
51	том что	21	6
52	того чтобы	17	6
53	вовсе не	10	6
54	для того	16	6
55	и даже	3	6
56	как бы	7	6
57	с этой	2	6
58	то что	9	6
59	же как	1	5
60	которую мы	1	5
61	столь же	1	5
62	но не	5	5
63	не в	11	5
64	в россии	1	5
65	и по	1	5
66	к которым	1	5
67	но если	2	5
68	тем самым	4	5
69	как мы	1	5
70	со стороны	4	5
71	от этого	2	5
72	в частности	4	5
73	и потому	4	5
74	в той	5	5
75	этой точки	2	5
76	вопрос о	2	4
77	но даже	1	4
78	в некотором	1	4
79	в ней	6	4
80	в самом	10	4
81	во многих	2	4
82	то ни	1	4
83	того или	4	4
84	несмотря на	3	4
85	весьма вероятно	1	4
86	даже в	3	4
87	не имеет	2	4
88	и притом	1	4
89	в процессе	1	4
90	иными словами	4	4
91	той или	1	4
92	по себе	2	4
93	можно сказать	3	4
94	тем более	2	4
95	именно в	6	4
96	само по	1	4
97	или иной	3	4
98	не на	4	4
99	как это	3	4
100	для нас	2	4
101	сказать что	1	4
102	или иного	3	4
103	культуры в	1	4
104	в каком	2	4
105	в применении	1	3
106	в сфере	1	3
107	идет о	2	3
108	с более	1	3
109	бы и	2	3
110	в деле	1	3
111	на себя	3	3
112	и со	1	3
113	того же	4	3
114	время в	1	3
115	в общем	3	3
116	как в	4	3
117	когда он	3	3
118	всего лишь	1	3
119	в известном	1	3
120	но на	1	3
