N	3gram	Tiupa_Lite_2	Poddanst
1	в то же	9	7
2	то же время	9	7
3	в том что	5	4
4	с точки зрения	3	3
5	в сравнении с	2	3
6	с одной стороны	6	3
7	в том числе	2	2
8	одной стороны и	1	2
9	и в то	1	2
10	том что в	1	1
11	есть не более	1	1
12	и не может	1	1
13	в отличие от	1	1
14	с тем чтобы	1	1
15	за то что	2	1
16	тех пор пока	1	1
17	вместе с тем	1	1
18	и то что	1	1
19	для тех кто	1	1
20	для того кто	1	1
21	и наряду с	1	1
22	не только как	1	1
23	не в том	1	1
24	с другой стороны	4	1
25	из тех кто	1	1
26	не может быть	7	1
27	до тех пор	1	1
28	и не столько	1	1
29	в частности в	1	1
30	и не менее	1	1
31	что уже в	1	1
32	для того чтобы	1	1
33	тех кто не	1	1
34	на наш взгляд	3	1
35	том числе и	1	1
