N	3gram	Vygotskiy__6	VerxiiNi
1	вместе с тем	2	8
2	с одной стороны	1	7
3	с точки зрения	10	6
4	в том числе	1	5
5	до сих пор	3	5
6	друг с другом	5	5
7	для того чтобы	8	5
8	том числе и	1	4
9	главным образом в	1	3
10	точно так же	1	3
11	в конце концов	1	3
12	так же как	6	3
13	в связи с	2	3
14	тем не менее	1	3
15	в том что	19	3
16	с тем и	2	2
17	то же самое	6	2
18	те и другие	1	2
19	но все это	1	2
20	потому что и	1	2
21	в этом отношении	3	2
22	в значительной мере	2	2
23	с этой точки	1	2
24	по сравнению с	14	2
25	то что он	2	2
26	но вместе с	1	2
27	ничего общего с	1	2
28	этой точки зрения	1	2
29	с самого начала	7	2
30	той или иной	1	2
31	можно сказать что	6	2
32	на то что	4	2
33	и в этом	1	2
34	и того же	4	1
35	и все же	1	1
36	не может не	1	1
37	в широком смысле	1	1
38	в силу этого	1	1
39	состоит в том	2	1
40	одном и том	2	1
41	психологической точки зрения	1	1
42	с первого взгляда	1	1
43	по отношению к	10	1
44	в котором он	1	1
45	в самом деле	1	1
46	в настоящее время	1	1
47	одного и того	4	1
48	о том как	1	1
49	а потому что	1	1
50	по своему значению	1	1
51	обстоит дело с	1	1
52	совпадает с тем	1	1
53	и перейти к	1	1
54	и т.д то	1	1
55	до известной степени	2	1
56	сами по себе	1	1
57	что все эти	2	1
58	в первую очередь	3	1
59	с тем что	2	1
60	совершенно так же	1	1
61	на каждом шагу	1	1
62	в этот период	1	1
63	случае мы имеем	1	1
64	их отношение к	1	1
65	только в силу	2	1
66	в том или	1	1
67	в этой области	2	1
68	в данном случае	1	1
69	не потому что	1	1
70	в первом случае	3	1
71	выйти из этого	1	1
72	на этот раз	1	1
73	тот факт что	1	1
74	смысле этого слова	1	1
75	и том же	2	1
76	с психологической точки	1	1
77	и не могут	1	1
78	как показывает изучение	1	1
79	в отличие от	1	1
80	потому что в	1	1
81	дело не исчерпывается	1	1
82	этим дело не	1	1
83	а не как	1	1
84	в этом направлении	1	1
85	данном случае мы	1	1
86	друг к другу	3	1
87	иначе как на	2	1
88	с другой стороны	2	1
89	как бы в	1	1
90	но этим дело	1	1
91	с внутренней стороны	1	1
92	мы видели что	3	1
93	один и тот	1	1
94	не совпадает с	1	1
95	только то что	2	1
96	причину того что	1	1
97	но не с	1	1
98	не может быть	2	1
99	но с другой	1	1
100	что происходит в	1	1
101	в то время	6	1
102	в свою очередь	1	1
103	не только не	2	1
104	начинается с того	2	1
105	того что оно	1	1
106	в виде двух	1	1
107	после того как	1	1
108	друг друга а	1	1
109	все эти особенности	1	1
110	так как по	1	1
111	может быть в	1	1
112	что и в	1	1
113	точки зрения есть	1	1
114	только тогда когда	1	1
115	именно потому что	2	1
116	и тот же	1	1
