N	2gram	Propp_Morf_1	ViktorSh
1	и в	13	2
2	том что	4	2
3	в том	6	2
4	ни к	2	1
5	в другом	2	1
6	хотя бы	4	1
7	и не	12	1
8	и его	1	1
9	потому что	3	1
10	даже не	3	1
11	более чем	1	1
12	один пример	1	1
13	и то	1	1
14	же с	1	1
15	вызвать только	1	1
16	самом деле	4	1
17	веселовский с	1	1
18	к созданию	1	1
19	совершенно ясно	1	1
20	от других	2	1
21	главным образом	4	1
22	этом и	1	1
23	что способы	1	1
24	как же	2	1
25	то чего	1	1
26	их как	2	1
27	дело в	1	1
28	с большой	1	1
29	в частности	2	1
30	одно и	1	1
31	веселовского этот	1	1
32	в которых	2	1
33	только в	2	1
34	то же	7	1
35	других и	1	1
36	ясно что	5	1
37	так как	16	1
38	далеко не	5	1
39	к чему	3	1
40	не будем	4	1
41	но это	6	1
42	в этом	14	1
43	имеется в	3	1
44	на одном	1	1
45	по существу	12	1
46	к этому	3	1
