N	3gram	Tiupa_Disk_2	Problemy
1	с точки зрения	2	9
2	не может быть	3	8
3	в большинстве случаев	1	8
4	и не может	2	7
5	в пределах одного	1	6
6	по отношению к	4	5
7	то же время	5	5
8	к чужому слову	1	5
9	в то же	4	5
10	в самом деле	1	4
11	в том числе	1	4
12	то есть в	1	4
13	к себе самому	1	3
14	в отличие от	12	3
15	том числе и	1	3
16	с другой стороны	1	3
17	как и в	5	3
18	по своей природе	1	2
19	дело в том	2	2
20	того и другого	1	2
21	в том что	6	2
22	и в большинстве	1	2
23	друг на друга	1	2
24	о том что	3	2
25	в свое время	2	2
26	можно сказать что	1	2
27	в одном из	1	2
28	той или иной	3	2
29	двух точек зрения	1	2
30	в себе самом	1	2
31	но прежде всего	1	1
32	но в большинстве	1	1
33	при всей ее	1	1
34	в той или	1	1
35	по своей жанровой	1	1
36	прежде всего на	1	1
37	прежде всего в	1	1
38	в этом случае	2	1
39	одной стороны и	2	1
40	хвала и брань	1	1
41	и в то	1	1
42	между тем как	1	1
43	при этом не	1	1
44	такой же как	1	1
45	одно и то	2	1
46	лишь в одном	1	1
47	в значительной степени	1	1
48	не совпадает с	1	1
49	одному из этих	1	1
50	в данном случае	6	1
51	к своему собственному	1	1
52	с одной стороны	4	1
53	и то же	2	1
54	но при этом	2	1
55	хвалы и брани	1	1
56	а не как	1	1
57	во всяком случае	1	1
58	жизни то есть	1	1
59	так и в	3	1
60	и т.п в	1	1
61	с самого начала	1	1
62	в пределах одной	1	1
63	но в этом	1	1
64	героя никогда не	1	1
65	он как бы	1	1
66	чужой речи и	1	1
67	друг от друга	1	1
68	времени и пространства	1	1
69	в аристотелевском смысле	1	1
70	как и всякое	2	1
71	что он ничего	1	1
72	лицом к лицу	1	1
73	друг друга и	1	1
