N	3gram	Nazirov_Tr_1	TeoriaLi
1	в отличие от	2	7
2	в то же	5	6
3	в том что	2	6
4	то же время	5	6
5	в данном случае	2	5
6	тем не менее	1	3
7	как и в	1	2
8	не только не	1	2
9	в этом мире	1	2
10	не может быть	1	2
11	это и есть	1	1
12	в виду не	1	1
13	добро и зло	1	1
14	точно так же	2	1
15	эта встреча не	1	1
16	в связи с	1	1
17	но в то	2	1
18	говорит о его	1	1
19	позиции в мире	1	1
20	что он не	1	1
21	о том что	2	1
22	и как бы	2	1
23	ивана карамазова в	1	1
24	черт ивана карамазова	1	1
25	в этом случае	1	1
26	не могут быть	1	1
27	на вопрос о	1	1
28	и пусть пусть	1	1
29	том что он	1	1
30	и не быть	1	1
31	друг перед другом	1	1
32	не только к	1	1
33	а между тем	1	1
