N	3gram	Bakhtin_Pr_1	PoTuStor
1	с точки зрения	6	6
2	на самом деле	3	4
3	в чем не	2	3
4	в этом смысле	3	3
5	до сих пор	1	3
6	и художественного творчества	2	3
7	по сравнению с	1	3
8	не может быть	11	3
9	ни в чем	2	3
10	можно сказать что	2	3
11	в большинстве случаев	5	3
12	и может быть	1	2
13	по аналогии с	1	2
14	в нем нет	1	2
15	все и вся	1	2
16	в самом деле	3	2
17	не могут быть	2	2
18	в его целом	5	2
19	все то что	3	2
20	можно определить как	1	2
21	мы можем сказать	2	2
22	но отнюдь не	7	2
23	в конечном счете	4	2
24	и в этом	1	2
25	во всех его	4	2
26	и с его	2	2
27	не нуждается в	1	2
28	форму и содержание	1	1
29	все что угодно	1	1
30	и не должна	2	1
31	мы останавливаться не	1	1
32	а иногда и	1	1
33	не дает нам	1	1
34	не следует что	2	1
35	плотно со всех	1	1
36	дело в том	1	1
37	вообще не может	1	1
38	в нем и	1	1
39	художественного творчества и	3	1
40	подобно тому как	1	1
41	всех его моментах	1	1
42	и есть та	1	1
43	подлежит конечно никакому	1	1
44	то же самое	2	1
45	на первый план	2	1
46	дальше чем на	1	1
47	не имеют дела	1	1
48	ни в коем	2	1
49	связями между ними	1	1
50	конечно не может	1	1
51	бы то ни	3	1
52	не может иметь	1	1
53	и др и	1	1
54	в этом отношении	2	1
55	но несмотря на	1	1
56	и с физическим	1	1
57	можно было бы	3	1
58	не подлежит конечно	1	1
59	конечно не следует	1	1
60	и не нуждается	1	1
61	именно то что	1	1
62	со всех сторон	2	1
63	может быть только	3	1
64	полном согласии с	1	1
65	в коем случае	2	1
66	все снова и	1	1
67	со всеми его	1	1
68	не чем иным	1	1
69	в данном случае	4	1
70	никакому сомнению что	1	1
71	то ни было	2	1
72	с одной стороны	3	1
73	все что есть	1	1
74	в высшей степени	5	1
75	в связи с	1	1
76	и это касается	1	1
77	конечно никакому сомнению	1	1
78	в применении к	3	1
79	имеют дела с	1	1
80	имеем дело с	1	1
81	на один шаг	1	1
82	могут быть поняты	2	1
83	в свое время	1	1
84	в том что	3	1
85	жизни таким образом	1	1
86	из всего сказанного	1	1
87	с его помощью	1	1
88	только в этой	1	1
89	нет и быть	1	1
90	чем иным как	1	1
91	и пр в	1	1
92	так и в	2	1
93	его отношение к	1	1
94	чтобы войти в	1	1
95	войти в историю	1	1
96	это и есть	1	1
97	и прежде всего	5	1
98	что иное как	1	1
99	останавливаться не будем	1	1
100	чем на один	1	1
101	и как мы	1	1
102	в известной степени	2	1
103	и быть не	1	1
104	таким образом и	1	1
105	в полном согласии	1	1
106	в том смысле	1	1
107	не что иное	1	1
108	в основных чертах	1	1
109	и мы можем	1	1
110	быть не может	1	1
111	снова и снова	1	1
112	для того чтобы	2	1
113	можем сказать что	1	1
114	чрезвычайно характерно для	1	1
115	той или иной	2	1
116	мы еще не	1	1
