N	4gram	Bakhtin_Pr_3	SlovoVZh
1	бы то ни было	4	3
2	и по отношению к	1	3
3	но тем не менее	1	2
4	не может быть и	1	2
5	одно и то же	1	2
6	к слушателю и к	1	2
7	в такой же степени	2	1
8	все более и более	1	1
9	бы они ни были	1	1
10	но в то же	3	1
11	по отношению к слушателю	1	1
12	отношению к герою и	1	1
13	на самом же деле	1	1
14	и в этом смысле	1	1
15	в то же время	12	1
16	один и тот же	1	1
17	то же время не	2	1
18	по отношению к герою	1	1
19	в одном голосе двух	1	1
20	ни в чем не	2	1
21	какой бы то ни	1	1
