1	в том	17	33
2	том что	19	27
3	точки зрения	3	26
4	в развитии	1	26
5	то что	6	20
6	в этом	12	19
7	с точки	3	18
8	того что	4	17
9	и в	36	15
10	не только	22	15
11	что в	19	14
12	таким образом	6	14
13	что он	1	12
14	мы можем	2	10
15	было бы	1	10
16	но и	16	10
17	в целом	2	10
18	мы не	6	10
19	связи с	4	9
20	что мы	1	9
21	не может	4	9
22	не является	1	9
23	может быть	8	9
24	о том	8	9
25	в своем	3	9
26	если бы	1	8
27	и что	4	8
28	так и	7	8
29	во всяком	1	7
30	как бы	5	7
31	он не	1	7
32	к тому	4	7
33	потому что	10	7
34	мы знаем	1	7
35	тот же	1	7
36	и не	6	7
37	на основе	1	7
38	зависимости от	1	6
39	к выводу	2	6
40	в частности	2	6
41	что это	3	6
42	как это	8	6
43	в истории	1	6
44	вместе с	10	6
45	как известно	2	6
46	сказать что	1	6
47	но в	2	6
48	мы должны	2	6
49	в этой	1	6
50	к которому	1	6
51	мы уже	1	6
52	на то	1	6
53	как и	10	6
54	в связи	4	6
55	всяком случае	1	6
56	в виду	1	6
57	и к	3	6
58	на этот	3	6
59	самом деле	1	6
60	с таким	1	6
61	там где	2	6
62	по этому	3	6
63	точку зрения	1	6
64	по отношению	1	6
65	как мы	10	6
66	мы видели	1	6
67	как он	2	6
68	и их	4	5
69	все что	1	5
70	то же	3	5
71	приводит к	3	5
72	полагает что	6	5
73	во всей	1	5
74	уже в	1	5
75	и др	4	5
76	вопрос о	1	5
77	отношению к	1	5
78	по существу	4	5
79	показать что	1	5
80	можно было	1	5
81	связь между	2	5
82	тогда когда	1	5
83	представление о	3	5
84	этот вопрос	2	5
85	это не	10	5
86	несмотря на	3	4
87	того как	5	4
88	в которой	1	4
89	и его	1	4
90	для нас	6	4
91	все это	6	4
92	к этому	4	4
93	с в	4	4
94	мы видим	2	4
95	их в	3	4
96	том чтобы	1	4
97	по поводу	1	4
98	в качестве	3	4
99	что нам	1	4
100	в начале	1	4
101	что все	1	4
102	в совершенно	1	4
103	а с	4	4
104	только в	4	4
105	а в	9	4
106	так же	3	4
107	с его	1	4
108	в них	6	4
109	независимо от	2	4
110	который в	1	4
111	как в	5	4
112	переход от	2	4
113	не имеет	6	4
114	из этих	4	4
115	и с	2	4
116	все же	5	4
117	так как	15	4
118	и до	2	3
119	с собой	4	3
120	а не	2	3
121	когда он	2	3
122	что она	2	3
