N	2gram	Voloshinov_1	Formalny
1	и в	16	38
2	в этом	9	27
3	может быть	17	23
4	и его	8	21
5	и пр	12	21
6	таким образом	9	20
7	и не	4	20
8	в самом	2	16
9	прежде всего	9	15
10	не может	8	14
11	связи с	1	13
12	в нем	4	13
13	но и	4	13
14	в пределах	2	12
15	вовсе не	1	11
16	с тем	1	11
17	в том	3	11
18	с его	7	11
19	в связи	1	10
20	с помощью	2	10
21	с другими	3	10
22	в его	4	10
23	и с	8	9
24	как и	2	9
25	при этом	6	9
26	на почве	1	9
27	не только	7	9
28	все же	1	8
29	так и	4	8
30	точки зрения	8	8
31	что и	2	8
32	отнюдь не	4	8
33	самом деле	6	8
34	в своей	2	7
35	что в	3	7
36	для него	6	7
37	в корне	1	7
38	с точки	6	7
39	как мы	4	7
40	лишь в	1	7
41	уже не	1	7
42	этом отношении	1	7
43	не могут	2	7
44	все эти	5	6
45	все время	1	6
46	как раз	1	6
47	хотя бы	4	6
48	а в	3	6
49	вместе с	3	6
50	то же	2	6
51	он не	2	6
52	только в	4	6
53	в этой	4	6
54	могут быть	3	6
55	то что	3	6
56	и ее	4	6
57	а не	1	6
58	в ней	1	6
59	было бы	2	6
60	и только	9	5
61	во всяком	3	5
62	и для	2	5
63	во всех	3	5
64	сводится к	2	5
65	что же	1	5
66	еще более	1	5
67	говорить о	2	5
68	это и	1	5
69	с этим	2	5
70	всяком случае	3	5
71	в основе	3	5
72	если бы	1	5
73	в общем	3	5
74	что он	2	5
75	если мы	2	5
76	и наконец	4	4
77	что они	1	4
78	в большинстве	3	4
79	в некоторых	1	4
80	ничего не	1	4
81	все остальное	1	4
82	и теперь	3	4
83	одним словом	1	4
84	оно не	2	4
85	совершенно не	8	4
86	входит в	1	4
87	высшей степени	1	4
88	как они	1	4
89	за счет	2	4
90	и к	6	4
91	они не	2	4
92	к тому	1	4
93	что оно	2	4
94	в сущности	1	4
95	и даже	4	4
96	даже и	1	4
97	в высшей	1	4
98	но в	4	4
99	что не	2	4
100	известной степени	1	4
101	пр и	3	4
102	не следует	1	4
103	от нее	1	4
104	так как	4	4
105	к этому	2	4
106	как бы	5	4
107	отвлечься от	1	3
108	главным образом	1	3
109	и здесь	1	3
110	из этих	2	3
111	жизни и	3	3
112	от этого	1	3
113	значение и	1	3
114	для них	1	3
115	и их	4	3
116	большинстве случаев	3	3
117	и все	4	3
118	к нему	1	3
119	что это	2	3
120	мы не	2	3
121	то и	1	3
122	того чтобы	1	3
123	это приводит	1	3
124	менее всего	1	3
125	его в	4	3
126	из всего	1	3
127	языка который	1	3
128	смысла в	1	3
129	на самом	4	3
130	зависимости от	1	3
131	и прежде	1	3
132	следует что	1	3
133	своего развития	1	3
134	для того	1	3
135	роль в	1	3
136	том смысле	1	3
137	хотя и	1	3
138	и может	4	3
139	только и	2	3
140	и др	3	3
141	же как	2	3
142	а наоборот	1	3
143	мы знаем	3	3
144	но именно	1	3
145	не входит	1	3
146	и на	4	3
147	однако не	1	3
148	но ведь	2	3
149	с другой	1	3
150	по принципу	1	3
151	время и	1	3
152	все это	4	3
153	в области	3	3
154	это было	1	3
155	только на	3	3
156	без всякой	1	3
157	и как	3	3
158	как ее	1	3
159	не есть	2	3
160	к предмету	1	3
161	на один	1	2
162	борьба с	1	2
163	приводит к	1	2
164	смысл и	1	2
165	от всех	1	2
166	включая сюда	1	2
167	с нею	2	2
168	ведь именно	1	2
169	науки о	1	2
170	и то	1	2
171	обработке и	1	2
172	имеет значение	1	2
173	в каких	1	2
174	к другим	2	2
175	его помощью	1	2
176	явления и	1	2
177	один шаг	1	2
178	без исключения	1	2
179	с сыном	1	2
180	в конце	1	2
181	применении к	1	2
182	как это	3	2
183	та же	1	2
184	отношение к	5	2
185	схемой для	1	2
186	на язык	3	2
187	как его	1	2
188	в применении	1	2
189	совсем не	2	2
190	но не	1	2
191	с ним	2	2
192	этом смысле	3	2
193	его не	1	2
194	из него	1	2
195	с теми	1	2
196	но как	2	2
197	никогда не	2	2
198	времени и	1	2
199	что для	1	2
200	и других	2	2
201	в этих	3	2
202	самый предмет	1	2
203	не имеет	1	2
204	в качестве	1	2
205	ее в	2	2
206	и лишь	2	2
207	приходим к	1	2
208	что на	2	2
209	то ни	1	2
210	в чем	5	2
211	и о	2	2
212	ни в	5	2
213	находится в	2	2
214	сказать что	7	2
215	к сожалению	1	2
216	один из	2	2
217	лучше всего	1	2
218	же и	1	2
219	центр тяжести	1	2
220	он был	1	2
221	едва ли	3	2
222	по аналогии	2	2
223	со стороны	1	2
224	с ними	4	2
225	даже не	3	2
226	в виду	1	2
227	для этого	2	2
228	столь же	1	2
229	на первый	2	2
230	метода в	1	2
231	во всей	2	2
232	их в	3	2
233	и этим	2	2
234	между ними	3	2
235	она не	1	2
236	на этом	3	2
237	не будет	2	2
238	быть даже	1	2
239	для всего	1	2
240	дело обстоит	1	2
241	этих двух	1	2
242	самого начала	4	2
243	отметить что	1	2
244	первый план	1	2
245	с самого	4	2
246	в известной	1	2
247	основные тенденции	1	2
248	в систему	2	2
249	в развитии	2	2
250	уже в	1	2
251	в эпоху	1	2
252	формы и	1	2
253	и это	6	2
254	именно здесь	1	2
255	все остальные	2	2
256	отца с	1	2
257	и по	2	2
258	являются только	1	2
259	но это	2	2
260	том что	3	2
261	и форму	1	1
262	вступают в	1	1
263	как основа	1	1
264	момент в	2	1
265	и этот	2	1
266	составленных из	1	1
267	для всех	4	1
268	пр в	1	1
269	это может	1	1
270	развития именно	1	1
