N	2gram	Losev_Vlad_2	slovoVRo
1	и в	30	41
2	в нем	4	30
3	и т	1	28
4	то есть	7	26
5	т п	1	23
6	во всех	3	17
7	не только	12	16
8	и не	18	16
9	точки зрения	7	16
10	но и	8	16
11	а не	7	15
12	то же	4	14
13	и на	4	14
14	в то	9	14
15	и его	6	14
16	может быть	7	14
17	и др	1	14
18	не может	9	14
19	в сущности	2	13
20	в его	11	13
21	общего языка	1	13
22	в этом	20	12
23	до конца	7	12
24	же время	3	12
25	как бы	5	12
26	так и	5	11
27	язык и	1	10
28	в той	2	10
29	себя в	2	9
30	все эти	5	9
31	таким образом	3	9
32	точка зрения	1	8
33	как в	3	8
34	но в	8	8
35	на его	4	8
36	с точки	3	8
37	как мы	11	8
38	может не	1	8
39	прежде всего	6	8
40	отношение к	4	7
41	все же	9	7
42	в своей	5	7
43	не в	9	7
44	вовсе не	4	7
45	с ним	5	7
46	всех его	1	7
47	во всяком	6	7
48	того же	5	6
49	при этом	5	6
50	это не	2	6
51	в них	3	6
52	к своему	1	6
53	в отношении	3	6
54	только в	6	6
55	и даже	10	6
56	а в	11	6
57	отношении к	1	6
58	и к	6	5
59	в самом	2	5
60	он в	1	5
61	так сказать	1	5
62	т д	1	5
63	далеко не	1	5
64	всяком случае	6	5
65	все это	5	5
66	не на	2	5
67	к нему	2	5
68	еще более	3	5
69	одним из	1	4
70	по преимуществу	1	4
71	поэзии и	1	4
72	в ней	4	4
73	еще не	1	4
74	с его	4	4
75	перед нами	1	4
76	и наконец	4	4
77	в которой	4	4
78	всех этих	3	4
79	связанных с	1	4
80	и с	14	4
81	лишь в	1	4
82	как и	5	4
83	в их	2	4
84	речи в	1	4
85	том же	3	4
86	и для	3	4
87	ничего не	2	4
88	о нем	2	4
89	прямо и	2	4
90	все его	1	4
91	единого и	1	4
92	ли он	2	4
93	рядом с	1	4
94	и все	7	4
95	и потому	2	4
96	мы сказали	2	4
97	и от	2	4
98	в смысле	1	4
99	кроме того	9	4
100	здесь в	2	4
101	известной степени	1	4
102	и часто	2	4
103	быть и	1	4
104	также и	6	3
105	от всякой	2	3
106	единство и	2	3
107	следовательно в	1	3
108	данном случае	2	3
109	в своем	8	3
110	более или	3	3
111	бы и	1	3
112	из этих	3	3
113	выражение в	1	3
114	в себе	6	3
115	его но	1	3
116	и сам	2	3
117	конца и	1	3
118	и может	2	3
119	его в	4	3
120	было бы	9	3
121	он не	4	3
122	или менее	3	3
123	и ее	1	3
124	которые в	1	3
125	она не	2	3
126	не могло	1	3
127	следовательно и	1	3
128	никогда не	7	3
129	произведения как	1	3
130	и здесь	1	3
131	не могут	1	3
132	к тому	2	3
133	самого предмета	1	3
134	о том	4	3
135	и во	2	3
136	в него	1	3
137	того что	5	3
138	в том	18	3
139	поэтому и	1	3
140	языка у	1	3
141	в качестве	1	3
142	конечно не	4	3
143	и других	1	3
144	из них	1	3
145	его и	2	3
146	для него	9	3
147	так как	5	3
148	друг друга	2	3
149	у него	19	3
150	именно в	4	3
151	в свою	3	3
152	смысла и	1	3
153	не было	10	3
154	не были	1	3
155	с этим	5	3
156	в данном	3	3
157	по существу	3	3
158	с этой	4	3
159	в основном	5	3
160	при всем	1	3
161	в результате	5	3
162	хотя бы	3	3
163	из этого	5	3
164	в свое	1	3
165	но эти	1	3
166	смысле слова	1	2
167	не должны	1	2
168	например в	1	2
169	то в	5	2
170	в чисто	2	2
171	в котором	5	2
172	мы уже	2	2
173	той же	4	2
174	а как	1	2
175	мы не	2	2
176	из своих	1	2
177	время как	2	2
178	мы и	1	2
179	свою очередь	2	2
180	и то	5	2
181	по своему	2	2
182	но не	3	2
183	что они	1	2
184	сих пор	1	2
185	как к	2	2
186	хотя и	6	2
187	от этой	1	2
188	в целом	4	2
189	есть для	2	2
190	не могла	2	2
191	время и	1	2
192	одному из	1	2
193	они в	1	2
194	свои собственные	1	2
195	и единство	1	2
196	и по	2	2
197	на этом	2	2
198	всех своих	1	2
199	те же	3	2
200	на все	2	2
201	для них	1	2
202	нисколько не	2	2
203	том что	12	2
204	в этих	4	2
205	но он	3	2
206	без всяких	1	2
207	уже сказали	1	2
208	даже в	2	2
209	до известной	1	2
210	в самых	2	2
211	дело не	1	2
212	или вовсе	1	2
213	этого общего	1	2
214	для нас	7	2
215	в сознании	1	2
216	ему не	1	2
217	у нас	6	2
218	ни о	1	2
219	мы все	1	2
220	оно может	1	2
221	и о	4	2
222	но по	2	2
223	то время	6	2
224	при всех	1	2
225	так в	1	2
226	на том	1	2
227	можно было	2	2
228	не с	1	2
229	и вообще	10	2
230	можно сказать	4	2
231	а также	10	2
232	нас в	2	2
233	наконец в	3	2
234	здесь не	4	2
235	и тем	1	2
236	с которыми	4	2
237	так что	5	2
238	же и	2	2
239	связи с	8	2
240	уже не	3	2
241	если мы	1	2
242	только на	1	2
243	в виде	3	2
244	или даже	1	2
245	характерно что	1	2
246	в одном	1	2
247	с этими	1	2
248	для того	2	2
249	в последние	2	2
250	до сих	1	2
251	не есть	4	2
252	чем он	1	2
253	на которые	1	2
254	а на	1	2
255	с которым	2	2
256	что все	1	2
257	в частности	2	2
258	эти слова	1	2
259	так же	4	2
260	его как	1	2
261	такого рода	2	2
262	для понимания	1	2
263	рассказ в	1	2
264	должно быть	3	2
265	этом случае	1	2
266	как раз	1	2
267	тем и	1	2
268	и другим	1	2
269	имеет дело	1	2
270	и кроме	1	2
271	у них	1	2
272	разной степени	1	2
273	потому что	9	2
274	от всякого	1	2
275	между ними	1	2
276	с ней	2	2
277	сказать что	11	2
278	понимает и	1	2
279	бы его	2	2
280	языке а	1	2
281	к этому	6	2
282	как известно	1	1
283	тех же	1	1
284	в данную	1	1
285	и есть	2	1
286	от самого	1	1
287	речи на	1	1
288	и до	2	1
289	из его	2	1
290	действительности и	1	1
291	с таким	1	1
292	а напротив	1	1
293	его не	2	1
294	в несколько	1	1
295	слово во	1	1
296	для своего	1	1
297	мы имеем	1	1
298	что между	1	1
299	как из	1	1
300	именно к	3	1
301	место в	1	1
302	но она	1	1
303	совсем иное	1	1
304	и нераздельно	1	1
305	но даже	1	1
306	как впрочем	1	1
307	начала в	1	1
308	и он	4	1
309	языке в	2	1
310	он был	6	1
311	мы читаем	4	1
312	на их	1	1
313	бы то	1	1
314	этим не	1	1
315	без всякого	2	1
316	в в	1	1
317	но как	1	1
318	и сквозь	1	1
319	а только	1	1
320	со всеми	1	1
321	не все	1	1
322	в общем	2	1
323	менее всего	1	1
324	в новом	2	1
325	а через	1	1
326	отличие от	3	1
327	связи и	1	1
328	конечно совершенно	1	1
329	характер и	1	1
330	его на	3	1
331	в течение	5	1
332	первых двух	2	1
333	два дня	1	1
334	в очень	3	1
335	целый ряд	1	1
336	что по	1	1
337	его к	1	1
338	в действительности	1	1
339	и свою	1	1
340	в этот	1	1
341	о самом	1	1
342	него до	1	1
343	значительные произведения	1	1
344	в себя	1	1
345	в письмах	1	1
346	еще на	2	1
347	себе как	1	1
348	отношения с	1	1
349	так или	3	1
350	без учета	1	1
351	близости к	1	1
352	в этой	4	1
353	часто даже	1	1
354	следующего дня	1	1
355	на то	2	1
356	и если	4	1
357	все ее	1	1
358	что она	1	1
359	чем у	1	1
360	к одному	1	1
361	не к	1	1
362	жизнью и	1	1
363	тоже нет	1	1
364	мир как	1	1
365	по всем	1	1
366	есть еще	1	1
367	то ни	1	1
368	ним в	2	1
369	есть все	1	1
370	м а	4	1
371	является конечно	1	1
372	них не	1	1
373	заключается в	2	1
374	здесь как	1	1
375	есть не	1	1
376	особенно в	1	1
377	в свой	1	1
378	содержание и	1	1
379	в жизни	1	1
380	только одно	3	1
381	ни в	7	1
382	но уже	2	1
383	дни в	1	1
384	письмах и	1	1
385	этого не	2	1
386	его сознании	1	1
387	несмотря на	4	1
388	мы видели	2	1
389	чем в	1	1
390	на этот	4	1
391	и того	1	1
392	но если	1	1
393	от своего	1	1
394	поэтического творчества	1	1
395	а главное	1	1
396	к истории	1	1
397	и без	1	1
398	не столько	3	1
399	степени не	1	1
400	в отличие	3	1
401	в которых	1	1
402	может сделать	1	1
403	бы мы	1	1
404	которой они	1	1
405	нем он	1	1
406	мир и	1	1
407	есть его	2	1
408	но во	1	1
409	тем не	6	1
410	по крайней	4	1
411	однако в	2	1
412	и напряженной	1	1
413	то с	2	1
414	не менее	7	1
415	этими терминами	2	1
416	с теми	1	1
417	свое время	1	1
418	самого начала	1	1
419	правда в	2	1
420	далек от	1	1
421	вся та	1	1
422	ясность и	1	1
423	к такому	3	1
424	но только	1	1
425	того чтобы	2	1
426	может только	1	1
427	только не	1	1
428	на котором	2	1
429	дело в	3	1
430	связанное с	1	1
431	только и	3	1
432	в самой	1	1
433	оно станет	1	1
434	и лишь	1	1
435	его отношение	1	1
436	к концу	5	1
437	его можно	1	1
438	во всем	1	1
439	вот что	4	1
440	же он	1	1
441	не столь	1	1
442	этом отношении	1	1
443	в каком	1	1
444	к той	2	1
445	от последнего	1	1
446	к отдельным	1	1
447	очень часто	1	1
448	исходить из	2	1
449	все то	1	1
450	есть только	1	1
451	во все	1	1
452	например на	1	1
453	которая есть	2	1
454	он никогда	2	1
455	и это	3	1
456	россию и	1	1
457	в виду	2	1
458	нет никакой	1	1
459	смерти в	1	1
460	с самого	1	1
461	и совершенно	1	1
462	в нескольких	1	1
463	отправился на	1	1
464	того и	2	1
465	в споре	1	1
466	на которую	1	1
467	этим в	1	1
468	в субъективном	1	1
469	котором можно	1	1
470	был не	1	1
471	если бы	1	1
472	для этого	1	1
473	спор и	1	1
474	со стороны	4	1
475	все дело	1	1
476	сводится к	1	1
477	не был	2	1
478	за свое	1	1
479	и что	5	1
480	его жизни	6	1
481	притом в	1	1
482	в вопросах	1	1
483	как у	2	1
484	это было	4	1
485	борьба с	2	1
486	во втором	1	1
487	что и	3	1
488	крайней мере	4	1
489	которые он	1	1
490	совершенно невозможно	1	1
491	и она	2	1
492	в литературе	1	1
493	дней и	1	1
494	время в	4	1
495	в двух	2	1
496	конечно еще	1	1
497	более резко	1	1
498	тот же	5	1
499	могла быть	1	1
500	дело с	1	1
501	с каждым	1	1
502	бы из	1	1
503	те которые	1	1
504	на смертном	1	1
505	никак нельзя	3	1
506	не мешает	1	1
507	в эти	7	1
508	до наших	1	1
509	ведь в	1	1
510	сколько в	1	1
511	в указанном	2	1
512	в действительном	1	1
513	в начале	4	1
514	не принимает	1	1
515	слова не	1	1
516	в душе	1	1
517	ни с	2	1
518	сам он	1	1
519	и их	1	1
520	в первый	1	1
521	философского и	1	1
522	здесь перед	1	1
523	к ним	1	1
524	но что	5	1
525	дело и	1	1
526	только с	1	1
527	каждый из	1	1
528	лишь отдаленным	1	1
529	не просто	1	1
530	от того	1	1
531	нет и	1	1
532	совершенно разные	1	1
533	с общим	1	1
534	влияние на	1	1
535	или иначе	3	1
536	он работает	1	1
537	о своем	2	1
538	он часто	1	1
539	и прежде	2	1
540	же о	1	1
541	он считал	1	1
542	что не	2	1
543	что для	2	1
544	его из	1	1
545	из пределов	1	1
546	то и	1	1
547	был в	2	1
548	в разной	1	1
549	которых мы	1	1
550	ничем не	1	1
551	у немецких	1	1
552	своем месте	2	1
553	его по	1	1
554	о чем	6	1
555	и требования	1	1
556	на эту	2	1
557	что мы	1	1
558	он и	3	1
559	нет ничего	3	1
560	вместе с	8	1
561	до этого	1	1
562	эта идея	2	1
563	нужно отнести	1	1
564	и глубоко	1	1
565	обычно считают	1	1
566	мужа и	2	1
567	даже с	1	1
568	да и	3	1
569	в бесах	1	1
570	в это	4	1
571	день в	1	1
572	впрочем не	3	1
573	но это	4	1
574	между прочим	7	1
575	но с	1	1
576	беспорядочное и	1	1
577	в более	2	1
578	та часть	2	1
579	которых он	1	1
580	потому не	1	1
581	ему только	1	1
582	не исключают	1	1
583	общий язык	1	1
584	тем более	3	1
585	содержание их	1	1
586	части его	1	1
587	наивным и	1	1
588	от него	1	1
589	иное чем	1	1
590	разве только	1	1
591	пришлось бы	1	1
592	же в	2	1
593	есть уже	1	1
594	личности и	1	1
595	первый раз	1	1
596	отношением к	1	1
597	только как	1	1
598	от всех	1	1
599	равно как	1	1
600	письмо и	1	1
601	есть и	2	1
602	та же	1	1
603	на третьем	1	1
604	будучи в	1	1
605	этого второго	1	1
606	в какой	1	1
607	жизни и	6	1
608	и другие	1	1
609	в таком	3	1
610	они не	1	1
