N	3gram	Propp_Morf_1	Marksizm
1	с точки зрения	2	13
2	не может быть	9	10
3	по отношению к	4	8
4	в связи с	8	7
5	для того чтобы	2	6
6	в том что	3	6
7	может быть и	2	5
8	с самого начала	1	5
9	в большинстве случаев	3	5
10	бы то ни	3	4
11	то ни было	2	4
12	в точном смысле	1	4
13	и пр и	2	4
14	на самом деле	4	4
15	в таком случае	1	3
16	до сих пор	1	3
17	одно и то	1	3
18	с одной стороны	1	3
19	в высшей степени	1	3
20	и то же	1	3
21	о том что	1	3
22	к тому что	3	3
23	в противном случае	1	2
24	более или менее	2	2
25	том что он	1	2
26	ни в коем	1	2
27	в собственном смысле	3	2
28	в коем случае	1	2
29	во всяком случае	2	2
30	вне этой связи	1	2
31	все более и	1	2
32	собственном смысле слова	3	2
33	на то что	2	2
34	более и более	1	2
35	и ни к	1	1
36	и пр во-вторых	1	1
37	а вовсе не	1	1
38	может быть объяснено	1	1
39	можно говорить лишь	1	1
40	и более широкой	1	1
41	или же оно	1	1
42	в этом случае	8	1
43	обстоит дело с	1	1
44	тому что в	1	1
45	ни к чему	2	1
46	до известной степени	1	1
47	еще тем что	1	1
48	не ощущается как	1	1
49	как мы увидим	4	1
50	они вступают в	1	1
51	в этом отношении	1	1
52	независимо от того	3	1
53	но они не	1	1
54	к тому или	1	1
55	сущности вовсе не	1	1
56	лежат в основе	1	1
57	одна из них	1	1
58	и пр он	2	1
59	и в других	1	1
60	так же не	1	1
61	в сущности вовсе	1	1
62	тем не менее	4	1
63	не могут быть	2	1
64	приводит к тому	1	1
65	к чему не	2	1
66	с другой стороны	4	1
67	вовсе не с	1	1
68	и пр эта	1	1
69	но там оно	1	1
70	как бы они	1	1
71	точном смысле слова	1	1
72	в этом и	1	1
73	коем случае не	1	1
74	же оно может	2	1
75	и пр чем	1	1
76	то перед нами	5	1
77	ни одна из	1	1
78	но все же	3	1
79	можно сказать что	1	1
80	бы они ни	1	1
81	они ни были	1	1
82	что вопрос о	1	1
83	что он говорил	1	1
84	друг с другом	1	1
85	как и в	2	1
86	здесь как и	1	1
