N	3gram	Propp_Russ_2	Mirosoze
1	не может быть	3	17
2	вместе с тем	4	5
3	но и в	1	4
4	это и есть	1	4
5	потому что в	1	3
6	это не было	1	3
7	не может не	1	2
8	то время как	1	2
9	может быть принята	1	2
10	в то время	2	2
11	с тем он	1	2
12	для того чтобы	6	2
13	бросается в глаза	2	1
14	для него не	1	1
15	что иное как	2	1
16	потому что он	1	1
17	с этим связано	1	1
18	но она не	2	1
19	а иногда и	1	1
20	с одним из	1	1
21	к жизни в	1	1
22	может быть назван	1	1
23	в своей книге	2	1
24	напоминает так называемый	1	1
25	человека а не	1	1
26	в отличие от	3	1
27	но это не	1	1
28	и еще в	1	1
29	от них идет	1	1
30	может быть и	1	1
31	что она может	1	1
32	этот иной мир	1	1
33	во всех этих	1	1
34	во всяком случае	1	1
35	одним из самых	1	1
36	но не только	1	1
37	на этом основании	1	1
38	все это нужно	1	1
39	между тем как	1	1
40	и в том	1	1
41	решить вопрос о	2	1
42	с того что	1	1
43	и по своим	1	1
44	о том что	4	1
45	не что иное	2	1
46	и возвращается к	1	1
47	можно было бы	1	1
48	во многих отношениях	1	1
49	в том что	18	1
