N	2gram	Medvedev_B_1	Problema
1	и не	2	37
2	и в	1	35
3	не только	1	24
4	у нас	3	18
5	во всяком	1	13
6	никак не	1	11
7	прежде всего	1	11
8	что в	1	11
9	говорить о	1	10
10	еще не	1	10
11	всяком случае	1	10
12	а не	1	10
13	в данном	1	10
14	тем более	1	10
15	все же	1	8
16	было бы	1	8
17	так и	1	7
18	с другой	1	6
19	что все	1	6
20	по крайней	1	6
21	не о	1	6
22	как будто	1	6
23	крайней мере	1	6
24	в области	1	6
25	отнюдь не	1	5
26	и более	1	5
27	будто бы	1	5
28	можно было	2	5
29	и на	1	5
30	другой стороны	1	5
31	кроме того	1	5
32	на самом	1	4
33	не вполне	1	4
34	было говорить	1	4
35	не все	1	4
36	таким образом	1	4
37	далеко не	1	4
38	значение слова	1	4
39	и о	1	4
40	все это	2	4
41	вопрос о	1	3
42	не было	1	3
43	является только	1	3
44	в значительной	1	3
45	говорить об	1	3
46	в ней	2	2
47	не то	2	2
48	и ее	1	2
49	об этом	1	2
50	как некоторого	1	2
51	о них	1	2
52	совершенно не	1	2
53	должна быть	1	1
54	чтобы можно	1	1
55	спорно и	1	1
56	формализма и	1	1
57	остановиться на	1	1
58	бы только	1	1
59	не следует	1	1
60	же не	1	1
61	говорить не	1	1
62	сейчас в	1	1
63	то как	1	1
64	и меньше	1	1
65	совершенно недостаточны	1	1
66	по нашему	1	1
67	самом понятии	1	1
68	со всем	1	1
69	и во	1	1
70	ясного и	1	1
71	только одной	1	1
72	одной из	1	1
73	такое определение	1	1
74	темы как	1	1
75	было и	1	1
76	как часть	1	1
77	нашему мнению	1	1
78	до конца	1	1
79	представляется нам	1	1
80	в речи	1	1
81	и потому	1	1
82	в пределах	1	1
83	и нет	1	1
84	основное значение	1	1
