N	3gram	Vinokur_St_3	PoTuStor
1	с точки зрения	4	6
2	на самом деле	1	4
3	с самого начала	2	4
4	в этом смысле	4	3
5	до сих пор	2	3
6	и художественного творчества	1	3
7	по крайней мере	4	3
8	во всяком случае	4	3
9	не может быть	5	3
10	может быть это	3	3
11	можно сказать что	1	3
12	и может быть	1	2
13	в самом деле	1	2
14	о том что	4	2
15	на протяжении всей	1	2
16	и в этом	2	2
17	и с его	1	2
18	несколько слов о	1	1
19	одних и тех	1	1
20	то что я	2	1
21	а иногда и	1	1
22	следует заметить что	1	1
23	мы имеем в	2	1
24	он может быть	1	1
25	и др но	2	1
26	во многих случаях	1	1
27	то же самое	1	1
28	в этом отношении	4	1
29	можно было бы	1	1
30	а то и	1	1
31	как и всегда	1	1
32	именно то что	1	1
33	с этой точки	1	1
34	вместе с тем	1	1
35	и тех же	1	1
36	и со всеми	1	1
37	с одной стороны	2	1
38	в связи с	3	1
39	в году в	1	1
40	в применении к	1	1
41	а с другой	2	1
42	с ним и	1	1
43	в этом и	1	1
44	же самое и	1	1
45	в свое время	1	1
46	в том что	11	1
47	на вопрос о	1	1
48	этой точки зрения	1	1
49	и ни в	1	1
50	так как его	1	1
51	вместе с ним	1	1
52	и пр в	2	1
53	что в этой	2	1
54	его отношение к	1	1
55	связи с этим	1	1
56	в известной степени	1	1
57	тому как мы	1	1
58	на этом пути	1	1
59	в том смысле	2	1
60	только при таком	1	1
61	и что он	1	1
62	что в них	1	1
63	для того чтобы	1	1
64	мы сталкиваемся с	1	1
65	той или иной	1	1
66	для культурного сознания	1	1
