N	3gram	Propp_Morf_1	FransuaR
1	до сих пор	1	4
2	в связи с	8	4
3	на самом деле	4	3
4	а также и	3	3
5	для того чтобы	2	3
6	по отношению к	4	2
7	и в других	1	2
8	в этом отношении	1	2
9	мы увидим дальше	1	2
10	не может быть	9	2
11	до наших дней	2	2
12	в данном случае	1	2
13	о том что	1	2
14	можно сказать что	1	2
15	как и в	2	2
16	весь этот материал	1	1
17	или во всяком	1	1
18	оно может быть	2	1
19	подобно тому как	5	1
20	в настоящее время	3	1
21	в частности мы	1	1
22	и где начинается	1	1
23	о том как	1	1
24	в этом случае	8	1
25	с точки зрения	2	1
26	в таких случаях	2	1
27	еще тем что	1	1
28	для этой цели	1	1
29	бы то ни	3	1
30	но прежде чем	1	1
31	точном смысле слова	1	1
32	вместо того чтобы	1	1
33	в собственном смысле	3	1
34	все же в	1	1
35	может быть и	2	1
36	в первом случае	3	1
37	то ни было	2	1
38	в высшей степени	1	1
39	во втором случае	1	1
40	и в этой	1	1
41	то что он	1	1
42	во всяком случае	2	1
43	как мы увидим	4	1
44	в точном смысле	1	1
45	и как они	1	1
46	с другой стороны	4	1
47	может быть названа	1	1
48	в целом не	1	1
49	сих пор не	1	1
50	вряд ли можно	1	1
51	так как его	1	1
52	так например в	1	1
53	все эти явления	1	1
54	также связана с	1	1
55	связи с этим	4	1
56	с самого начала	1	1
57	они превращаются в	1	1
58	в этих условиях	1	1
59	мы имеем в	1	1
60	мы видим что	9	1
61	дана в форме	1	1
62	тех или иных	1	1
63	но все же	3	1
64	в том что	3	1
65	что и в	1	1
