N	2gram	Medvedev_B_1	VLabPisa
1	таким образом	1	27
2	и в	1	25
3	не только	1	22
4	и не	2	19
5	прежде всего	1	13
6	все это	2	12
7	с другой	1	11
8	об этом	1	9
9	что в	1	9
10	другой стороны	1	8
11	не следует	1	8
12	не было	1	7
13	а не	1	7
14	было бы	1	7
15	так и	1	6
16	художественного произведения	1	6
17	все же	1	5
18	в пределах	1	5
19	в своей	1	4
20	что все	1	4
21	художественном произведении	1	4
22	в значительной	1	3
23	и ее	1	3
24	у нас	3	3
25	никак не	1	3
26	далеко не	1	3
27	его не	1	3
28	говорить не	1	3
29	а о	1	2
30	еще не	1	2
31	говорить о	1	2
32	одной из	1	2
33	крайней мере	1	2
34	по крайней	1	2
35	во всяком	1	2
36	можно было	2	2
37	также что	1	2
38	между ними	1	2
39	отнюдь не	1	2
40	и потому	1	2
41	всяком случае	1	2
42	самом понятии	1	2
43	видеть в	2	2
44	не о	1	2
45	в книге	1	2
46	не вполне	1	2
47	будто бы	1	2
48	в области	1	2
49	в ней	2	2
50	творчества и	1	1
51	вопрос о	1	1
52	не присуща	1	1
53	моментом в	1	1
54	должна быть	1	1
55	кроме того	1	1
56	не признать	1	1
57	и во	1	1
58	забывать что	1	1
59	же не	1	1
60	совершенно не	1	1
61	то как	1	1
62	к ней	1	1
63	меньшей мере	1	1
64	нельзя не	1	1
65	не все	1	1
66	как будто	1	1
67	со всем	1	1
68	по меньшей	1	1
69	работа по	1	1
70	о свободе	1	1
71	свести к	1	1
72	является только	1	1
73	имеющихся у	1	1
74	их что	1	1
75	короче говоря	1	1
76	в данном	1	1
