N	3gram	Tiupa_Narr_1	Vladivir
1	о том что	6	7
2	в том что	8	7
3	в свое время	1	5
4	то что он	1	5
5	дело в том	1	4
6	в этом смысле	1	4
7	то же время	3	4
8	и то что	1	4
9	в то же	3	4
10	том что в	1	3
11	более или менее	2	3
12	с другой стороны	4	3
13	не может быть	5	3
14	как мы уже	1	3
15	один и тот	1	2
16	и в то	1	2
17	как мы увидим	1	2
18	у нас нет	1	2
19	в том чтобы	1	2
20	не только в	2	2
21	и тот же	1	2
22	в году в	1	2
23	можно сказать что	4	2
24	тем более что	1	2
25	тем не менее	3	2
26	том что он	1	2
27	к тому же	4	2
28	в его детских	1	1
29	что иное как	2	1
30	да и в	1	1
31	не спал всю	1	1
32	мы имеем дело	2	1
33	в самом деле	1	1
34	и в особенности	1	1
35	в том же	1	1
36	так и не	2	1
37	так и его	1	1
38	что у нее	1	1
39	как это было	1	1
40	бы то ни	3	1
41	только то что	1	1
42	как это часто	1	1
43	что не только	1	1
44	несмотря на свою	1	1
45	содержит в себе	1	1
46	в этом не	1	1
47	то ни было	3	1
48	с одной стороны	7	1
49	а именно с	1	1
50	в связи с	2	1
51	а также и	1	1
52	а с другой	1	1
53	имеем дело с	1	1
54	так или иначе	2	1
55	это часто бывает	1	1
56	и когда он	1	1
57	для большинства людей	1	1
58	тех кто не	1	1
59	есть не что	1	1
60	спал всю ночь	1	1
61	так и в	1	1
62	в свою очередь	3	1
63	и тем самым	3	1
64	и за границей	1	1
65	ему казалось что	1	1
66	но это не	1	1
67	в его жизни	1	1
68	не что иное	2	1
69	мысль о том	1	1
70	со стороны же	1	1
71	в себе не	1	1
72	на другой день	2	1
73	в этом отношении	3	1
