N	2gram	Ircho_Kome_3	ViktorSh
1	конце концов	2	2
2	и в	22	2
3	том что	13	2
4	в том	12	2
5	в конце	7	2
6	ничуть не	6	1
7	и только	1	1
8	крайней мере	1	1
9	тем более	4	1
10	в устах	1	1
11	под влиянием	2	1
12	ни к	1	1
13	в другом	2	1
14	хотя бы	4	1
15	и не	21	1
16	все время	2	1
17	и его	6	1
18	потому что	10	1
19	я не	1	1
20	даже не	3	1
21	более чем	5	1
22	сводится к	1	1
23	впрочем не	1	1
24	самом деле	6	1
25	все это	5	1
26	по поводу	1	1
27	этом и	1	1
28	в их	2	1
29	то чего	1	1
30	в частности	3	1
31	все то	1	1
32	не одно	1	1
33	столь же	3	1
34	образом из	1	1
35	в которых	5	1
36	сводится в	1	1
37	в самом	9	1
38	для них	1	1
39	только в	1	1
40	то же	7	1
41	юноши в	1	1
42	ясно что	6	1
43	так как	11	1
44	далеко не	3	1
45	чем к	2	1
46	в этом	8	1
47	да и	1	1
48	чем больше	1	1
49	по крайней	1	1
50	на одном	1	1
51	по существу	2	1
52	к этому	6	1
53	том же	1	1
