1	в этом случае	3	5
2	не может быть	4	5
3	о том что	2	5
4	и то что	5	4
5	мере того как	1	4
6	тем не менее	2	4
7	по мере того	1	4
8	до сих пор	5	4
9	то же самое	2	4
10	только тогда когда	1	4
11	можно сказать что	1	4
12	на то что	3	4
13	и т д	24	3
14	вместе с тем	1	3
15	внимание на то	1	3
16	мы не можем	1	3
17	в общих чертах	1	2
18	что иное как	3	2
19	то что она	1	2
20	после того как	2	2
21	не могут быть	1	2
22	не что иное	3	2
23	не в том	1	2
24	потому что мы	1	2
25	что и в	1	2
26	в данном случае	3	2
27	таким образом мы	1	2
28	в этих случаях	7	2
29	подобно тому как	1	2
30	на этот вопрос	2	2
31	в большинстве случаев	1	2
32	таким же образом	1	1
33	обращаем внимание на	1	1
34	но и в	1	1
35	и не может	1	1
36	с той же	1	1
37	этом случае мы	1	1
38	с ними в	1	1
39	и др в	1	1
40	мы можем предположить	1	1
41	выше мы видели	2	1
42	то что есть	1	1
43	легко заметить что	1	1
44	тогда как в	1	1
45	он может быть	1	1
46	если бы мы	1	1
47	это показывает что	1	1
48	есть период когда	1	1
49	может быть и	1	1
50	в связи с	2	1
51	но так как	1	1
52	видоизменение уже существующих	1	1
53	к тому что	1	1
54	то что как	1	1
55	и не только	1	1
56	ничего общего с	1	1
57	таким образом я	1	1
58	ответить на этот	1	1
59	то что по	1	1
60	мы видели что	3	1
61	может быть выяснена	1	1
62	смысле этого слова	2	1
63	при всей своей	1	1
64	что даже и	1	1
65	можем предположить что	1	1
66	может быть решен	1	1
67	только после того	1	1
68	точно так же	5	1
69	есть не что	1	1
70	же самое что	1	1
71	и дошли до	1	1
72	о том как	1	1
73	в том числе	1	1
74	очевидно что если	1	1
75	этот вопрос мы	1	1
76	предположить что это	1	1
77	мы должны признать	1	1
78	с другой стороны	4	1
79	в связь с	1	1
80	и вместе с	1	1
81	в котором нет	1	1
82	как и в	1	1
83	может быть только	1	1
84	чтобы ответить на	1	1
85	ему при этом	1	1
86	мы бы уже	1	1
87	тем что этот	1	1
88	отсюда видно что	1	1
89	в то время	1	1
90	не имеет никакого	1	1
91	здесь мы имеем	1	1
