N	3gram	Bakhtin_Pr_2	VelikijI
1	то что я	1	2
2	в нем нет	1	2
3	в том что	4	2
4	как бы и	1	2
5	сравнению с ними	1	1
6	но прежде всего	1	1
7	но все же	2	1
8	для него не	1	1
9	его и не	2	1
10	сознании и в	1	1
11	в этом мире	1	1
12	хотя бы и	2	1
13	с ним вот	2	1
14	по крайней мере	2	1
15	в нем но	1	1
16	в великом инквизиторе	1	1
17	все это как	1	1
18	в конце концов	3	1
19	и в этом	6	1
20	ее и в	1	1
21	в этих словах	1	1
22	с другой стороны	1	1
23	как бы в	2	1
24	но в атмосфере	1	1
25	по сравнению с	2	1
26	ивана карамазова и	1	1
27	проявляется и в	1	1
28	смысл жизни и	1	1
29	мы видим что	1	1
30	в жизни и	1	1
