N	3gram	Losev_Vesc_1	Mirosoze
1	не может быть	6	8
2	есть прежде всего	2	5
3	для того чтобы	2	4
4	что и в	1	4
5	что иное как	7	3
6	до сих пор	1	3
7	к тому что	2	3
8	так же как	1	3
9	у него нет	1	3
10	от того что	1	3
11	это и есть	1	3
12	потому что она	1	3
13	есть не что	5	3
14	не что иное	7	3
15	подобно тому как	4	2
16	в ней есть	1	2
17	с самим собою	2	2
18	есть один из	1	2
19	как бы его	1	2
20	в нем нет	1	2
21	т е в	7	2
22	не может уже	1	2
23	о том что	4	2
24	в том что	4	2
25	как и во	1	2
26	для него не	1	1
27	но что это	1	1
28	а следовательно и	1	1
29	она и есть	1	1
30	не мог бы	1	1
31	как и прежде	1	1
32	но с тем	1	1
33	есть у всех	2	1
34	ли сказать что	3	1
35	только тогда когда	2	1
36	нельзя было бы	2	1
37	что у них	1	1
38	можно ли сказать	3	1
39	с точки зрения	3	1
40	а не к	1	1
41	будет то что	2	1
42	сам по себе	3	1
43	с необычайной силой	1	1
44	то в чем	1	1
45	на что не	1	1
46	в себе и	1	1
47	только и возможно	1	1
48	в этом отношении	1	1
49	несет с собой	1	1
50	ни у кого	1	1
51	на то что	2	1
52	он думает что	1	1
53	не будет уже	1	1
54	она должна быть	1	1
55	для него –	1	1
56	по преимуществу есть	1	1
57	не потому что	4	1
58	не есть еще	2	1
59	не есть ни	3	1
60	по сравнению с	6	1
61	они должны быть	1	1
62	и есть не	2	1
63	во втором случае	1	1
64	думать что она	1	1
65	по природе своей	1	1
66	для этого нужно	2	1
67	ни на что	1	1
68	так как будто	1	1
69	есть не только	2	1
70	что у него	1	1
71	но так как	1	1
72	это не есть	1	1
73	что же такое	3	1
74	у нас все	1	1
75	сам в себе	1	1
76	что это –	2	1
77	не может существовать	1	1
78	хотя бы в	2	1
79	у нее нет	1	1
80	тут не только	1	1
81	но это –	3	1
82	сама по себе	3	1
83	может не быть	1	1
84	она не может	2	1
85	– все еще	1	1
86	в конце концов	2	1
87	это – очень	1	1
88	по своей природе	1	1
