N	3gram	Tiupa_Disk_2	Freidism
1	с точки зрения	2	11
2	по отношению к	4	8
3	во всяком случае	1	7
4	не может быть	3	7
5	в самом деле	1	6
6	в большинстве случаев	1	5
7	и прежде всего	2	5
8	то же время	5	4
9	в то же	4	4
10	в данном случае	6	4
11	можно сказать что	1	4
12	бы то ни	1	3
13	и той же	1	3
14	с самого начала	1	3
15	в конечном счете	1	3
16	одной и той	1	3
17	в чем не	1	2
18	что же касается	2	2
19	и не может	2	2
20	в отличие от	12	2
21	в предыдущей главе	1	2
22	так и в	3	2
23	не могут быть	1	2
24	а с другой	1	2
25	все то что	1	2
26	в этом отношении	4	2
27	ни в чем	1	2
28	во внешнем мире	1	2
29	то ни было	1	2
30	с одной стороны	4	2
31	тем не менее	1	2
32	том что в	1	1
33	и может быть	2	1
34	во всех основных	1	1
35	но прежде всего	1	1
36	к себе самому	1	1
37	говорит об этом	1	1
38	с самых ранних	1	1
39	как и всякое	2	1
40	равно как и	1	1
41	в этом случае	2	1
42	до известной степени	1	1
43	можно говорить о	1	1
44	друг на друга	1	1
45	только то что	1	1
46	по аналогии с	1	1
47	или по крайней	1	1
48	в этот период	1	1
49	самых ранних лет	1	1
50	в основе своей	2	1
51	по крайней мере	1	1
52	отнюдь не является	1	1
53	для данного высказывания	1	1
54	но в такой	1	1
55	на первый взгляд	2	1
56	в себя и	1	1
57	а также и	1	1
58	но при этом	2	1
59	как будто бы	1	1
60	приходит к выводу	1	1
61	так и с	1	1
62	в такой же	1	1
63	мысль о возможности	1	1
64	приходит в голову	1	1
65	и все же	3	1
66	все же остается	1	1
67	о том что	3	1
68	в пределах одной	1	1
69	речевой деятельности человека	1	1
70	может быть все	1	1
71	той или иной	3	1
72	обратим внимание на	1	1
73	как и ее	1	1
74	в том что	6	1
