N	3gram	Potebnia_M_2	VeschiIm
1	и т д	3	20
2	не может быть	2	18
3	бы то ни	1	9
4	то ни было	1	9
5	т д и	1	7
6	может быть только	1	6
7	по крайней мере	5	6
8	в том что	7	6
9	на то что	3	6
10	одно и то	2	5
11	и то же	2	5
12	в свою очередь	6	5
13	тем не менее	5	5
14	то же время	2	4
15	от того что	4	4
16	в то же	2	4
17	более или менее	8	3
18	подобно тому как	4	3
19	сам по себе	4	3
20	из того что	1	3
21	в собственном смысле	1	3
22	но если это	1	3
23	то и другое	4	3
24	вместе с тем	1	3
25	все же не	1	3
26	само по себе	2	3
27	сама по себе	2	3
28	вбирает в себя	2	3
29	мы говорим что	1	2
30	дело в том	1	2
31	но даже и	1	2
32	быть не только	1	2
33	как бы ни	3	2
34	о том как	1	2
35	что только в	1	2
36	с этой точки	1	2
37	только один из	1	2
38	того что она	1	2
39	есть не только	1	2
40	она могла бы	1	2
41	но в чем	1	2
42	крайней мере как	1	1
43	и того же	6	1
44	и может быть	2	1
45	уже перестает быть	1	1
46	что и та	1	1
47	а потому что	1	1
48	представим себе что	1	1
49	а потом уже	1	1
50	то что я	1	1
51	только потому что	2	1
52	имеет дело с	1	1
53	прежде всего на	1	1
54	их жизни и	1	1
55	что то же	1	1
56	далеко не все	1	1
57	это было бы	1	1
58	как и во	2	1
59	в этом смысле	2	1
60	есть прежде всего	2	1
61	можно сказать даже	1	1
62	том что он	1	1
63	между собою и	1	1
64	в этом случае	1	1
65	одной стороны и	1	1
66	у нас есть	1	1
67	что мы понимаем	1	1
68	до сих пор	4	1
69	и во всех	2	1
70	и не может	1	1
71	тот же корень	1	1
72	сами по себе	7	1
73	не может понять	1	1
74	не то что	1	1
75	по себе и	1	1
76	что не только	1	1
77	не знали что	1	1
78	та и другая	1	1
79	в себе никаких	1	1
80	и не в	1	1
81	и тем не	1	1
82	того что они	2	1
83	но само по	1	1
84	в применении к	1	1
85	то время как	3	1
86	не потому что	1	1
87	в том чтобы	1	1
88	между ними в	1	1
89	и есть нечто	1	1
90	мы не знаем	1	1
91	с одной стороны	3	1
92	смысле этого слова	3	1
93	было бы очень	1	1
94	и в этом	1	1
95	во втором случае	1	1
96	и звук и	2	1
97	или по крайней	2	1
98	и как бы	1	1
99	даже и в	1	1
100	в какое бы	1	1
101	не в том	2	1
102	в сознании в	1	1
103	внутренней и внешней	1	1
104	в с а	1	1
105	потому что слияние	1	1
106	понимать себя и	1	1
107	с другой стороны	2	1
108	есть уже в	1	1
109	например и в	1	1
110	на вопрос о	1	1
111	с чем бы	1	1
112	что они не	1	1
113	а в том	1	1
114	к другой но	1	1
115	в одном и	1	1
116	не есть нечто	1	1
117	тому как в	1	1
118	во всяком случае	7	1
119	так что мы	2	1
120	мы не можем	3	1
121	том смысле что	1	1
122	в то время	4	1
123	на этом основании	1	1
124	о том что	1	1
125	а а не	1	1
126	вопрос о том	1	1
127	но все же	1	1
128	таким образом можно	1	1
129	одного и того	6	1
130	для того чтобы	2	1
131	что оно не	1	1
132	в том смысле	4	1
133	в себе в	1	1
134	и та и	1	1
135	что и в	1	1
136	только тогда когда	2	1
