N	2gram	Berdyaev_N_1	Problema
1	и в	16	30
2	в своей	3	22
3	то что	4	18
4	не только	5	18
5	в этом	7	17
6	том что	2	17
7	и даже	2	14
8	людей и	1	13
9	потому что	4	13
10	но и	3	13
11	в его	1	12
12	в том	8	12
13	и не	11	12
14	о том	4	12
15	у него	2	11
16	в своем	1	11
17	в этой	1	10
18	и все	4	9
19	сказать что	3	9
20	только в	1	9
21	но в	2	9
22	который в	2	9
23	в конце	1	8
24	хотя и	2	8
25	как и	7	7
26	так и	2	7
27	не в	6	7
28	вместе с	2	7
29	никогда не	6	7
30	у нас	1	7
31	может быть	7	7
32	что он	1	7
33	но не	2	7
34	можно сказать	1	6
35	прежде всего	4	6
36	и для	4	6
37	в нем	5	6
38	а в	2	6
39	и его	1	6
40	уже не	2	6
41	другой стороны	2	6
42	и на	2	6
43	и что	2	6
44	с другой	3	6
45	так как	1	6
46	в которой	1	5
47	и с	2	5
48	но он	1	5
49	не может	16	5
50	так же	2	5
51	для себя	1	5
52	не менее	4	5
53	а не	17	5
54	с тем	3	5
55	что в	9	5
56	что этот	1	5
57	в силу	1	5
58	будто бы	1	5
59	в самом	1	5
60	и у	1	5
61	людей в	1	5
62	и их	1	5
63	еще в	1	5
64	он и	1	5
65	в себе	2	4
66	в период	1	4
67	того же	1	4
68	и вполне	1	4
69	но все	1	4
70	жизни в	3	4
71	свободы и	2	4
72	людей но	1	4
73	и к	5	4
74	в смысле	2	4
75	человека и	3	4
76	нового времени	12	4
77	в то	2	4
78	ни в	6	4
79	было бы	1	4
80	все еще	1	4
81	еще не	3	3
82	от своих	1	3
83	от этого	1	3
84	перейти к	3	3
85	то время	1	3
86	время как	2	3
87	для них	1	3
88	в ней	5	3
89	быть только	1	3
90	с ним	1	3
91	нет никакого	1	3
92	смысле слова	3	3
93	совсем не	12	3
94	знает что	1	3
95	этом смысле	2	3
96	в ее	3	3
97	все время	2	3
98	что его	1	3
99	для того	1	3
100	он не	8	3
101	в новое	3	3
102	в эпоху	9	3
103	новое время	4	3
104	не всегда	1	3
105	одной стороны	2	3
106	он в	1	3
107	с одной	2	3
108	жизнь в	1	3
109	к нему	1	3
110	есть только	1	3
111	и хочет	1	3
112	в духе	3	3
113	а также	1	3
114	как будто	2	3
115	в виду	1	3
116	все в	1	3
117	все эти	2	2
118	в значительной	1	2
119	еще до	2	2
120	и нет	1	2
121	власти и	1	2
122	во всяком	1	2
123	жизни и	8	2
124	и сейчас	1	2
125	рода и	1	2
126	значение и	1	2
127	равно как	2	2
128	не будет	7	2
129	земли и	1	2
130	не к	2	2
131	во времена	1	2
132	есть в	2	2
133	мира и	2	2
134	и которые	1	2
135	человеческой жизни	1	2
136	сих пор	1	2
137	это конечно	1	2
138	что не	1	2
139	и до	1	2
140	хотя бы	2	2
141	нет у	1	2
142	мы не	2	2
143	до сих	1	2
144	того чтобы	2	2
145	наряду с	3	2
146	в мир	1	2
147	сам человек	1	2
148	по своей	1	2
149	и только	1	2
150	истинного бога	2	2
151	свидетельствует о	1	2
152	ночь и	1	2
153	всяком случае	1	2
154	к тому	3	2
155	это не	4	2
156	духа в	2	2
157	они не	1	2
158	как в	3	2
159	в свою	1	2
160	нас и	1	2
161	в чем	1	2
162	это время	1	2
163	по себе	1	2
164	в атмосфере	1	2
165	такого рода	2	2
166	тем что	1	2
167	был уже	1	2
168	или к	1	2
169	в них	4	2
170	из всех	1	2
171	в котором	1	2
172	не могут	1	2
173	тоже не	1	2
174	в это	1	2
175	ли он	1	2
176	том числе	1	2
177	я не	2	2
178	только для	1	2
179	по существу	2	2
180	в области	1	2
181	не больше	1	2
182	человеческого духа	1	2
183	бога в	1	2
184	это уже	1	2
185	уже в	1	2
186	конечно не	3	2
187	из них	1	2
188	более всего	1	2
189	можно было	2	2
190	но для	2	2
191	гораздо больше	1	2
192	все что	1	2
193	и человека	1	2
194	и более	1	2
195	и из	1	1
196	в свои	2	1
197	который и	1	1
198	самоутверждения и	2	1
199	стремиться к	2	1
200	для всех	1	1
201	все свои	1	1
202	ни за	1	1
203	заложенных в	1	1
204	которую она	2	1
205	когда мы	2	1
206	огромное значение	1	1
207	которыми так	1	1
208	и вместе	1	1
209	во времени	1	1
210	вселенной а	1	1
211	от всякого	2	1
212	надеждой и	1	1
213	из этих	1	1
214	и а	1	1
215	с богом	1	1
216	богов он	1	1
217	и оно	1	1
218	возможно было	1	1
219	характерны для	1	1
220	было и	1	1
221	жизни с	1	1
222	на это	1	1
223	только потому	1	1
224	него и	1	1
225	в средневековой	1	1
226	в этот	1	1
227	есть принцип	1	1
228	всех народов	1	1
229	в религии	2	1
230	духа и	3	1
231	более высокому	1	1
232	большинстве случаев	1	1
233	не было	4	1
234	и жизни	1	1
235	зависит от	2	1
236	получает свое	1	1
237	человека это	1	1
238	числе и	1	1
239	все это	5	1
240	то он	1	1
241	она становится	1	1
242	в обществе	2	1
243	пришли к	1	1
244	же мере	1	1
245	в большинстве	1	1
246	нужно считать	1	1
247	на место	1	1
248	жизни это	1	1
249	и общественной	5	1
250	других людей	1	1
251	к самой	2	1
252	как это	2	1
253	свободу от	1	1
254	не были	1	1
255	он погружается	1	1
256	а на	1	1
257	с большим	1	1
258	нем не	1	1
259	не на	1	1
260	империи и	1	1
261	было то	1	1
262	женщины в	1	1
263	существования и	1	1
264	и просвещения	1	1
265	положительные черты	1	1
266	человеческого но	1	1
267	и всех	1	1
268	наше время	4	1
269	в образе	1	1
270	нуждается в	1	1
271	в космосе	1	1
272	в новой	7	1
273	ничем не	1	1
274	человек нового	1	1
275	верить в	3	1
276	между небом	1	1
277	имея в	1	1
278	превращается в	1	1
279	должны стремиться	1	1
280	освобождение и	1	1
281	человека не	1	1
282	становится в	1	1
283	эпоху падения	1	1
284	и очень	1	1
285	место более	1	1
286	из глубины	2	1
287	по природе	1	1
