N	3gram	Vinokur_Ku_1	TeoriaLi
1	по отношению к	8	8
2	в отличие от	1	7
3	в том что	15	6
4	то же время	2	6
5	в то же	2	6
6	так и не	1	5
7	того или иного	3	5
8	состоит в том	3	4
9	более или менее	3	4
10	а всего лишь	1	3
11	с другой стороны	6	3
12	тем не менее	4	3
13	в свою очередь	3	3
14	той или иной	1	3
15	в этом смысле	3	3
16	и того же	2	2
17	в сочетании с	1	2
18	в данный момент	1	2
19	в соответствии с	3	2
20	с точки зрения	9	2
21	тот или иной	1	2
22	в стилистическом отношении	1	2
23	при этом что	1	2
24	в противном случае	1	2
25	тогда как в	1	2
26	с одной стороны	1	2
27	и то же	1	2
28	а с другой	3	2
29	так или иначе	2	2
30	одно и то	1	2
31	то что они	1	2
32	и тем самым	1	2
33	одного и того	2	2
34	тех или иных	1	2
35	не может быть	3	2
36	но прежде всего	1	1
37	это уже не	1	1
38	и потому что	2	1
39	в виду не	1	1
40	этой точки зрения	2	1
41	это было бы	1	1
42	имеем в виду	1	1
43	в настоящее время	1	1
44	никак не может	1	1
45	в этом случае	2	1
46	первого из этих	1	1
47	могли бы служить	1	1
48	и в то	1	1
49	в таких случаях	1	1
50	в иных случаях	2	1
51	можно говорить о	1	1
52	существенно разнится от	1	1
53	состоит не в	1	1
54	точно так же	1	1
55	по крайней мере	5	1
56	в том случае	1	1
57	том случае если	1	1
58	едва ли не	1	1
59	в первом случае	1	1
60	к вопросу о	1	1
61	по большей части	2	1
62	это необходимо для	1	1
63	в связи с	3	1
64	исходит из того	1	1
65	еще и потому	1	1
66	в первую очередь	2	1
67	так же как	1	1
68	вследствие того что	1	1
69	только о том	1	1
70	здесь как бы	1	1
71	а в том	2	1
72	с этой точки	1	1
73	областями духовной культуры	1	1
74	о том что	5	1
75	в том-то и	1	1
76	и в слове	1	1
77	мы имеем в	1	1
78	мере в какой	5	1
79	в этих случаях	1	1
80	в большинстве случаев	1	1
81	та или иная	1	1
82	в том и	2	1
83	той мере в	5	1
84	в той мере	5	1
85	дело не в	1	1
86	для того чтобы	15	1
87	том что он	4	1
88	с совершенно иными	1	1
89	является как бы	1	1
