N	2gram	Medvedev_F_3	formyVre
1	и в	27	50
2	в романе	4	32
3	в этом	18	25
4	в нем	15	24
5	человека в	2	17
6	и его	19	16
7	в литературе	6	16
8	прежде всего	4	15
9	как мы	8	14
10	и не	30	14
11	в его	7	13
12	вовсе не	28	13
13	как раз	8	13
14	по существу	1	12
15	так и	21	12
16	человека и	2	11
17	то же	15	11
18	мы уже	3	11
19	таким образом	18	11
20	может быть	25	11
21	и как	4	10
22	но в	6	10
23	с его	2	9
24	все эти	6	9
25	роль в	4	9
26	не только	9	9
27	в то	7	9
28	ничего не	2	9
29	же время	7	9
30	в том	7	9
31	в конце	3	9
32	в других	1	9
33	и др	2	9
34	и т	11	8
35	того же	3	8
36	и на	3	8
37	в самом	11	8
38	ни в	8	8
39	т п	5	8
40	жизни в	3	8
41	но и	10	8
42	и их	5	8
43	как и	14	8
44	жизни и	4	8
45	это время	1	7
46	так сказать	5	7
47	и во	2	7
48	не было	1	7
49	в условиях	3	7
50	героя и	2	7
51	между двумя	1	6
52	время в	3	6
53	во всех	3	6
54	как в	4	6
55	с этим	1	6
56	все же	6	6
57	лишь в	9	6
58	это не	3	6
59	и того	1	6
60	в их	1	6
61	так как	9	6
62	с ее	2	6
63	в ее	4	6
64	в дальнейшем	5	6
65	связи с	5	6
66	в жизни	11	6
67	то что	8	6
68	в частности	1	6
69	не может	24	6
70	так же	9	6
71	в результате	5	6
72	и все	8	6
73	отношению к	3	5
74	и до	1	5
75	еще не	6	5
76	но не	5	5
77	и речи	2	5
78	отнюдь не	8	5
79	и у	1	5
80	не в	12	5
81	этот ряд	1	5
82	этот процесс	3	5
83	он не	1	5
84	всех этих	2	5
85	значение в	1	5
86	одного и	1	5
87	в основе	3	5
88	того чтобы	5	5
89	точки зрения	16	5
90	не могло	2	5
91	в разных	1	5
92	могут быть	4	5
93	но все	1	5
94	в пределах	8	5
95	если бы	12	5
96	романа в	3	5
97	для того	4	5
98	истории романа	1	5
99	в связи	4	5
100	в основном	2	5
101	что в	8	5
102	этого романа	2	4
103	и то	1	4
104	и это	2	4
105	уже указывали	1	4
106	мы и	3	4
107	в ней	5	4
108	в своем	2	4
109	конечно не	4	4
110	европейского романа	1	4
111	время и	1	4
112	и с	3	4
113	в них	3	4
114	том что	4	4
115	в котором	2	4
116	в процессе	15	4
117	потому что	7	4
118	здесь не	2	4
119	жизнь и	3	4
120	и следовательно	3	4
121	только в	8	4
122	характерно что	2	4
123	в роман	4	4
124	до конца	4	4
125	нет ничего	1	4
126	в той	3	4
127	все это	7	4
128	между собой	4	4
129	кроме того	1	4
130	и для	6	4
131	романе и	1	4
132	вполне понятно	1	4
133	том числе	1	4
134	отношения к	2	3
135	в движение	1	3
136	не имеют	1	3
137	в какой-то	1	3
138	есть не	1	3
139	мы не	4	3
140	в сущности	2	3
141	в виду	3	3
142	в быту	1	3
143	значение и	1	3
144	по отношению	3	3
145	себе и	1	3
146	искусстве и	1	3
147	хотя и	1	3
148	со своей	1	3
149	в себе	3	3
150	и те	4	3
