N	3gram	Vygotskiy__4	Tvorches
1	и т д	2	11
2	то же время	1	7
3	в то же	1	7
4	по отношению к	1	3
5	до сих пор	3	3
6	не может быть	1	3
7	в самом деле	7	2
8	и не может	1	2
9	в таком случае	1	2
10	и в то	1	2
11	по самой своей	1	2
12	на этот вопрос	1	2
13	в этой сцене	1	2
14	так же как	3	2
15	во всяком случае	3	2
16	с другой стороны	2	2
17	и т п	3	2
18	о том что	10	2
19	в том что	12	2
20	из этого рассказа	1	1
21	мы уже говорили	1	1
22	и он всегда	1	1
23	дело в том	1	1
24	о том как	2	1
25	же как и	1	1
26	то это означало	1	1
27	к королю лиру	1	1
28	имеет в виду	1	1
29	столь же ясно	1	1
30	перед мысленным взором	1	1
31	сами по себе	3	1
32	может быть в	1	1
33	а может быть	1	1
34	не может жить	1	1
35	что в нем	5	1
36	знаем что она	1	1
37	можно было бы	4	1
38	точно так же	3	1
39	со всех сторон	1	1
40	д все это	1	1
41	не то что	3	1
42	на наших глазах	1	1
43	и что в	3	1
44	только то что	1	1
45	же ясно что	1	1
46	в первый раз	3	1
47	берет в руки	1	1
48	романа в целом	1	1
49	ее связь с	2	1
50	и это совершенно	1	1
51	так что они	1	1
52	таком случае это	1	1
53	и в этом	3	1
54	он утверждает что	1	1
55	а с другой	1	1
56	он говорит что	2	1
57	в свою очередь	1	1
58	всего романа в	1	1
59	к тому же	2	1
60	т д все	1	1
61	и мы не	1	1
62	в целом ряде	1	1
63	потому что они	1	1
64	в третий раз	1	1
65	в то время	2	1
66	как мы узнаем	1	1
67	так например в	1	1
68	в нем нет	2	1
69	мы не можем	1	1
70	это и есть	3	1
71	ничего общего с	1	1
72	и если бы	1	1
73	и никогда не	1	1
74	с самого начала	5	1
75	в конечном счете	1	1
76	и всякий раз	1	1
77	мы узнаем в	1	1
78	вместе с автором	1	1
79	мы знаем что	1	1
80	или во всяком	1	1
81	это не просто	3	1
82	в предисловии к	1	1
83	героя и его	1	1
84	о том чтобы	1	1
85	на то чтобы	2	1
86	в глубине души	1	1
