N	3gram	Losev_Dial_3	Vvedenie
1	и т д	23	36
2	в том что	3	12
3	о том что	5	12
4	не может быть	6	8
5	тем не менее	10	8
6	до сих пор	1	6
7	в самом деле	5	6
8	в применении к	1	6
9	то же время	1	6
10	в то же	1	6
11	с другой стороны	2	5
12	что иное как	6	4
13	и в особенности	1	4
14	в этом отношении	1	4
15	по крайней мере	5	4
16	т е в	4	4
17	в данном случае	1	4
18	и в этом	2	4
19	так или иначе	2	4
20	во всяком случае	2	4
21	само по себе	5	4
22	не что иное	6	4
23	с одной стороны	3	4
24	одной стороны и	1	3
25	и тем не	2	3
26	и в том	1	3
27	сама по себе	4	3
28	и той же	1	2
29	не говоря уже	2	2
30	подобно тому как	4	2
31	то же самое	1	2
32	с точки зрения	14	2
33	то что остается	1	2
34	представить себе что	1	2
35	точно так же	2	2
36	не могут не	1	2
37	не могут быть	2	2
38	не в том	1	2
39	в связи с	1	2
40	а так как	1	2
41	есть не что	3	2
42	вовсе не в	1	2
43	одной и той	1	2
44	это не только	1	2
45	той или иной	2	2
46	не имеет своего	1	1
47	а потому что	1	1
48	и есть то	1	1
49	в подобных случаях	1	1
50	одна за другой	1	1
51	культуре т е	1	1
52	таком случае все	1	1
53	только потому что	1	1
54	потому что в	1	1
55	показывает что в	1	1
56	более или менее	1	1
57	имеем в виду	1	1
58	на самом деле	1	1
59	т е не	4	1
60	не имеет права	2	1
61	в этот вопрос	1	1
62	у меня в	1	1
63	за ее пределами	1	1
64	когда говорил что	1	1
65	в лучшем случае	1	1
66	говоря уже о	2	1
67	в таком случае	10	1
68	ее от прочих	1	1
69	сам по себе	5	1
70	но что такое	4	1
71	и которая в	1	1
72	не есть и	2	1
73	значит не только	1	1
74	и говорить о	1	1
75	может быть только	1	1
76	с этой точки	2	1
77	д словом все	1	1
78	в зависимости от	2	1
79	одно и то	2	1
80	самом деле есть	1	1
81	это не просто	1	1
82	уже о том	1	1
83	т д таким	1	1
84	тот факт что	1	1
85	так же как	2	1
86	это может быть	1	1
87	существует само по	1	1
88	точки зрения совершенно	1	1
89	а кроме того	1	1
90	то ни было	1	1
91	только как о	1	1
92	как на нечто	1	1
93	том что если	1	1
94	в виду когда	1	1
95	мы имеем в	1	1
96	на одной из	1	1
97	и то же	2	1
98	а именно как	1	1
99	ничего не может	1	1
100	было бы в	1	1
101	одно из двух	2	1
102	как целое как	1	1
103	который хотя и	1	1
104	бы то ни	1	1
105	и здесь именно	1	1
106	отношения к истории	1	1
107	ее становления и	1	1
108	случае не есть	2	1
109	когда мы говорим	1	1
110	иное как именно	1	1
111	этой точки зрения	2	1
112	нет никакого различия	1	1
113	от того что	1	1
114	и что такое	3	1
115	история должна быть	1	1
116	что в ней	1	1
117	связи с этим	1	1
118	того или иного	2	1
119	и никогда не	1	1
120	и прежде всего	3	1
121	что это есть	2	1
122	с этой стороны	1	1
123	и за ее	1	1
124	только тогда когда	3	1
125	и все прочие	1	1
126	т д словом	1	1
127	т д и	6	1
128	отсюда ясно что	1	1
129	как одна из	1	1
130	из этих двух	1	1
131	к тому что	2	1
132	не значит что	1	1
133	для того кто	3	1
134	в сравнении с	3	1
135	независимо от своего	1	1
136	история есть действительно	1	1
137	на нечто целое	1	1
138	все это не	1	1
139	из того что	2	1
140	д таким образом	1	1
141	и вопрос о	1	1
