1	и с	2	3
2	ничего не	1	2
3	в этом	13	2
4	должен быть	6	2
5	что в	5	2
6	и не	21	2
7	он не	3	2
8	по поводу	1	1
9	и в	18	1
10	по отношению	6	1
11	такого знания	1	1
12	если бы	3	1
13	вплоть до	1	1
14	а в	9	1
15	и сам	2	1
16	о жизни	1	1
17	жизни и	1	1
18	для него	2	1
19	художественном творчестве	1	1
20	и о	2	1
21	было не	1	1
22	эпизод с	1	1
23	от нее	1	1
24	оказывается для	1	1
25	могло бы	1	1
26	и др	1	1
27	на котором	1	1
28	и та	2	1
29	не так	1	1
30	того что	4	1
31	все четыре	1	1
32	не остается	2	1
33	никогда не	2	1
34	не случайно	3	1
35	тех же	1	1
36	и тот	1	1
37	а с	3	1
38	что для	1	1
39	художественного творчества	2	1
40	с другой	4	1
41	в художественном	3	1
42	более чем	4	1
43	автора и	3	1
44	себя в	6	1
45	все эти	2	1
46	так и	4	1
47	а также	3	1
48	в основе	6	1
49	только для	2	1
50	бы столь	1	1
51	того чтобы	3	1
52	то и	1	1
53	в них	1	1
54	к отцу	1	1
55	я не	1	1
56	отношению к	5	1
57	что последний	1	1
58	та и	1	1
59	в целом	5	1
60	того же	4	1
61	другой стороны	2	1
62	для того	4	1
