N	3gram	Ircho_Kome_3	VeschiIm
1	и т д	1	20
2	бы то ни	2	9
3	то ни было	2	9
4	т е в	2	7
5	может быть только	1	6
6	по крайней мере	1	6
7	в том что	9	6
8	на то что	1	6
9	в свою очередь	6	5
10	тем не менее	3	5
11	с точки зрения	3	4
12	то же время	4	4
13	в то же	4	4
14	более или менее	1	3
15	в самом деле	6	3
16	подобно тому как	1	3
17	и в то	1	3
18	вместе с тем	3	3
19	можно сказать что	1	2
20	этой точки зрения	1	2
21	о том как	3	2
22	так как имя	1	2
23	в основе своей	1	2
24	с этой точки	1	2
25	и в частности	1	2
26	в первом случае	1	2
27	только один из	1	2
28	если не будет	1	2
29	и ничем не	1	2
30	как раз с	1	2
31	к тому что	1	2
32	так или иначе	2	2
33	таким образом что	1	1
34	я мог бы	1	1
35	и тому же	1	1
36	но как раз	1	1
37	он должен быть	1	1
38	и без всякого	1	1
39	должно было бы	1	1
40	в этом случае	2	1
41	одной стороны и	1	1
42	на первый план	1	1
43	как это было	1	1
44	до сих пор	9	1
45	и не может	1	1
46	в зависимости от	1	1
47	еще не был	1	1
48	что он не	2	1
49	должен быть не	1	1
50	он и не	2	1
51	понимать как это	1	1
52	в своем уме	1	1
53	как раз в	1	1
54	потому что он	1	1
55	то время как	2	1
56	в самом начале	1	1
57	себя самого во	1	1
58	в том чтобы	1	1
59	таким образом и	1	1
60	с одной стороны	3	1
61	в конце концов	2	1
62	к реальной жизни	1	1
63	человека по имени	1	1
64	и в этом	1	1
65	как из того	1	1
66	с другой стороны	2	1
67	речь идет о	3	1
68	только на то	1	1
69	во всяком случае	3	1
70	в то время	2	1
71	мы подходим к	1	1
72	о том что	4	1
73	вопрос о том	1	1
74	к одному и	1	1
75	именно потому что	2	1
76	но все же	2	1
77	для того чтобы	6	1
78	при всем том	2	1
79	она не могла	1	1
80	в отношении к	1	1
81	друг с другом	1	1
82	на то чтобы	1	1
83	что и в	2	1
84	одному и тому	1	1
