N	2gram	Medvedev_V_1	Myslijsy
1	потому что	1	46
2	то есть	1	34
3	в слове	3	32
4	в том	15	32
5	и в	26	30
6	может быть	22	28
7	то же	10	23
8	не только	25	21
9	только в	7	21
10	для нас	1	20
11	но и	10	19
12	того что	3	18
13	том что	8	18
14	то что	6	18
15	что в	10	17
16	в себе	6	16
17	по себе	2	16
18	и не	19	15
19	не в	6	15
20	в сознании	4	15
21	а не	7	15
22	таким образом	31	14
23	что и	3	13
24	если бы	3	12
25	вместе с	7	12
26	а в	3	12
27	так и	5	11
28	что оно	3	11
29	как в	1	10
30	в этом	26	10
31	как и	7	10
32	в то	6	10
33	и что	1	10
34	только тогда	1	9
35	из этих	7	9
36	в нем	6	9
37	было бы	7	9
38	тогда когда	2	9
39	между тем	5	9
40	для него	8	9
41	и то	1	8
42	в ней	2	8
43	в самом	4	8
44	от того	2	8
45	что не	3	8
46	что мы	2	8
47	только что	4	8
48	с одной	2	7
49	но не	2	7
50	с тем	3	7
51	и без	1	7
52	тем что	1	7
53	как мы	1	7
54	вовсе не	3	7
55	с другой	11	7
56	к тому	4	7
57	например в	3	6
58	то это	2	6
59	с этим	3	6
60	между собою	2	6
61	художественное произведение	5	6
62	с ним	1	6
63	не имеет	1	6
64	что он	4	6
65	уже не	1	6
66	из них	9	6
67	а потому	1	6
68	зависит от	2	6
69	не может	17	6
70	но это	1	6
71	человека и	3	5
72	художественного произведения	6	5
73	сам по	1	5
74	и т	23	5
75	еще не	2	5
76	по отношению	7	5
77	в своем	8	5
78	и как	3	5
79	есть для	1	5
80	не следует	8	5
81	заключает в	1	5
82	одно и	1	5
83	с другими	2	5
84	в них	4	5
85	по крайней	2	5
86	же время	5	5
87	к ней	1	5
88	как на	3	5
89	в каком	1	5
90	не могут	7	5
91	не менее	2	5
92	мысль о	2	5
93	крайней мере	2	5
94	уже в	1	5
95	очевидно что	7	5
96	тому как	2	5
97	отношению к	7	5
98	должно быть	2	5
99	слова и	1	5
100	сказать что	5	5
101	говоря о	1	4
102	мысли а	1	4
103	в каждой	1	4
104	не все	1	4
105	относится к	2	4
106	не было	7	4
107	бы не	2	4
108	он не	2	4
109	и по	3	4
110	и наоборот	1	4
111	мы видели	3	4
112	и при	5	4
113	в котором	3	4
114	того как	1	4
115	и его	6	4
116	по поводу	2	4
117	для того	3	4
118	на это	2	4
119	и это	1	4
120	то время	1	4
121	по мере	1	4
122	ли она	1	4
123	в его	14	4
124	один из	5	4
125	что даже	2	4
126	образа в	2	4
127	образ как	1	4
128	а и	1	4
129	далеко не	2	4
130	себя и	1	4
131	что для	3	4
132	если не	1	4
133	и потому	2	4
134	все это	10	4
135	и от	3	4
136	другой стороны	8	4
137	и есть	5	3
138	действительности и	7	3
139	говорить о	2	3
140	в чем	2	3
141	а только	1	3
142	ответ на	1	3
143	мысль в	1	3
144	более или	6	3
145	в целом	4	3
146	что она	2	3
147	т д	14	3
148	в силу	11	3
149	в каждом	2	3
150	что все	3	3
151	чувственное восприятие	1	3
152	и может	2	3
153	разница между	1	3
154	его в	3	3
155	художественном произведении	4	3
156	этого не	1	3
157	или менее	6	3
158	как бы	5	3
159	представить себе	2	3
160	что при	2	3
161	образом и	1	3
162	что например	2	3
163	тому что	6	3
164	на него	1	3
165	образом в	3	3
166	того чтобы	3	3
167	заметить что	1	3
168	могут быть	5	3
169	содержание в	1	3
170	слова с	1	3
171	свою очередь	1	3
172	в образе	2	3
173	или в	3	3
174	том как	3	3
175	жизни не	1	3
176	искусства и	1	3
177	никак не	1	3
178	можно сказать	4	3
179	это было	1	3
180	вслед за	2	3
181	что конечно	1	3
182	же и	2	3
183	есть в	1	3
184	только на	1	3
185	в начале	1	3
186	прежде всего	13	3
187	друг друга	1	3
188	и вместе	1	3
189	до сих	1	3
190	именно в	2	3
191	одной стороны	2	3
192	так же	3	3
193	самого себя	2	3
194	том смысле	1	3
195	сих пор	1	3
196	каждой из	2	3
197	а к	1	3
198	и все	1	3
199	от всего	1	3
200	в свою	1	3
201	не говоря	1	3
202	в последнем	2	3
203	в которой	2	3
204	в искусстве	6	3
205	к этому	9	3
206	в таком	1	3
207	а между	1	2
208	таком случае	1	2
209	самом деле	1	2
210	это и	6	2
211	в их	5	2
212	предмета в	1	2
213	содержания в	1	2
214	бы например	1	2
215	не столько	2	2
216	из сказанного	1	2
217	на свою	1	2
218	которое не	1	2
219	именно эти	1	2
220	образа до	1	2
221	явлений и	3	2
222	отношение к	1	2
223	за пределы	1	2
224	что они	3	2
225	сама по	1	2
226	все же	5	2
227	и той	1	2
228	и слова	1	2
229	целый ряд	1	2
230	что по	1	2
231	при создании	3	2
232	под ним	1	2
233	так или	1	2
234	в этой	4	2
235	на то	1	2
236	так сказать	2	2
237	и если	1	2
238	на его	1	2
239	деятельность и	1	2
240	в основании	1	2
241	что должно	1	2
242	идеи и	6	2
243	не как	1	2
244	почти то	1	2
245	к чувственному	1	2
246	из него	1	2
247	подобно тому	2	2
248	что ни	2	2
249	не дает	1	2
250	бы быть	1	2
251	что мысль	1	2
252	не нашел	1	2
253	художественный образ	5	2
254	входит в	1	2
255	время и	1	2
256	без нее	1	2
257	ни в	1	2
258	показывает что	1	2
259	отражается в	1	2
260	не всегда	1	2
261	несмотря на	1	2
262	понятия и	1	2
263	во время	3	2
264	точки зрения	3	2
265	в своей	4	2
266	что такое	2	2
267	а как	2	2
