N	2gram	Voloshinov_1	Literetu
1	и не	14	22
2	и в	38	16
3	в мире	2	16
4	при этом	9	15
5	х годов	1	15
6	в этом	10	14
7	но и	13	14
8	не только	27	14
9	в том	2	12
10	то что	8	12
11	может быть	13	12
12	а не	6	12
13	в частности	3	11
14	я и	2	10
15	не в	6	10
16	так и	6	9
17	того что	4	9
18	то же	14	9
19	в то	9	9
20	не может	12	8
21	в жизни	2	8
22	в этой	6	8
23	как бы	28	8
24	том что	3	8
25	же время	7	7
26	точки зрения	10	7
27	тем самым	7	7
28	себя в	4	7
29	в своей	2	7
30	только в	6	7
31	со стороны	1	7
32	в себе	9	6
33	в другом	1	6
34	еще не	3	6
35	к тому	4	6
36	в его	6	6
37	и его	7	6
38	и т.п	21	6
39	с другой	1	6
40	о том	4	6
41	с его	7	6
42	как и	10	5
43	в целом	4	5
44	что я	1	5
45	а в	5	5
46	вместе с	5	5
47	в ее	3	5
48	то есть	4	5
49	этом отношении	2	5
50	это не	3	5
51	как в	2	5
52	в качестве	4	5
53	лишь в	4	5
54	тому же	2	5
55	в основе	2	5
56	именно в	1	5
57	что он	2	5
58	одним из	1	4
59	место в	2	4
60	перед лицом	1	4
61	говоря уже	1	4
62	но не	2	4
63	в начале	3	4
64	никогда не	7	4
65	хотя и	3	4
66	не говоря	2	4
67	должно быть	2	4
68	из них	3	4
69	и для	3	4
70	в одном	3	4
71	и если	1	4
72	как будто	1	4
73	однако в	2	4
74	не становится	3	3
75	в словах	3	3
76	на его	5	3
77	и наконец	5	3
78	жизни и	3	3
79	вслед за	1	3
80	там где	1	3
81	взгляд на	1	3
82	хх веке	1	3
83	бы и	2	3
84	то в	1	3
85	в области	5	3
86	отношения к	3	3
87	по своей	2	3
88	совершенно не	3	3
89	потому что	5	3
90	а затем	1	3
91	между тем	3	3
92	в хх	1	3
93	но в	5	3
94	с точки	5	3
95	например в	1	3
96	и к	4	3
97	как это	5	3
98	все время	5	3
99	в романе	1	3
100	отнюдь не	10	3
101	в г	1	3
102	но уже	1	3
103	в слове	3	3
104	той же	5	3
105	все еще	1	3
106	прежде всего	21	3
107	и тем	6	3
108	в самом	4	3
109	в сторону	1	3
110	однако не	1	3
111	о чем	1	3
112	и как	9	3
113	еще в	1	3
114	уже не	4	3
115	для его	1	3
116	это как	1	3
117	самом деле	4	3
118	тому как	1	3
119	на свою	1	3
120	ни к	2	3
121	так чтобы	1	2
122	не знает	3	2
123	все же	7	2
124	и с	5	2
125	и вот	3	2
126	вопрос о	2	2
127	можно сказать	4	2
128	в противоположность	1	2
129	на то	1	2
130	складывается из	1	2
131	другой стороны	1	2
132	для своего	1	2
133	так же	4	2
134	как таковое	2	2
135	еще и	2	2
136	здесь не	2	2
137	связи с	3	2
138	здесь как	1	2
139	не менее	1	2
140	в нас	2	2
141	с ней	2	2
142	как раз	1	2
143	в нем	4	2
144	сознания и	1	2
145	художественное творчество	3	2
146	в конце	6	2
147	это будет	1	2
148	художественного творчества	5	2
149	того чтобы	7	2
150	во всех	6	2
151	по себе	1	2
152	той или	3	2
153	вследствие этого	2	2
154	в каждой	1	2
155	для него	3	2
156	эти слова	8	2
157	его в	4	2
158	художественное произведение	1	2
159	что в	1	2
160	с этой	1	2
161	отношение к	2	2
162	класс и	1	2
163	особое место	1	2
164	о которой	1	2
165	большей части	1	2
166	и даже	3	2
167	не с	3	2
168	в живом	3	2
169	в самый	1	2
170	и сам	2	2
171	общественного сознания	2	2
172	для того	9	2
173	как мы	9	2
174	бытия в	1	2
175	у нас	4	2
176	своей жизни	5	2
177	что у	3	2
178	представляет собой	2	2
179	мира и	1	2
180	а на	2	2
181	во второй	3	2
182	того же	1	2
183	и потому	2	2
184	не надо	1	2
185	по большей	1	2
186	установка на	1	2
187	если бы	4	2
188	с ними	1	2
189	не всегда	2	2
190	чтобы он	1	2
191	он в	1	2
192	когда он	1	2
193	этой ситуации	2	2
194	художественного произведения	1	2
195	и на	6	2
196	быть может	3	2
197	один из	4	2
198	еще раз	1	2
199	что и	3	2
200	несмотря на	2	2
201	человек с	2	2
202	не как	1	2
203	в своих	2	2
204	я не	1	2
205	если не	3	2
206	все они	1	2
207	и тогда	2	2
208	за ним	1	2
209	с которой	1	2
210	в первой	2	2
211	тем что	2	2
212	же в	1	2
213	слова из	1	2
214	теперь как	1	2
215	и при	2	2
216	и одновременно	1	2
217	знает что	1	2
218	на себя	1	2
219	было бы	7	2
220	одного из	1	2
221	со своими	1	2
222	или иной	4	2
223	еще один	1	2
224	человека в	2	2
225	но еще	1	2
226	жизни как	1	2
227	же самое	5	2
228	других как	1	2
229	к этому	2	2
230	в свою	6	2
231	как например	2	2
232	своего искусства	1	1
233	возникновения и	2	1
234	от имени	1	1
235	материал для	1	1
236	может и	1	1
237	прежде чем	2	1
