N	2gram	Bakhtin_Pr_1	EvropaiC
1	таким образом	10	32
2	в том	8	31
3	и в	38	24
4	том что	3	20
5	все эти	5	19
6	не может	27	18
7	то что	8	17
8	все же	6	15
9	может быть	26	15
10	к культуре	1	14
11	точки зрения	8	13
12	в этом	15	12
13	сих пор	1	12
14	самом деле	6	12
15	до сих	1	12
16	в своем	5	12
17	между тем	7	11
18	все это	3	11
19	отношению к	19	10
20	так и	5	10
21	во всех	11	10
22	культуры и	3	10
23	по отношению	21	10
24	все что	3	10
25	как бы	22	10
26	как и	7	9
27	на то	2	9
28	что в	7	9
29	при этом	5	9
30	в результате	1	9
31	так же	1	8
32	и все	3	8
33	не в	7	8
34	идет речь	1	8
35	если бы	3	8
36	ясно что	3	8
37	в самом	7	8
38	с точки	6	8
39	о которых	2	7
40	о том	4	7
41	о котором	2	7
42	не менее	4	7
43	по существу	2	7
44	того чтобы	2	7
45	а между	1	7
46	на самом	4	7
47	к тому	1	7
48	и не	42	7
49	из этого	1	7
50	в психике	6	7
51	для того	2	7
52	но и	9	7
53	и что	2	7
54	что он	2	7
55	еще не	7	6
56	отличается от	2	6
57	должна быть	4	6
58	в сознании	1	6
59	с ним	5	6
60	вместе с	1	6
61	того что	2	6
62	и при	2	6
63	только в	13	6
64	в этой	1	6
65	что и	2	6
66	и на	3	6
67	в мире	3	6
68	несмотря на	3	6
69	с другой	7	6
70	начало и	3	6
71	в общем	1	6
72	все они	5	6
73	мы можем	6	6
74	в которой	1	5
75	в себе	4	5
76	по сравнению	1	5
77	сравнению с	1	5
78	и с	17	5
79	так называемого	1	5
80	и для	11	5
81	что это	2	5
82	его в	9	5
83	к этому	2	5
84	и от	3	5
85	и к	3	5
86	в целом	3	5
87	лишь в	2	5
88	в то	4	5
89	что все	2	5
90	по своему	1	5
91	другой стороны	4	5
92	в его	43	5
93	именно в	1	5
94	и если	1	5
95	как к	2	5
96	из всех	1	5
97	далеко не	5	5
98	быть и	1	5
99	но в	4	5
100	столь же	2	5
101	и без	1	5
102	что с	1	5
103	не только	9	5
104	ибо в	2	4
105	в в	1	4
106	связи с	2	4
107	в виде	2	4
108	и конец	2	4
109	хотя бы	4	4
110	что эта	2	4
111	в области	11	4
112	отношение к	10	4
113	в их	10	4
114	совершенно не	7	4
115	в таком	3	4
116	никогда не	5	4
117	хотя и	3	4
118	то же	5	4
119	из которых	2	4
120	которых мы	4	4
121	в дальнейшем	3	4
122	мы должны	2	4
123	должно быть	5	4
124	тем не	3	4
125	этой области	2	4
126	ни один	1	4
127	мы уже	1	4
128	всех этих	1	4
129	том же	2	4
130	в одну	1	4
131	не могут	2	4
132	он не	3	4
133	и проч	28	4
134	и у	2	4
135	из них	1	4
136	не есть	6	4
137	что по	1	3
138	бы в	1	3
139	для нас	1	3
140	и наконец	6	3
141	данном случае	4	3
142	вопрос о	1	3
143	в связи	2	3
144	что их	1	3
145	должны быть	4	3
146	прежде всего	13	3
147	может служить	1	3
148	которых идет	1	3
149	культуры как	1	3
150	мы сказали	1	3
151	настоящее время	1	3
