N	3gram	Losev_Prob_3	Otkroven
1	для того чтобы	1	3
2	и в этом	6	2
3	а не в	1	2
4	это было бы	1	2
5	не может быть	5	2
6	но и в	2	2
7	с тем что	1	2
8	нет ничего кроме	1	2
9	и никогда не	1	2
10	у л толстого	1	1
11	ничего не хочет	1	1
12	смысле этого слова	1	1
13	как будто бы	3	1
14	по сравнению с	2	1
15	хотя и не	2	1
16	в виду не	1	1
17	а вовсе не	2	1
18	ни к каким	1	1
19	друг к другу	1	1
20	только и состоит	1	1
21	есть уже не	1	1
22	но в этой	1	1
23	в самом деле	1	1
24	это не есть	1	1
25	и не очень	1	1
26	он не только	1	1
27	о том как	2	1
28	бросается в глаза	1	1
29	да и то	2	1
30	не имеют самостоятельного	1	1
31	и все же	1	1
32	во всяком случае	6	1
33	и действительно в	1	1
34	сам по себе	6	1
35	даже и в	2	1
36	само по себе	3	1
37	о том что	3	1
38	и там и	2	1
39	необходимо подчеркнуть еще	1	1
40	ни с чем	1	1
41	вовсе не так	1	1
42	в том что	9	1
43	на то что	1	1
44	и не в	1	1
45	значение что же	1	1
46	и то что	7	1
47	не так как	1	1
48	что это за	3	1
49	там и здесь	3	1
50	ни с каким	1	1
51	как и в	1	1
52	от того что	1	1
53	и в его	3	1
54	и вопрос о	1	1
55	не есть просто	2	1
