N	2gram	Voloshinov_1	Morfolog
1	может быть	1	52
2	не может	4	17
3	и в	3	13
4	связи с	1	11
5	мы видим	1	11
6	то же	1	9
7	и не	1	9
8	а не	1	9
9	не менее	1	5
10	один из	2	5
11	точки зрения	1	4
12	если в	2	4
13	тех же	1	4
14	с точки	1	4
15	несмотря на	1	4
16	не только	1	4
17	в то	1	3
18	но и	1	3
19	можно назвать	1	3
20	если бы	1	3
21	может не	1	2
22	для него	1	2
23	с теми	1	2
24	вторая половина	1	2
25	может и	1	1
26	и все	1	1
27	бы в	1	1
28	же время	1	1
29	при сравнении	1	1
30	бы на	1	1
31	вопрос что	1	1
32	конечно и	1	1
33	становится особенно	1	1
34	с другими	1	1
35	к тому	1	1
36	в его	1	1
37	из этих	1	1
38	формальных приемов	1	1
39	не смог	1	1
40	и заставляет	1	1
41	во второй	1	1
42	в каждом	1	1
43	влияния на	1	1
44	теми или	1	1
45	тому что	1	1
46	зрения их	1	1
47	о формах	1	1
48	может спасти	1	1
49	если один	1	1
