N	2gram	Vinokur_Vv_1	Sotsiolo
1	истории литературы	3	10
2	все это	6	7
3	в этом	34	5
4	в том	31	5
5	методологии истории	1	3
6	не только	21	3
7	в его	10	3
8	и в	27	3
9	но ведь	4	3
10	не в	8	3
11	только в	13	2
12	может быть	24	2
13	и что	4	2
14	в результате	3	2
15	это и	1	2
16	главным образом	1	2
17	исторической жизни	1	2
18	то же	8	2
19	должна быть	2	2
20	было бы	5	2
21	и заключается	4	2
22	идей и	1	2
23	ведь это	1	2
24	таким образом	19	2
25	но и	5	2
26	как будто	3	2
27	тем более	2	2
28	еще не	4	2
29	то что	17	2
30	или даже	1	2
31	конце концов	2	2
32	нужно было	1	2
33	одно дело	2	2
34	только как	6	2
35	по отношению	4	2
36	в частности	3	2
37	литературы и	1	2
38	к которому	1	2
39	отношению к	4	2
40	очевидно что	1	2
41	законы развития	1	2
42	по существу	2	2
43	как только	1	2
44	в конце	3	2
45	что в	11	2
46	как бы	5	2
47	том что	26	2
48	дело не	3	2
49	и не	13	1
50	в область	1	1
51	и есть	3	1
52	в этой	3	1
53	литературы как	1	1
54	работы в	3	1
55	но одно	1	1
56	в своей	4	1
57	которая должна	1	1
58	бы в	1	1
59	еще и	3	1
60	по себе	9	1
61	все эти	3	1
62	тем именно	1	1
63	только то	1	1
64	понимать что	1	1
65	лучшем случае	1	1
66	представить себе	5	1
67	и его	5	1
68	не дает	1	1
69	а между	1	1
70	в целом	5	1
71	вряд ли	2	1
72	с другой	8	1
73	это как	1	1
74	в сущности	3	1
75	именно на	2	1
76	связи с	3	1
77	и должно	1	1
78	быть не	1	1
79	крайней мере	4	1
80	что она	3	1
81	в них	4	1
82	должно было	1	1
83	в связи	2	1
84	что он	4	1
85	значении слова	1	1
86	как науки	4	1
87	диалектического материализма	1	1
88	что все	1	1
89	не было	1	1
90	в каждом	4	1
91	в лучшем	1	1
92	в соответствующих	2	1
93	и границы	1	1
94	на отдельные	1	1
95	образом в	1	1
96	когда мы	2	1
97	исторического характера	1	1
98	и стало	1	1
99	но не	7	1
100	факта что	1	1
101	потому его	1	1
102	никак не	1	1
103	этой области	3	1
104	зависит от	3	1
105	и более	1	1
106	основной вопрос	1	1
107	вовсе не	6	1
108	все же	8	1
109	основании таких	1	1
110	что на	1	1
111	между тем	8	1
112	но как	2	1
113	а в	5	1
114	это значит	1	1
115	теоретической мысли	1	1
116	в конечном	1	1
117	новое и	1	1
118	это не	8	1
119	в то	5	1
120	мы должны	1	1
121	между ними	2	1
122	без необходимости	1	1
123	писателя не	1	1
124	его исследования	1	1
125	он по	1	1
126	для этого	3	1
127	в чем	4	1
128	никогда не	3	1
129	ними в	1	1
130	в силу	3	1
131	и самые	1	1
132	научного исследования	4	1
133	собой не	1	1
134	науки о	9	1
135	во всяком	3	1
136	в котором	4	1
137	художественных произведений	2	1
138	тому что	2	1
139	по крайней	4	1
140	не наука	1	1
141	наукой в	2	1
142	иначе говоря	1	1
143	и о	1	1
144	же это	2	1
145	общие законы	1	1
146	в этих	3	1
147	том как	1	1
148	без этого	1	1
149	наконец в	1	1
150	именно такого	1	1
151	у него	1	1
152	как и	5	1
153	с помощью	1	1
154	настоящее время	1	1
155	психологии и	1	1
156	с ним	1	1
157	мысли в	1	1
158	история литературы	2	1
159	в настоящее	1	1
160	как совокупность	2	1
161	не мешает	1	1
162	один из	6	1
163	из себя	1	1
164	поэта и	1	1
165	в строгом	3	1
166	этого и	1	1
167	и как	9	1
168	сама по	3	1
169	области знания	5	1
170	литературного развития	1	1
171	его в	6	1
172	работы как	2	1
173	с одной	4	1
174	о том	15	1
175	или нет	1	1
176	каждом своем	1	1
177	одной стороны	4	1
178	же самое	2	1
179	исторического изучения	2	1
180	связь между	4	1
181	как искусство	2	1
182	хотя бы	5	1
183	наука а	1	1
184	слова но	1	1
185	это дает	1	1
186	дает нам	1	1
187	историю литературы	1	1
188	в таких	1	1
189	время в	2	1
190	ничего не	2	1
191	все то	1	1
192	что это	3	1
193	между собой	1	1
194	что таким	1	1
195	принять его	1	1
196	и цельного	1	1
197	на основании	5	1
198	на этот	4	1
199	мы не	2	1
200	и история	3	1
201	я и	1	1
202	не может	13	1
203	же время	5	1
204	читать в	2	1
205	прежде всего	8	1
206	они не	1	1
207	не от	1	1
208	всяком случае	3	1
209	или не	1	1
210	не место	1	1
211	тем что	6	1
212	что эти	1	1
213	так и	1	1
214	в данном	11	1
215	в виде	4	1
216	именно в	8	1
217	на общие	1	1
218	и будет	1	1
219	только тогда	1	1
220	может служить	3	1
221	наука о	3	1
222	в области	4	1
