N	3gram	Vygotskiy__2	Dialekti
1	и т д	2	19
2	с точки зрения	10	12
3	это значит что	2	9
4	ни в каком	2	8
5	в том что	17	7
6	сам по себе	4	6
7	само по себе	3	5
8	по себе не	1	5
9	в то же	2	4
10	то же время	2	4
11	с другой стороны	2	4
12	и то же	1	4
13	можно было бы	4	4
14	в каком случае	1	4
15	одно и то	1	4
16	на то что	6	4
17	так как она	1	4
18	по крайней мере	1	4
19	в этом смысле	1	3
20	не имеет ничего	1	3
21	можно сказать что	1	3
22	в конце концов	3	3
23	ничего общего с	1	3
24	более или менее	1	3
25	не значит что	1	3
26	только то что	1	3
27	только потому что	2	3
28	не имеет никакого	1	3
29	потому что он	1	3
30	не может быть	8	3
31	о том что	4	2
32	с одной стороны	1	2
33	было бы и	2	2
34	и даже не	1	2
35	по себе а	1	2
36	точно так же	3	2
37	и в частности	1	2
38	по сравнению с	2	2
39	мы находим в	1	2
40	на что не	1	2
41	значит ли это	1	2
42	каком случае не	1	2
43	ли это что	1	2
44	и т п	8	2
45	до сих пор	5	2
46	по себе но	1	2
47	к тому что	2	2
48	так как он	1	2
49	конечно не значит	1	2
50	и та же	1	2
51	на самом деле	5	2
52	то это значит	1	2
53	может и не	1	2
54	во всяком случае	2	2
55	в этом отношении	5	2
56	что он не	2	2
57	ни на что	1	2
58	не было бы	1	2
59	одна и та	1	2
60	то или иное	1	2
61	никогда не может	3	2
62	по себе и	1	2
63	в чем же	1	1
64	в этом и	1	1
65	в данный момент	1	1
66	не потому что	1	1
67	и как он	1	1
68	связи с этим	1	1
69	те или иные	1	1
70	нечего и говорить	1	1
71	друг от друга	1	1
72	друг с другом	1	1
73	жизни и в	1	1
74	только сказать что	1	1
75	совершенно не подходит	1	1
76	ни при чем	1	1
77	привело к тому	1	1
78	что она есть	1	1
79	ровно столько же	3	1
80	это и значит	1	1
81	чтобы заметить что	1	1
82	же самое и	1	1
83	к выводу что	1	1
84	этом отношении совершенно	1	1
85	что все это	2	1
86	с самого начала	1	1
87	то или другое	1	1
88	ничего подобного нет	1	1
89	а между тем	1	1
90	и тем не	1	1
91	то прежде всего	1	1
92	больше и больше	1	1
93	не зависит от	1	1
94	бы не было	1	1
95	самом деле почему	1	1
96	то все же	1	1
97	того или другого	1	1
98	между обеими сферами	1	1
99	беда в том	1	1
100	знаем что она	1	1
101	несмотря на свою	1	1
102	то же самое	6	1
103	она никогда не	1	1
104	в то время	3	1
105	того и другого	2	1
106	и может быть	1	1
107	и ничего не	1	1
108	одной и той	4	1
109	то что она	3	1
110	не что иное	1	1
111	самой природе своей	1	1
112	и той же	4	1
113	и об этом	1	1
114	все больше и	1	1
115	по самой природе	1	1
116	только в том	4	1
117	сами по себе	3	1
118	мы имели бы	1	1
119	между тем в	1	1
120	в связи с	1	1
121	что иное как	1	1
122	в самом деле	11	1
123	смысл и назначение	1	1
124	самое и в	1	1
125	и что именно	1	1
126	самому смыслу этого	1	1
127	это происходит не	1	1
128	есть не что	1	1
129	то что это	1	1
130	мы убеждаемся в	1	1
131	и вопроса о	1	1
132	ясно что это	1	1
133	сказать что по	1	1
134	почти исключительно в	1	1
135	в том чтобы	3	1
136	природы таким образом	1	1
137	относится не к	1	1
138	то время как	2	1
139	для того чтобы	13	1
140	к одному и	1	1
141	а не только	1	1
142	не в самом	1	1
143	что же касается	1	1
144	в ней не	1	1
145	но так как	2	1
146	если бы не	1	1
147	таким образом и	3	1
148	но значит ли	1	1
149	но только с	1	1
150	тем не менее	4	1
151	в отношении к	3	1
152	что в основе	4	1
153	во всем этом	1	1
154	крайней мере в	1	1
155	это было бы	2	1
156	та же самая	1	1
157	не в том	2	1
158	бы утверждать что	1	1
159	и говорить что	1	1
