1	в то же время	3	5
2	и не может быть	1	5
3	в том числе и	2	3
4	в большей или меньшей	1	2
5	нет и не может	1	2
6	большей или меньшей степени	1	2
7	не было и не	1	1
8	том числе и диалогические	1	1
9	и не могло быть	1	1
10	во всех его разновидностях	1	1
11	и в то же	1	1
12	говорящего к собственному слову	1	1
13	диалогические отношения в том	1	1
14	отношения говорящего к собственному	1	1
15	в строгом смысле а	1	1
16	из уст в уста	1	1
17	диалогические отношения говорящего к	1	1
18	отношения в том числе	1	1
19	с одной стороны и	2	1
20	было и не могло	1	1
21	одно и то же	1	1
22	дистанцию по отношению к	1	1
23	числе и диалогические отношения	1	1
24	дело в том что	1	1
25	одним и тем же	1	1
26	и диалогические отношения говорящего	1	1
27	о том что было	1	1
