N	3gram	Tiupa_Vved_1	Tvorches
1	то же время	3	7
2	в то же	4	7
3	в соответствии с	6	4
4	по отношению к	7	3
5	по сути дела	1	3
6	не может быть	3	3
7	никогда не было	1	2
8	в таком случае	1	2
9	и в то	1	2
10	в отличие от	2	2
11	по крайней мере	1	2
12	едва ли не	2	2
13	в том же	1	2
14	том же году	1	2
15	все же не	1	2
16	во всяком случае	1	2
17	с другой стороны	1	2
18	о том что	4	2
19	в том что	3	2
20	хотя и не	1	1
21	как уже говорилось	1	1
22	как и для	1	1
23	мы узнаем что	1	1
24	не только с	1	1
25	в том числе	1	1
26	о том как	1	1
27	перед мысленным взором	1	1
28	сами по себе	1	1
29	за собой лишь	1	1
30	несмотря на его	1	1
31	можно было бы	2	1
32	в романе в	1	1
33	на наших глазах	1	1
34	как будто бы	3	1
35	войне и мире	2	1
36	не сводится к	4	1
37	важно не только	2	1
38	не зависит от	1	1
39	но при этом	2	1
40	и в этом	1	1
41	а с другой	2	1
42	так и не	1	1
43	в свою очередь	4	1
44	той или иной	2	1
45	в связи с	1	1
46	к тому же	4	1
47	тем что они	1	1
48	и мы не	1	1
49	означает ли это	1	1
50	жизни то есть	1	1
51	мы не можем	1	1
52	и особенно в	1	1
53	к которым приводит	1	1
54	в конечном счете	1	1
55	в частности в	2	1
56	том числе и	1	1
57	содержит в себе	1	1
58	но это не	1	1
59	как и у	1	1
60	и прежде всего	1	1
61	в поле зрения	1	1
62	в высшей степени	2	1
63	как и в	2	1
64	называет себя в	1	1
