N	3gram	Berdyaev_M_1	Myshleni
1	в том что	1	21
2	для того чтобы	2	10
3	в высшей степени	2	7
4	в зависимости от	1	6
5	во всяком случае	1	6
6	не может быть	17	6
7	по отношению к	2	5
8	можно было бы	1	5
9	по сравнению с	1	5
10	в самом деле	1	4
11	о том что	1	4
12	в отличие от	1	3
13	на том что	1	2
14	потому что он	1	2
15	хотя бы и	2	2
16	что он не	2	2
17	к тому чтобы	2	2
18	на протяжении всего	1	2
19	зависимости от этого	1	2
20	и в самом	3	2
21	мы увидим что	3	2
22	всякий раз когда	1	1
23	трудно было бы	1	1
24	друг к другу	1	1
25	но и от	1	1
26	не может не	2	1
27	в которых он	1	1
28	имеем в виду	1	1
29	он не может	2	1
30	занимает центральное место	1	1
31	существует не только	1	1
32	до сих пор	2	1
33	в своей книге	1	1
34	как и все	1	1
35	с тем что	3	1
36	ни у кого	1	1
37	идея о том	1	1
38	в том случае	1	1
39	не в том	1	1
40	она связана с	1	1
41	в которой не	1	1
42	не могут быть	2	1
43	все более и	1	1
44	потому что мы	1	1
45	к чему бы	1	1
46	том смысле что	1	1
47	она не может	1	1
48	он знал что	1	1
49	том случае если	1	1
50	никогда не может	2	1
51	оно не может	1	1
52	более и более	1	1
53	порождает из себя	1	1
54	в одном отношении	1	1
55	о мире в	1	1
56	мы имеем в	1	1
57	к которому он	1	1
58	уж конечно не	2	1
59	в движении все	1	1
60	личности в которой	1	1
61	когда мы говорим	1	1
62	мира и мира	1	1
63	в том смысле	2	1
64	мир для него	1	1
65	не только от	1	1
66	все это не	1	1
67	он не видит	1	1
