N	2gram	Medvedev_U_1	VerxiiNi
1	и в	14	26
2	таким образом	2	22
3	с тем	1	18
4	в этом	7	15
5	в том	2	11
6	не только	10	10
7	и с	2	10
8	может быть	6	10
9	в области	3	9
10	но и	4	9
11	что в	1	9
12	но не	2	8
13	и у	2	8
14	с другой	4	8
15	и не	8	8
16	как на	1	8
17	но в	3	7
18	связанные с	1	7
19	том что	2	7
20	с одной	1	7
21	то что	7	7
22	одной стороны	1	7
23	все же	3	6
24	в себе	2	6
25	так и	1	6
26	и т.д	3	6
27	о том	1	6
28	в конце	2	6
29	что и	2	6
30	и потому	1	6
31	все это	5	6
32	сих пор	2	5
33	или менее	1	5
34	по крайней	2	5
35	никогда не	1	5
36	с другом	1	5
37	в его	2	5
38	крайней мере	2	5
39	до сих	2	5
40	а не	10	5
41	друг с	1	5
42	и для	2	5
43	более или	1	5
44	в котором	1	4
45	то же	5	4
46	в течение	1	4
47	в самом	2	4
48	в этой	4	4
49	что все	2	4
50	то есть	1	4
51	он не	1	4
52	далеко не	1	4
53	в которых	1	4
54	в то	3	4
55	в нем	1	4
56	и что	1	4
57	и только	5	4
58	только в	2	4
59	не может	7	4
60	из которых	1	4
61	что он	2	4
62	в виде	1	4
63	же как	1	3
64	не вполне	1	3
65	к сожалению	3	3
66	в своем	1	3
67	в которой	1	3
68	так или	1	3
69	если бы	2	3
70	но по	1	3
71	можно сказать	1	3
72	в значительной	1	3
73	того что	1	3
74	хотя бы	5	3
75	в качестве	1	3
76	уже не	1	3
77	для него	3	3
78	и даже	1	3
79	или иначе	1	3
80	конце концов	2	3
81	к этому	1	3
82	в таком	1	3
83	одним из	2	2
84	и это	1	2
85	мы имеем	1	2
86	надо было	2	2
87	бы то	3	2
88	с его	2	2
89	оно является	1	2
90	относится к	1	2
91	он в	1	2
92	на то	1	2
93	перестает быть	5	2
94	они в	1	2
95	не как	3	2
96	то ни	3	2
97	но если	1	2
98	признать что	1	2
99	не в	2	2
100	в россии	4	2
101	тогда когда	1	2
102	больше чем	1	2
103	же время	3	2
104	и является	2	2
105	этом отношении	2	2
106	не могут	2	2
107	этот путь	1	2
108	значительной мере	1	2
109	приводит к	1	2
110	связанных с	1	2
111	для этого	3	2
112	в виду	1	2
113	в пользу	1	2
114	между тем	2	2
115	тот же	1	2
116	и действительно	1	2
117	для всех	2	2
118	конечно не	4	2
119	одно из	1	2
120	мы можем	1	2
121	прежде всего	8	2
122	превращается в	2	2
123	не было	1	2
124	и все	1	2
125	если не	2	2
126	должна была	2	2
127	по существу	2	2
128	что мы	2	2
129	только для	1	2
130	же самое	2	2
131	или по	1	2
132	при таком	2	2
133	о котором	1	2
134	ни было	3	2
135	в процессе	1	2
136	сказать что	1	2
137	все что	1	2
138	вряд ли	3	1
139	в сфере	1	1
140	в этот	1	1
141	и через	2	1
142	по методу	1	1
143	а между	2	1
144	самом деле	2	1
145	он может	1	1
146	которое мы	1	1
147	научного анализа	1	1
148	той же	1	1
149	их и	2	1
150	а как	2	1
151	он знает	1	1
152	мы не	2	1
153	именно к	1	1
154	бы и	2	1
155	мы и	2	1
156	в техническом	1	1
157	в ней	1	1
158	реакцией против	1	1
159	быть в	1	1
160	в широком	2	1
161	художественном творчестве	2	1
162	ее существование	1	1
163	в сторону	2	1
164	которые могли	1	1
165	могли бы	2	1
166	есть ли	1	1
167	не приходится	2	1
168	формы в	3	1
169	как основной	1	1
170	имеем в	1	1
171	широком смысле	1	1
172	на его	1	1
173	иначе связанные	1	1
174	но именно	1	1
175	всех этих	2	1
176	в первую	1	1
177	объясняется и	1	1
178	что еще	1	1
179	что она	2	1
180	не следует	3	1
181	говорить не	1	1
182	было когда	1	1
183	входит в	1	1
184	это было	2	1
185	первую очередь	1	1
186	это не	3	1
187	было бы	3	1
188	другом не	1	1
189	из первых	1	1
190	к области	2	1
191	как и	3	1
192	должно быть	1	1
193	в своей	3	1
194	что такое	4	1
195	в их	4	1
196	все и	1	1
197	на каждом	2	1
198	искусства не	1	1
199	их в	1	1
200	по себе	2	1
201	этой области	3	1
202	что с	1	1
203	того как	1	1
204	ничего не	2	1
205	шагу и	1	1
206	другой стороны	3	1
207	находит себе	1	1
208	и делает	1	1
209	но даже	2	1
210	у нас	3	1
211	могут быть	2	1
212	этого и	1	1
213	всего что	1	1
214	не есть	2	1
215	ролью в	1	1
216	для себя	1	1
217	данном случае	1	1
218	это для	1	1
219	ничего подобного	1	1
220	все в	1	1
221	этих слов	1	1
222	язык в	1	1
223	и прежде	1	1
224	обе эти	1	1
225	каждом шагу	2	1
226	и так	1	1
227	с момента	1	1
228	конечно нет	2	1
229	не связанных	1	1
230	не для	1	1
231	у него	1	1
232	как раз	2	1
233	тем что	2	1
234	быть по	1	1
235	такая система	1	1
236	быть тем	1	1
237	сдвиг в	1	1
238	о чем	2	1
239	он становится	1	1
240	на эту	2	1
241	к лицу	1	1
242	без труда	1	1
243	в данном	1	1
244	в той	1	1
245	и предопределил	1	1
246	смысле этого	2	1
247	т.д в	1	1
248	человека и	1	1
249	но это	2	1
250	но для	1	1
251	много но	1	1
252	не существует	1	1
253	это уже	2	1
254	эти тенденции	1	1
255	то о	1	1
256	бы в	1	1
257	тем более	1	1
258	пришлось бы	3	1
259	все они	2	1
260	же в	1	1
261	о сущности	1	1
262	только как	1	1
263	состоит из	1	1
264	впервые в	1	1
265	мировоззрением и	1	1
266	в свое	1	1
267	от слова	1	1
268	они относятся	1	1
