N	2gram	Losev_Dial_4	Tvorches
1	у достоевского	2	30
2	и в	15	20
3	в романе	1	15
4	и т	17	13
5	не только	8	13
6	т д	15	11
7	никогда не	2	11
8	как бы	14	11
9	таким образом	5	10
10	в то	6	10
11	в его	4	10
12	достоевского в	1	9
13	и его	7	9
14	и не	30	9
15	при этом	2	8
16	и с	4	8
17	в том	11	8
18	может быть	17	8
19	в этом	11	8
20	прежде всего	11	8
21	но и	4	8
22	то же	9	7
23	это не	12	7
24	представление о	2	7
25	же время	6	7
26	наряду с	1	7
27	потому что	10	7
28	не может	11	7
29	что в	7	7
30	как и	7	6
31	в своей	3	6
32	что он	7	6
33	так и	5	6
34	в конце	1	6
35	именно в	5	6
36	а не	18	6
37	романе достоевского	1	6
38	все это	9	6
39	еще не	4	5
40	и на	5	5
41	все же	2	5
42	в этой	4	5
43	если он	1	5
44	о том	5	5
45	и даже	6	5
46	но это	4	5
47	так же	4	5
48	мы не	9	4
49	все эти	3	4
50	что они	4	4
51	отнюдь не	4	4
52	как в	3	4
53	хотя и	6	4
54	когда он	3	4
55	но в	3	4
56	не в	8	4
57	в дальнейшем	1	4
58	что она	5	4
59	об этом	3	4
60	показывает что	2	4
61	если бы	6	4
62	тем самым	3	4
63	ничего не	17	4
64	в духе	1	4
65	в чем	8	4
66	мы видим	4	4
67	в душе	1	4
68	а в	1	4
69	и потому	3	4
70	и от	1	4
71	том что	10	4
72	же как	1	3
73	человека и	2	3
74	и через	1	3
75	он сам	1	3
76	в одной	1	3
77	в себе	8	3
78	в нем	5	3
79	он не	1	3
80	человека в	1	3
81	его в	1	3
82	и мы	7	3
83	в самом	2	3
84	в котором	2	3
85	в их	3	3
86	место в	1	3
87	в которых	1	3
88	тем что	2	3
89	одна из	1	3
90	и это	8	3
91	быть может	1	3
92	с ним	3	3
93	этот вопрос	1	3
94	уже не	9	3
95	так как	14	3
96	то что	16	3
97	что не	3	3
98	превращается в	1	3
99	в свете	5	3
100	вместе с	2	3
101	в область	1	3
102	в пользу	2	3
103	с этой	2	3
104	нет ничего	6	3
105	один из	4	3
106	не является	1	3
107	жизни в	1	3
108	одной из	2	3
109	д в	1	3
110	в своих	1	3
111	к этому	3	3
112	и есть	19	2
113	он всегда	2	2
114	говорить о	11	2
115	я не	5	2
116	и он	1	2
117	в ее	2	2
118	тут же	1	2
119	нет и	2	2
120	так что	6	2
121	в истории	3	2
122	и наконец	3	2
123	имеет в	1	2
124	в этот	2	2
125	в которой	2	2
126	бы не	2	2
127	тоже не	2	2
128	но ведь	1	2
129	и если	3	2
130	едва ли	3	2
131	сердце и	1	2
132	и по	2	2
133	том же	1	2
134	говорил что	1	2
135	при помощи	3	2
136	известно что	3	2
137	к миру	1	2
138	такой же	1	2
139	и еще	1	2
140	личности это	1	2
141	в отличие	1	2
142	что я	5	2
143	их в	1	2
144	не могли	2	2
145	что этот	2	2
146	не менее	2	2
147	как о	2	2
148	в процессе	1	2
149	он еще	1	2
150	на землю	1	2
151	и лишь	1	2
152	другой стороны	2	2
153	что на	2	2
154	однако это	1	2
155	у нас	3	2
156	и далее	1	2
157	личности в	5	2
158	могут быть	3	2
159	ли не	1	2
160	более не	3	2
161	же не	1	2
162	ночь у	2	2
163	роль в	1	2
164	познания и	2	2
165	и что	9	2
166	и только	2	2
167	крайней мере	7	2
168	все время	1	2
169	д и	3	2
170	с ними	4	2
171	только в	7	2
172	и ее	8	2
173	не мешает	2	2
174	точка зрения	1	2
175	себя в	2	2
176	и у	1	2
177	уже в	1	2
178	в виде	3	2
179	на ней	1	2
180	и других	1	2
181	из них	2	2
182	его и	1	2
183	не так	1	2
184	в одном	4	2
185	вовсе не	6	2
186	давно уже	1	2
187	отличие от	2	2
188	понимаем что	1	2
189	с другим	1	2
190	с другой	1	2
191	не было	2	2
192	на этот	1	2
193	идеи в	2	2
194	по крайней	7	2
195	и вообще	7	2
196	в частности	2	2
197	так мы	1	2
198	к жизни	3	2
199	думается что	1	2
200	это его	1	2
201	но прежде	1	2
202	только для	3	2
203	и тогда	2	2
204	в наше	1	2
205	это уже	1	2
206	в силах	1	2
207	в основе	10	2
208	с другими	1	2
209	видим в	2	2
210	это все	2	2
211	и вдруг	1	2
212	но если	5	2
213	и без	2	2
214	из этого	1	2
215	включает в	1	2
216	а я	1	2
217	во всяком	2	2
218	говорили о	1	1
219	нем нет	2	1
220	можно говорить	2	1
221	речь идет	1	1
222	лишь ее	1	1
223	в сфере	5	1
224	как его	1	1
225	вдруг все	1	1
226	с кем	1	1
227	а между	1	1
228	только потому	3	1
229	переход от	1	1
230	и должно	1	1
231	это и	9	1
232	мы говорим	2	1
233	видеть в	1	1
234	действительности и	1	1
235	которое тут	1	1
236	этот и	1	1
237	приходит к	1	1
238	мы уже	3	1
239	той же	5	1
240	еще нет	1	1
241	г в	1	1
242	бы уже	1	1
243	из всего	1	1
244	что если	3	1
245	и тут	3	1
246	что уже	2	1
247	из своих	1	1
248	почему мы	1	1
249	оба эти	1	1
250	мы получаем	2	1
251	то это	1	1
252	личности с	3	1
253	сказать о	1	1
254	же что	3	1
255	свою очередь	2	1
256	всю вселенную	1	1
257	быть в	5	1
258	с его	5	1
259	во всех	2	1
260	но как	2	1
261	и всякий	1	1
262	морали и	1	1
263	есть по	2	1
264	в жизни	5	1
265	отношение к	1	1
266	или иное	3	1
267	чем же	2	1
268	сама жизнь	1	1
269	общего с	3	1
270	с этим	3	1
271	и нет	3	1
272	перед нами	6	1
273	имеет определенную	1	1
274	и как	4	1
275	и событий	2	1
276	такое воззрение	1	1
277	в противоположность	2	1
278	на всем	1	1
279	что это	13	1
280	в известном	1	1
281	за это	1	1
282	из этих	2	1
283	его а	1	1
284	в кровь	1	1
285	думать что	2	1
286	с их	4	1
287	вообще а	1	1
288	личности но	3	1
289	на то	5	1
290	это утверждение	2	1
291	главным образом	2	1
292	не говорит	5	1
293	о которой	1	1
294	еще раньше	1	1
295	поскольку он	2	1
296	в первую	1	1
297	не значит	2	1
298	идеи и	4	1
299	этого вопроса	1	1
300	что нужно	1	1
301	такого человека	1	1
302	в силу	4	1
303	и вот	11	1
304	идею как	1	1
305	же самая	1	1
306	мифический образ	1	1
307	я с	1	1
308	можно было	1	1
309	слова не	1	1
310	что все	4	1
311	и дальше	1	1
312	об этой	2	1
313	в глубине	2	1
314	а его	1	1
315	мифологии в	1	1
316	художественный образ	1	1
317	входит в	1	1
318	того или	2	1
319	заключается в	2	1
320	бытия но	3	1
321	было бы	9	1
322	становится говоря	1	1
323	выше на	1	1
324	по себе	13	1
325	мог бы	2	1
326	и веры	2	1
327	ни в	8	1
328	в них	2	1
329	не понимают	1	1
330	бытие и	1	1
331	всю жизнь	1	1
332	мы видели	1	1
333	ведет к	1	1
334	должно быть	2	1
335	потому и	1	1
336	в один	3	1
337	не мог	2	1
338	я делаю	1	1
339	меняется и	1	1
340	в недра	1	1
341	интерес и	1	1
342	не зависит	1	1
343	моменты которые	1	1
344	жизни или	1	1
345	его идея	1	1
346	еще с	1	1
347	говорил о	2	1
348	знаем что	1	1
349	и о	8	1
350	чудо что	1	1
351	сам же	1	1
352	такую же	1	1
353	но он	1	1
354	в философии	1	1
355	имеем не	1	1
356	и более	1	1
357	однако в	2	1
358	в творчество	1	1
359	на образ	1	1
360	зрения и	1	1
361	даже в	1	1
362	сам он	1	1
363	по улице	1	1
364	всего его	1	1
365	без него	1	1
366	содержит в	1	1
367	виду что	1	1
368	вплоть до	1	1
369	для меня	2	1
370	о значении	1	1
371	она не	4	1
372	что с	2	1
373	в обоих	1	1
374	дело в	1	1
375	на себе	5	1
376	д все	2	1
377	точно так	2	1
378	но только	5	1
379	чем не	1	1
380	не имеет	14	1
381	не похоже	1	1
382	через него	1	1
383	самой жизни	1	1
384	к поэзии	1	1
385	она должна	2	1
386	воспринимается нами	1	1
387	что сегодня	3	1
388	с своей	1	1
389	частью не	1	1
390	должны иметь	1	1
391	весьма существенным	1	1
392	событий и	1	1
393	и потом	1	1
394	как будто	2	1
395	в области	3	1
396	ему не	1	1
397	у меня	1	1
398	идею и	3	1
399	стороны и	1	1
400	к себе	1	1
