N	3gram	Savitsky_E_1	Problemy
1	с точки зрения	16	9
2	не может быть	2	8
3	в большинстве случаев	2	8
4	в пределах одного	1	6
5	то же время	14	5
6	в то же	15	5
7	друг с другом	3	5
8	в том числе	1	4
9	то есть в	1	4
10	более или менее	1	3
11	в отличие от	1	3
12	том числе и	1	3
13	с другой стороны	2	3
14	нам кажется что	2	3
15	хотя и не	1	2
16	дело в том	1	2
17	большей или меньшей	1	2
18	как нам кажется	5	2
19	в этом смысле	3	2
20	по другую сторону	1	2
21	но и в	1	2
22	можно было бы	3	2
23	на этот вопрос	1	2
24	в том что	6	2
25	в большей или	1	2
26	или меньшей степени	1	2
27	но в то	2	2
28	можно сказать что	3	2
29	в одном из	2	2
30	той или иной	4	2
31	в отношении к	12	2
32	и не в	1	2
33	мы увидим что	1	2
34	не может не	1	1
35	а не к	1	1
36	иначе обстоит дело	2	1
37	следует отметить что	1	1
38	и в характере	1	1
39	в той или	3	1
40	он сам и	1	1
41	которая как мы	1	1
42	прежде всего в	2	1
43	в известной степени	3	1
44	также и в	1	1
45	кажется что в	1	1
46	в том же	1	1
47	одной стороны и	6	1
48	же как и	3	1
49	и во многих	1	1
50	мы говорили в	1	1
51	и в то	8	1
52	хотя бы и	3	1
53	мы остановились на	1	1
54	так как мы	1	1
55	и в этих	1	1
56	xviii и xix	2	1
57	рано или поздно	2	1
58	почти никогда не	1	1
59	может быть и	1	1
60	в значительной степени	1	1
61	так же как	5	1
62	в данном случае	2	1
63	с одной стороны	8	1
64	себе не только	1	1
65	по сравнению с	2	1
66	в связи с	1	1
67	не исключает возможности	1	1
68	или в отношении	1	1
69	к тому же	1	1
70	во всяком случае	3	1
71	до настоящего времени	1	1
72	о которых мы	1	1
73	вместо того чтобы	1	1
74	ней в ее	1	1
75	мы бы сказали	1	1
76	так и в	2	1
77	обстоит дело в	2	1
78	не только в	4	1
79	выходит за пределы	1	1
80	друг от друга	2	1
81	относятся к области	1	1
82	и ту же	1	1
83	к тому что	1	1
84	не только между	1	1
85	одну и ту	1	1
86	и до настоящего	1	1
87	а именно в	1	1
88	то есть к	1	1
