N	2gram	Medvedev_B_1	RusskieA
1	и в	1	36
2	не только	1	22
3	что в	1	19
4	и на	1	10
5	об этом	1	9
6	у нас	3	8
7	так и	1	7
8	таким образом	1	6
9	и не	2	6
10	все это	2	6
11	будто бы	1	6
12	все же	1	5
13	как будто	1	5
14	еще не	1	4
15	далеко не	1	3
16	в области	1	3
17	в ней	2	2
18	на самом	1	2
19	отнюдь не	1	2
20	же не	1	2
21	и более	1	2
22	к ней	1	2
23	не было	1	2
24	до конца	1	2
25	а не	1	2
26	и потому	1	2
27	и ее	1	1
28	должна быть	1	1
29	видеть в	2	1
30	вопрос о	1	1
31	меньшей мере	1	1
32	говорить о	1	1
33	не вполне	1	1
34	нет но	1	1
35	не все	1	1
36	что все	1	1
37	никак не	1	1
38	заставляет думать	1	1
39	из своей	1	1
40	значение слова	1	1
41	не о	1	1
42	по меньшей	1	1
43	нас еще	1	1
44	и о	1	1
45	еще лучше	1	1
46	можно было	2	1
47	и во	1	1
48	говорить об	1	1
49	было бы	1	1
50	на которой	1	1
51	всяком случае	1	1
52	в пределах	1	1
53	в данном	1	1
54	кроме того	1	1
55	между ними	1	1
56	для которой	1	1
57	также не	1	1
58	во всяком	1	1
