N	2gram	Propp_Isto_1	VerxiiNi
1	и в	28	26
2	таким образом	8	22
3	с тем	4	18
4	в этом	8	15
5	вместе с	6	15
6	как бы	2	12
7	в том	9	11
8	из этих	1	10
9	не только	12	10
10	и с	4	10
11	может быть	25	10
12	связи с	4	9
13	в области	2	9
14	так как	6	9
15	но и	10	9
16	магической силы	1	9
17	что в	12	9
18	но не	5	8
19	главным образом	1	8
20	и у	1	8
21	с другой	6	8
22	и не	9	8
23	но в	8	7
24	связанные с	2	7
25	но все	4	7
26	из них	3	7
27	том что	7	7
28	потому что	4	7
29	в эпоху	2	7
30	с одной	4	7
31	то что	9	7
32	а с	2	7
33	одной стороны	4	7
34	представление о	1	6
35	все же	10	6
36	все эти	4	6
37	в себе	2	6
38	в отношении	1	6
39	к тому	6	6
40	так и	9	6
41	о том	9	6
42	в конце	1	6
43	что и	6	6
44	несмотря на	1	6
45	и потому	2	6
46	все это	4	6
47	мы должны	13	6
48	во всяком	1	6
49	сих пор	5	5
50	и к	1	5
51	тому же	1	5
52	в силу	5	5
53	или менее	5	5
54	того чтобы	1	5
55	никогда не	14	5
56	с другом	3	5
57	для того	1	5
58	образом в	1	5
59	в его	5	5
60	до сих	5	5
61	а не	15	5
62	к жизни	1	5
63	друг с	4	5
64	и для	4	5
65	так же	7	5
66	одной из	2	5
67	более или	5	5
68	в котором	3	4
69	то же	12	4
70	целый ряд	1	4
71	в этой	6	4
72	и по	3	4
73	должен был	3	4
74	он не	2	4
75	попадает в	5	4
76	и тогда	3	4
77	в которых	1	4
78	в то	3	4
79	очень мало	2	4
80	в нем	2	4
81	а в	7	4
82	что оно	1	4
83	и что	10	4
84	и только	2	4
85	только в	11	4
86	на этот	2	4
87	ничем не	1	4
88	не может	15	4
89	из которых	3	4
90	и от	2	4
91	в этих	7	4
92	во время	3	4
93	что он	10	4
94	в виде	2	4
95	же как	2	3
96	из всех	2	3
97	не вполне	2	3
98	большей частью	2	3
99	к сожалению	3	3
100	в своем	5	3
101	когда он	6	3
102	и как	2	3
103	за собой	2	3
104	в которой	1	3
105	что это	8	3
106	духовной культуры	1	3
107	и если	2	3
108	при этом	3	3
109	оказывается что	1	3
110	тем не	6	3
111	если бы	8	3
112	не менее	6	3
113	как о	2	3
114	представляет собой	4	3
115	к концу	1	3
116	течением времени	1	3
117	но по	1	3
118	с самого	2	3
119	с течением	1	3
120	на нее	2	3
121	ясно что	2	3
122	в значительной	1	3
123	путь к	1	3
124	того что	4	3
125	но с	1	3
126	хотя бы	4	3
127	в качестве	5	3
128	так что	4	3
129	уже не	3	3
130	что эти	1	3
131	связывается с	1	3
132	для него	2	3
133	в одном	5	3
134	к ним	4	3
135	и даже	4	3
136	с ней	2	3
137	в связи	4	3
138	в рамках	2	3
139	а так	1	3
140	в результате	1	3
141	у них	1	3
142	отношению к	3	3
143	и другие	4	3
144	к этому	2	3
145	точно так	3	3
146	не должны	1	2
147	одним из	2	2
148	в русских	1	2
149	связана с	1	2
150	и это	1	2
151	и больше	1	2
152	всегда на	1	2
153	его не	1	2
154	мы имеем	13	2
155	надо было	1	2
156	так чтобы	2	2
157	еще не	7	2
158	и на	4	2
159	бы то	2	2
160	во всех	2	2
161	в народную	1	2
162	друг на	1	2
163	или иное	1	2
164	относится к	2	2
165	что именно	1	2
166	еще на	1	2
167	ни один	6	2
168	он в	2	2
169	на то	4	2
170	они в	1	2
171	не как	3	2
172	именно из	1	2
173	его от	1	2
174	связан с	1	2
175	то ни	2	2
176	те же	1	2
177	них не	1	2
178	с целью	1	2
179	в них	1	2
180	на друга	1	2
181	не всегда	8	2
182	мы видели	2	2
183	но если	2	2
184	и сейчас	1	2
185	которые в	2	2
186	не в	9	2
187	вплоть до	1	2
188	самого начала	2	2
189	тогда когда	2	2
190	ее с	1	2
191	тех пор	1	2
192	в самой	1	2
193	с одним	1	2
194	так например	6	2
195	этом отношении	1	2
196	ему в	3	2
197	и здесь	7	2
198	не могут	2	2
199	жертвоприношение и	1	2
200	утверждать что	3	2
201	этот путь	1	2
202	приводит к	2	2
203	в образе	3	2
204	не с	3	2
205	связанных с	1	2
206	можно только	1	2
207	по сравнению	1	2
208	не исчерпывается	1	2
209	для этого	3	2
210	мысль о	2	2
211	в виду	1	2
212	из соединения	1	2
213	с того	3	2
214	а также	1	2
215	в пользу	2	2
216	должно было	1	2
217	между тем	2	2
218	вслед за	6	2
219	у всех	1	2
220	по своей	2	2
221	один из	4	2
222	тот же	2	2
223	очень много	3	2
224	этот факт	1	2
225	иной характер	1	2
226	для всех	2	2
227	конечно не	2	2
228	в начале	3	2
229	одно из	1	2
230	мы можем	1	2
231	этой задачи	1	2
232	именно в	3	2
233	к которому	5	2
234	прежде всего	10	2
235	выступает в	1	2
236	связано с	2	2
237	превращается в	4	2
238	не было	1	2
239	может ли	1	2
240	и все	1	2
241	то ясно	2	2
242	так называемой	1	2
243	уже давно	1	2
244	связь с	4	2
245	по существу	5	2
246	на пути	1	2
247	что мы	7	2
248	только для	2	2
249	влечет за	1	2
250	же самое	3	2
251	при таком	1	2
252	совершенно иной	1	2
253	в эту	1	2
254	ни было	2	2
255	сказать что	5	2
256	из этого	2	2
257	можно назвать	2	2
258	это однако	1	1
259	можно говорить	1	1
260	за тем	1	1
261	речь идет	1	1
262	чтобы не	3	1
263	в этот	1	1
264	рассматривается как	1	1
265	начинается с	3	1
266	а весь	1	1
267	он может	1	1
268	это и	1	1
269	но тем	1	1
270	и есть	1	1
271	тем же	1	1
272	в первом	1	1
273	и предметы	1	1
274	философскими системами	1	1
275	и требует	1	1
276	и этот	1	1
277	несколько иной	1	1
278	этом направлении	1	1
279	мы уже	1	1
280	а как	1	1
281	выходить из	1	1
282	для достижения	1	1
283	превратились в	1	1
284	мы не	10	1
285	повседневной жизни	1	1
286	что уже	1	1
287	имеется и	1	1
288	нам в	1	1
289	ее частей	1	1
290	он как	1	1
291	представлением о	1	1
292	время как	3	1
293	не совсем	3	1
294	путь есть	1	1
295	же что	1	1
296	надо иметь	1	1
297	в ней	7	1
298	магии и	1	1
299	вышла из	1	1
300	связи со	1	1
301	на них	2	1
302	мы читаем	1	1
303	за это	1	1
304	может создаться	1	1
305	слабее чем	1	1
306	природы и	1	1
307	видели что	3	1
308	в сторону	1	1
309	по отношению	3	1
310	к скачкам	1	1
311	уже как	1	1
312	вступают в	1	1
313	более как	1	1
314	отличие от	2	1
315	к своей	1	1
316	друга и	1	1
317	что они	5	1
318	себя в	2	1
319	связи и	2	1
320	один и	2	1
321	как по	1	1
322	материалом для	1	1
323	эта связь	1	1
324	как в	2	1
325	поскольку они	1	1
326	выйти из	1	1
327	для совершения	1	1
328	некоторое время	2	1
329	народа в	2	1
330	вспомним что	1	1
331	однако не	2	1
332	могли бы	3	1
333	это тоже	6	1
334	себе не	1	1
335	от этого	2	1
336	над природой	1	1
337	то в	1	1
338	них как	1	1
339	к чему	3	1
340	та же	1	1
341	а во-вторых	1	1
342	бы с	1	1
343	гораздо слабее	1	1
344	то время	3	1
345	в нашем	1	1
346	связанного с	1	1
347	тоже не	2	1
348	его может	1	1
349	не более	2	1
350	и тот	2	1
351	сливаются в	1	1
352	внешнее сходство	1	1
353	вследствие этого	2	1
354	так сказать	1	1
355	и таких	1	1
356	чтобы они	1	1
357	всех этих	2	1
358	он должен	2	1
359	жить так	1	1
360	что еще	1	1
361	есть один	1	1
362	и более	1	1
363	с представлением	1	1
364	на этом	3	1
365	что она	5	1
366	прилетает к	1	1
367	основные черты	1	1
368	предполагается что	1	1
369	от нее	1	1
370	другой вид	1	1
371	бы быть	3	1
372	а по	2	1
373	еще хуже	1	1
374	его в	6	1
375	это было	2	1
376	себя что	1	1
377	всех народов	1	1
378	есть не	1	1
379	это не	7	1
380	было бы	7	1
381	к нашей	1	1
382	чаще всего	1	1
383	а просто	1	1
384	в жизни	1	1
385	из первых	1	1
386	смерть и	2	1
387	о характере	1	1
388	явствует что	1	1
389	нет в	2	1
390	соответствии с	1	1
391	как и	4	1
392	ни с	1	1
