N	2gram	Propp_Russ_1	Dialekti
1	и не	6	30
2	т е	17	30
3	может быть	8	20
4	не только	22	19
5	и в	36	19
6	и т	10	17
7	а не	2	16
8	в себе	1	15
9	т д	9	15
10	что она	2	14
11	потому что	10	14
12	то что	6	14
13	в том	17	14
14	так как	15	14
15	как бы	5	14
16	то же	3	12
17	точки зрения	3	12
18	не просто	2	12
19	но и	16	12
20	значит что	2	12
21	и все	1	12
22	и как	2	10
23	что это	3	10
24	в нем	2	10
25	ни в	1	10
26	как и	10	10
27	том что	19	10
28	сказать что	1	10
29	так и	7	10
30	это не	10	10
31	не может	4	9
32	мы уже	1	8
33	в этом	12	8
34	с точки	3	8
35	она не	2	8
36	так что	2	7
37	и к	3	7
38	как это	8	7
39	только тогда	1	7
40	но что	2	7
41	как будто	5	7
42	но это	4	7
43	поэтический образ	1	7
44	что в	19	7
45	чтобы не	1	6
46	но не	2	6
47	что они	7	6
48	отнюдь не	2	6
49	тогда когда	1	6
50	в то	1	6
51	и вообще	1	6
52	и та	1	6
53	что он	1	6
54	не потому	1	6
55	что не	1	6
56	того что	4	6
57	есть и	1	6
58	жизни и	1	6
59	и потому	2	5
60	и это	1	5
61	должна быть	1	5
62	говорить о	1	5
63	и стало	1	5
64	в силу	2	5
65	жизнь и	1	5
66	иной раз	1	5
67	и его	1	5
68	и с	2	5
69	в виду	1	5
70	о том	8	5
71	и что	4	5
72	можно сказать	1	5
73	что и	7	5
74	и пр	2	5
75	и следовательно	1	5
76	в одно	1	5
77	по своему	1	5
78	только в	4	5
79	поэзии и	1	4
80	еще не	4	4
81	самом деле	1	4
82	тут же	2	4
83	независимо от	2	4
84	в своем	3	4
85	все же	5	4
86	та же	2	4
87	как он	2	4
88	при этом	6	4
89	он не	1	4
90	и по	8	4
91	таким образом	6	4
92	одна и	1	4
93	в одном	3	4
94	все это	6	4
95	с ним	2	4
96	и время	1	4
97	связи с	4	4
98	в таком	1	4
99	не могут	1	4
100	все на	1	4
101	к нему	1	4
102	уже в	1	4
103	одно из	5	4
104	то время	1	4
105	от того	1	4
106	в связи	4	4
107	в меру	1	4
108	могут быть	2	4
109	быть и	2	4
110	а в	9	4
111	же как	1	3
112	таком случае	1	3
113	как мы	10	3
114	этого нет	1	3
115	что если	1	3
116	вопрос о	1	3
117	что иное	2	3
118	это время	2	3
119	иное как	2	3
120	в чем	1	3
121	а только	1	3
122	себе и	1	3
123	время но	1	3
124	в этой	1	3
125	с этим	2	3
126	кроме того	1	3
127	от этого	1	3
128	после этого	4	3
129	всех этих	2	3
130	не значит	2	3
131	же не	2	3
132	об этом	9	3
133	его в	1	3
134	и мы	1	3
135	было бы	1	3
136	уже знаем	1	3
137	в один	2	3
138	мы имеем	4	3
139	форма и	1	3
140	в этих	3	3
141	или вообще	1	3
142	и более	2	3
143	что этот	4	3
144	не менее	3	3
145	ничего не	3	3
146	в разных	3	3
147	или как	1	3
148	как только	1	3
149	должны быть	1	3
150	уже не	6	3
151	как они	2	3
152	нуждается в	1	3
153	сразу же	1	3
154	будто бы	6	3
155	из них	8	3
156	и из	3	3
157	о котором	1	3
158	и их	4	3
159	не было	2	3
160	о чем	3	3
161	в данном	1	3
162	в той	1	3
163	в это	3	3
164	его с	4	3
165	это как	1	3
166	или нет	1	3
167	в целях	3	3
168	е в	8	3
169	только как	1	3
170	не что	2	3
171	они не	1	3
172	как известно	2	2
173	также и	1	2
174	на новое	1	2
175	на самом	2	2
176	только потому	1	2
177	тем же	1	2
178	что эти	1	2
179	например в	2	2
180	из всего	1	2
181	не во	1	2
182	от своих	1	2
183	бы ни	1	2
184	как не	2	2
185	зависимости от	1	2
186	в ней	2	2
187	во всех	4	2
188	что я	1	2
189	если в	3	2
190	в общем	1	2
191	очевидно что	1	2
192	которые не	3	2
193	в истории	1	2
194	как в	5	2
195	перед нами	1	2
196	что по	4	2
197	уже нельзя	1	2
198	но в	2	2
199	в которой	1	2
200	все эти	2	2
201	сливаются в	1	2
202	не как	1	2
203	на этом	3	2
204	но все	3	2
205	в каждом	2	2
206	влиять на	1	2
207	на все	2	2
208	с целью	2	2
209	в жизни	2	2
210	только одно	1	2
211	солнце и	1	2
212	с тем	8	2
213	несмотря на	3	2
214	смысл и	1	2
215	во время	14	2
216	и при	1	2
217	взгляд на	1	2
218	в их	4	2
219	далее в	2	2
220	тем не	3	2
221	их в	3	2
222	необходимо чтобы	1	2
223	тому что	4	2
224	что есть	1	2
225	виду что	1	2
226	дело не	1	2
227	того как	5	2
228	не по	1	2
229	иметь в	1	2
230	что на	4	2
231	в области	3	2
232	к тому	4	2
233	когда они	1	2
234	данном случае	1	2
235	нами выше	1	2
236	по этой	1	2
237	что у	2	2
238	имеется в	1	2
239	разница между	2	2
240	но мы	1	2
241	или на	3	2
242	между тем	7	2
243	не отличаются	1	2
244	всяком случае	1	2
245	что бы	1	2
246	мы должны	2	2
247	что здесь	1	2
248	как из	1	2
249	д и	1	2
250	мы видим	2	2
251	с ними	5	2
252	в какой	2	2
253	есть в	1	2
254	или в	2	2
255	религии но	1	2
256	т п	1	2
257	тем что	4	2
258	в очень	1	2
259	в некоторых	4	2
260	в любой	1	2
261	не на	2	2
262	жизнь в	1	2
263	сходство в	1	2
264	ни о	1	2
265	что мы	1	2
266	в частности	2	2
267	нами как	1	2
268	вместе с	10	2
269	так же	3	2
270	или по	1	2
271	и поэтический	1	2
272	в тех	4	2
273	содержанием и	1	2
274	форм и	1	2
275	или не	1	2
276	же в	1	2
277	это все	1	2
278	только о	1	2
279	в виде	6	2
280	в своих	2	2
281	во всяком	1	2
282	который должен	1	1
283	говоря о	1	1
284	самых разнообразных	1	1
285	того же	1	1
286	и будущих	1	1
287	тех же	1	1
288	многих отношениях	1	1
289	очень много	1	1
290	между двумя	2	1
291	можем судить	1	1
292	по преимуществу	1	1
293	и до	2	1
294	оно было	1	1
295	становится ясной	1	1
296	по его	1	1
297	их и	3	1
298	народного просвещения	1	1
299	которую мы	1	1
300	такое положение	1	1
301	но она	2	1
302	и сроки	1	1
303	ему в	1	1
304	и самой	1	1
305	не все	1	1
306	явление не	1	1
307	кто же	1	1
308	и он	1	1
309	и мифологическое	1	1
310	вывод что	3	1
311	и этого	1	1
312	он был	2	1
313	на них	1	1
314	в различных	2	1
315	жениться на	1	1
316	не без	1	1
317	природы и	2	1
318	разницы между	1	1
319	другой пример	1	1
320	точка зрения	1	1
321	земле но	1	1
322	отличие от	1	1
323	разница в	1	1
324	нет надобности	2	1
325	его на	1	1
326	общего с	1	1
327	что именно	2	1
328	показать что	1	1
329	она как	1	1
330	к новому	1	1
331	что касается	1	1
332	однако не	1	1
333	религиозным или	1	1
334	сходство между	2	1
335	когда он	2	1
336	весь мир	1	1
337	для которой	1	1
338	с г	2	1
339	очень многие	1	1
340	из мифа	1	1
341	из жизни	1	1
342	в целом	2	1
343	за это	1	1
344	всей своей	1	1
345	из этих	4	1
346	на некоторых	1	1
347	однако как	2	1
348	года и	1	1
349	по форме	1	1
350	тому же	1	1
351	во многих	5	1
352	в жертву	1	1
353	же но	1	1
354	на свой	1	1
355	образ его	1	1
356	к выводу	2	1
357	земли на	1	1
358	что могут	1	1
359	связанные с	3	1
360	поставленного выше	1	1
361	целый год	1	1
362	единственная форма	1	1
363	собственно не	1	1
364	и эти	1	1
365	этого вопроса	1	1
366	не к	1	1
367	иногда же	1	1
368	когда на	2	1
369	не бывает	1	1
370	что все	1	1
371	главным образом	2	1
372	значение в	1	1
373	теми которые	1	1
374	и менее	1	1
375	на почве	1	1
376	известно что	1	1
377	и тем	1	1
378	на первую	1	1
379	в них	6	1
380	также не	1	1
381	далеко не	3	1
382	показывает что	5	1
383	нас к	2	1
384	со своими	1	1
385	не всегда	1	1
386	в москве	3	1
387	чем в	2	1
388	других формах	1	1
389	одного и	1	1
390	на еду	2	1
391	в установлении	1	1
392	но если	1	1
393	и ее	1	1
394	просто в	1	1
395	она в	3	1
396	от времени	1	1
397	сходно с	1	1
398	и сопоставить	1	1
399	в животном	1	1
400	желаемое в	1	1
401	но эта	1	1
402	не будем	3	1
403	теми же	1	1
404	на небо	3	1
405	в древней	2	1
406	показал в	1	1
407	деле это	1	1
408	такие фигуры	1	1
409	что ему	2	1
410	считает что	1	1
411	и прочие	1	1
412	ее с	1	1
413	в основе	1	1
414	составные элементы	1	1
415	в самых	1	1
416	из их	1	1
417	значение этого	1	1
418	и всегда	1	1
419	подобно тому	1	1
420	одна из	4	1
421	на землю	1	1
422	с религией	2	1
423	нас еще	1	1
424	все стороны	1	1
425	или когда	1	1
426	из основных	1	1
427	на природу	1	1
428	это слово	1	1
429	и теперь	1	1
430	и сама	1	1
431	этом отношении	1	1
432	но даже	2	1
433	ему не	1	1
434	не знали	2	1
435	с другом	1	1
436	по ней	1	1
437	начиная с	3	1
438	нам что	1	1
439	разницей что	1	1
440	в сказках	1	1
441	сходство с	2	1
442	и другим	2	1
443	же только	1	1
444	его значение	1	1
445	они и	2	1
446	оно не	1	1
447	землю на	1	1
448	к жизни	3	1
449	и о	1	1
450	у себя	1	1
451	всем этим	1	1
452	в собственном	1	1
453	приводит к	3	1
454	в дальнейшем	2	1
455	мы наблюдаем	2	1
456	слова а	1	1
457	в образе	2	1
458	в глаза	1	1
459	те же	1	1
460	еще в	4	1
461	подойти к	2	1
462	и на	10	1
463	составные части	2	1
464	быть может	1	1
465	по мере	1	1
466	выводу что	2	1
467	необходимо иметь	1	1
468	только так	1	1
469	что часто	1	1
470	и здесь	2	1
471	двери и	1	1
472	не был	1	1
473	вот почему	1	1
474	нечто совсем	1	1
475	и поэтому	2	1
476	внимание на	1	1
477	на что	2	1
478	и просто	1	1
479	как этот	1	1
480	из ряда	1	1
481	нас в	1	1
482	и во	1	1
483	попала в	1	1
484	но весь	1	1
485	по типу	1	1
486	от них	3	1
487	судить о	2	1
488	во всей	1	1
489	себя но	1	1
490	них в	2	1
491	это несомненно	1	1
