N	2gram	Kanaev_Sov_1	Retstnzi
1	не может	17	4
2	и в	7	3
3	если в	1	2
4	один из	1	2
5	нуждаются в	1	1
6	то же	3	1
7	можно назвать	2	1
8	не из	1	1
9	в системе	3	1
10	в ней	1	1
11	может быть	12	1
12	из этих	2	1
13	и не	6	1
14	в его	2	1
15	от общей	1	1
16	он в	3	1
17	это направление	1	1
18	связи с	1	1
19	не только	4	1
20	с точки	5	1
21	в каждом	8	1
22	не менее	2	1
23	если бы	1	1
24	нет и	4	1
25	несмотря на	1	1
26	и все	3	1
27	в то	1	1
28	вторая половина	2	1
29	точки зрения	12	1
30	может не	3	1
31	мы видим	2	1
32	и должно	1	1
33	же время	1	1
34	по своим	1	1
35	а не	3	1
