N	2gram	Vinokur_St_1	RusskieA
1	и в	44	36
2	не только	18	22
3	том что	29	19
4	что в	30	19
5	в и	130	17
6	в том	36	17
7	т е	15	17
8	но и	10	16
9	так как	5	15
10	во время	3	14
11	и другие	1	13
12	п в	3	13
13	xix в	5	13
14	в этом	21	12
15	в других	2	11
16	и т	30	10
17	и на	1	10
18	это не	8	10
19	как и	9	10
20	как мы	1	10
21	вместе с	1	10
22	потому что	6	10
23	т д	21	9
24	об этом	3	9
25	а в	17	9
26	и по	5	8
27	с тем	1	8
28	у нас	11	8
29	о том	17	8
30	из них	8	8
31	может быть	15	8
32	как это	4	8
33	е в	2	8
34	что они	7	7
35	е ф	1	7
36	так и	9	7
37	между тем	3	7
38	что и	6	7
39	и других	1	7
40	полагает что	1	6
41	мы не	2	6
42	в виде	3	6
43	так например	7	6
44	таким образом	7	6
45	при этом	2	6
46	видно что	3	6
47	не имеет	4	6
48	уже не	1	6
49	в них	1	6
50	и не	16	6
51	все это	5	6
52	для нас	7	6
53	будто бы	3	6
54	то что	18	6
55	иногда и	2	5
56	как в	13	5
57	все же	8	5
58	во многих	3	5
59	показывает что	1	5
60	в которых	5	5
61	того как	1	5
62	как будто	4	5
63	некоторые другие	1	5
64	там же	1	5
65	и у	2	5
66	одно из	2	5
67	в течение	1	5
68	как бы	4	5
69	этом случае	2	5
70	г в	5	4
71	мы имеем	2	4
72	еще не	3	4
73	во всех	8	4
74	что по	1	4
75	в россии	4	4
76	входит в	1	4
77	в г	3	4
78	из этих	6	4
79	что этот	2	4
80	тому что	3	4
81	вплоть до	5	4
82	а иногда	2	4
83	одна из	1	4
84	что на	2	4
85	к тому	1	4
86	так в	1	4
87	еще в	1	4
88	и что	4	4
89	и их	2	4
90	тем что	5	4
91	а с	3	4
92	и др	1	4
93	в некоторых	1	4
94	в тех	3	4
95	того что	9	4
96	по существу	2	4
97	но это	6	4
98	петра i	1	4
99	не может	8	4
100	только в	10	4
101	к этому	1	4
102	то на	1	3
103	увидим ниже	1	3
104	их и	1	3
105	представление о	4	3
106	как правило	2	3
107	своего рода	3	3
108	если в	2	3
109	в своем	2	3
110	что это	4	3
111	думать что	2	3
112	и те	2	3
113	связанные с	3	3
114	то же	5	3
115	но все	4	3
116	для них	1	3
117	далеко не	1	3
118	несмотря на	2	3
119	в москве	2	3
120	в этих	2	3
121	точки зрения	11	3
122	с точки	8	3
123	тем не	2	3
124	но они	1	3
125	их в	2	3
126	не менее	5	3
127	разных формах	1	3
128	в разных	1	3
129	ничего не	2	3
130	и другой	1	3
131	можно сделать	1	3
132	начиная с	2	3
133	то есть	2	3
134	настоящее время	1	3
135	а также	2	3
136	в середине	1	3
137	также в	2	3
138	как например	1	3
139	тех местах	1	3
140	по этому	3	3
141	в качестве	4	3
142	слова в	1	3
143	в одном	1	3
144	к ним	1	3
145	в области	14	3
146	и из	1	3
147	на этот	3	3
148	о чем	1	3
149	так называемой	2	3
150	так же	5	3
151	пишет в	1	3
152	в это	1	3
153	этого слова	2	3
154	и некоторые	1	3
155	в настоящее	1	3
156	в целях	1	3
157	и к	1	3
158	но эти	1	3
159	как известно	1	2
160	можно говорить	1	2
161	например в	8	2
162	еще до	1	2
163	к нам	1	2
164	на себя	1	2
165	в числе	2	2
166	это время	1	2
167	в ней	3	2
168	он был	3	2
169	советское время	1	2
170	на самом	6	2
171	но не	3	2
172	не просто	1	2
173	как по	1	2
174	что именно	1	2
175	с этим	3	2
176	хотя и	1	2
177	но в	10	2
178	в целом	5	2
179	все эти	5	2
180	в нашем	1	2
181	и и	2	2
182	и до	1	2
183	как он	1	2
184	и всей	1	2
185	что она	4	2
186	в нем	5	2
187	всех этих	2	2
188	не значит	3	2
189	чем у	2	2
190	в каждом	3	2
191	и с	3	2
192	разница между	2	2
193	с целью	1	2
194	вокруг этого	1	2
195	такой же	5	2
196	в один	1	2
197	никаких признаков	1	2
198	далее в	2	2
199	должны были	1	2
200	и более	2	2
201	том же	1	2
202	для этого	2	2
203	этой работы	2	2
204	нас к	1	2
205	как можно	2	2
206	она не	2	2
207	у него	2	2
208	в советское	1	2
209	судя по	2	2
210	но даже	1	2
211	могут быть	5	2
212	и другим	1	2
213	области изучения	2	2
214	ничего общего	3	2
215	ни одно	1	2
216	что у	4	2
217	что от	2	2
218	на все	1	2
219	после того	1	2
220	ко дню	1	2
221	должно было	2	2
222	этому поводу	2	2
223	в его	9	2
224	них в	1	2
225	в свете	1	2
226	значит что	3	2
227	только у	2	2
228	этот вопрос	4	2
229	в какой	3	2
230	что русские	1	2
231	работы на	1	2
232	ii в	1	2
233	какой степени	1	2
234	так что	6	2
235	сомнений в	1	2
236	его и	1	2
237	не означает	1	2
238	в прошлом	1	2
239	но что	1	2
240	чтобы лучше	1	2
241	он так	1	2
242	не было	4	2
243	не были	1	2
244	чем в	3	2
245	такое же	1	2
246	с ней	1	2
247	до конца	1	2
248	не на	1	2
249	а не	16	2
250	должна была	4	2
251	в частности	4	2
252	в равной	2	2
253	и потому	2	2
254	судить по	1	2
255	многих случаях	2	2
256	там где	5	2
257	быть и	2	2
258	между прочим	2	2
259	между собой	1	2
260	к вопросу	1	2
261	и для	3	2
262	тем и	1	2
263	или в	1	2
264	чем можно	1	2
265	в своих	2	2
266	нас не	1	2
267	широко распространено	1	1
268	также и	9	1
269	же как	3	1
270	происхождения ни	1	1
271	чтобы не	1	1
272	эти случаи	1	1
273	самом деле	11	1
274	тех же	1	1
275	многих отношениях	1	1
276	зависимости от	1	1
277	представлял собой	1	1
278	в первом	2	1
279	на две	1	1
280	что эти	1	1
281	должна быть	3	1
282	видеть в	1	1
283	этих строк	1	1
284	и за	3	1
285	по его	2	1
286	и могут	1	1
287	поэзии и	1	1
288	землей и	1	1
289	самые разнообразные	1	1
290	не приходится	1	1
