N	3gram	Vinokur_St_2	Istorich
1	и т д	6	16
2	с другой стороны	3	8
3	о том что	11	5
4	так же как	3	4
5	что у него	1	4
6	тем не менее	2	4
7	в том что	16	4
8	в ответ на	1	3
9	то что в	2	3
10	в данном случае	1	3
11	с того что	1	3
12	дело не в	1	3
13	между прочим и	1	2
14	точно так же	1	2
15	как и другие	1	2
16	в одной из	2	2
17	после того как	4	2
18	на этот вопрос	1	2
19	до сих пор	5	2
20	в том чтобы	1	2
21	ответ на вопрос	1	2
22	так и в	2	2
23	т е в	1	2
24	в то время	1	2
25	в том-то и	1	2
26	но все же	2	2
27	он не сумел	1	1
28	только потому что	2	1
29	с точки зрения	2	1
30	по отношению к	1	1
31	совсем не в	1	1
32	в самом деле	2	1
33	и в особенности	1	1
34	он не только	1	1
35	с тех пор	1	1
36	в этом случае	1	1
37	в своей работе	1	1
38	и как он	1	1
39	он не может	1	1
40	в исторической действительности	1	1
41	в зависимости от	1	1
42	в другом месте	2	1
43	что он не	4	1
44	ответить на вопрос	1	1
45	бы то ни	2	1
46	но все это	2	1
47	но он не	1	1
48	и т п	3	1
49	теперь ничего не	1	1
50	совершенно так же	2	1
51	ничего не говорится	1	1
52	вы говорите что	1	1
53	говорит о том	1	1
54	вместе с тем	5	1
55	не хотелось бы	1	1
56	том что к	1	1
57	обращает на себя	3	1
58	в свете этой	1	1
59	то ни было	2	1
60	и что он	1	1
61	а по своим	1	1
62	в связи с	1	1
63	то что он	2	1
64	том-то и дело	1	1
65	на вопрос о	1	1
66	в каких условиях	1	1
67	более или менее	2	1
68	вопрос о том	3	1
69	не подходит под	1	1
70	прямой связи с	1	1
71	во второй половине	1	1
72	к тому что	5	1
73	по его мнению	1	1
74	прочим и в	1	1
75	как мы видели	1	1
