N	3gram	Bakhtin_Pr_2	Tragedij
1	униженных и оскорбленных	1	16
2	то же время	5	5
3	в то же	5	5
4	так и в	1	3
5	по замыслу достоевского	1	2
6	в отличие от	4	2
7	но в то	3	2
8	между этими двумя	1	2
9	о том что	1	2
10	но все же	2	2
11	в том что	1	2
12	а между тем	1	1
13	в этом мире	1	1
14	с отцом и	1	1
15	для чего же	1	1
16	в известной степени	1	1
17	ивана карамазова в	1	1
18	я очень хорошо	1	1
19	том что он	2	1
20	у него нет	1	1
21	и не может	4	1
22	хотя бы и	1	1
23	сам по себе	5	1
24	в столкновение с	1	1
25	но и на	1	1
26	в той же	1	1
27	что он не	1	1
28	и т п	9	1
29	то и он	1	1
30	во всяком случае	1	1
31	в конце концов	2	1
32	смысле этого слова	1	1
33	но при этом	2	1
34	тем не менее	2	1
35	все же не	1	1
36	в связи с	1	1
37	то что он	1	1
38	вместо того чтобы	1	1
39	не может быть	4	1
40	если б я	1	1
41	голядкина в двойнике	1	1
42	как и все	4	1
43	в одном из	1	1
44	и он сам	1	1
45	не только не	1	1
46	в самом деле	4	1
47	и даже отчасти	1	1
48	после того как	1	1
49	значение для понимания	1	1
50	как и в	3	1
