N	3gram	Tiupa_Hudo_2	StatiiOP
1	в том что	11	11
2	и т п	2	6
3	не может быть	3	5
4	как например в	1	4
5	с точки зрения	2	4
6	в этом отношении	1	4
7	то время как	1	4
8	с другой стороны	1	4
9	о том что	7	4
10	в то время	1	4
11	состоит в том	2	3
12	в г в	1	3
13	то же время	4	3
14	не только в	2	3
15	в то же	4	3
16	то что я	1	2
17	до сих пор	2	2
18	что если бы	1	2
19	что это за	1	2
20	тем что он	1	2
21	с одной стороны	3	2
22	и в этом	2	2
23	все более и	1	2
24	нельзя сказать что	1	2
25	между тем как	1	2
26	заключается в том	1	2
27	с самого начала	1	2
28	более и более	1	2
29	но все же	1	2
30	в течение всей	1	2
31	к тому что	4	2
32	а с другой	1	2
33	тем не менее	3	2
34	и т д	2	2
35	можно сказать что	1	1
36	одних и тех	1	1
37	а иногда и	1	1
38	из этих двух	1	1
39	течение всей жизни	1	1
40	а не в	2	1
41	но то что	1	1
42	в самом деле	3	1
43	то же самое	2	1
44	что он уже	1	1
45	тот или иной	1	1
46	именно то что	1	1
47	и в других	1	1
48	и тех же	1	1
49	можно было бы	2	1
50	к жизни и	1	1
51	в самом начале	1	1
52	и который в	1	1
53	сих пор мы	1	1
54	сказывается и в	1	1
55	для искусства он	1	1
56	так или иначе	1	1
57	приводит к тому	1	1
58	которая была бы	1	1
59	что это была	1	1
60	и сам он	2	1
61	в этом и	2	1
62	на этом пути	1	1
63	что несмотря на	1	1
64	мы имели дело	1	1
65	сказать что они	1	1
66	в одном из	1	1
67	и тот и	1	1
68	и в самом	1	1
69	не только не	2	1
70	той или иной	1	1
71	этого термина а	1	1
72	в молодые годы	1	1
73	можно судить по	1	1
74	что все они	2	1
75	для того чтобы	3	1
76	и ему хотелось	1	1
77	значении этого термина	1	1
