N	2gram	Medvedev_F_3	VelikijI
1	и не	30	20
2	и в	27	16
3	так как	9	9
4	то что	8	9
5	еще не	6	8
6	в истории	5	8
7	что они	5	7
8	на земле	2	7
9	а не	17	7
10	и потому	5	7
11	человека и	2	6
12	не есть	4	6
13	но и	10	5
14	того что	3	5
15	хотя и	1	5
16	в мире	1	5
17	все это	7	5
18	как бы	8	5
19	говорить о	2	4
20	в его	7	4
21	в этом	18	4
22	что он	6	4
23	потому что	7	4
24	в нем	15	4
25	так и	21	4
26	как и	14	4
27	что мы	1	4
28	в котором	2	4
29	в ней	5	4
30	и все	8	4
31	они будут	2	4
32	от этого	2	3
33	и что	3	3
34	должна быть	3	3
35	хотя бы	6	3
36	то это	1	3
37	как не	2	3
38	лишь в	9	3
39	с его	2	3
40	во всех	3	3
41	что и	2	3
42	в том	7	3
43	тот же	1	3
44	но в	6	3
45	бы и	3	3
46	все эти	6	3
47	за ним	1	3
48	в конце	3	3
49	их в	3	3
50	в своей	6	3
51	в жизни	11	3
52	ни в	8	3
53	в них	3	3
54	не было	1	3
55	должно быть	1	3
56	в этих	3	3
57	нет ничего	1	3
58	в первый	1	3
59	не в	12	3
60	тому что	3	3
61	но это	2	3
62	никогда не	5	3
63	превращается в	2	3
64	и для	6	3
65	к тому	4	3
66	жизни и	4	3
67	что в	8	3
68	людей в	1	3
69	оно не	3	3
70	и это	2	2
71	нем нет	1	2
72	того чтобы	5	2
73	и то	1	2
74	не имел	1	2
75	от своей	1	2
76	но мы	1	2
77	и т	11	2
78	можно было	1	2
79	его не	1	2
80	мы не	4	2
81	в последнем	2	2
82	с ним	1	2
83	ее и	2	2
84	и во	2	2
85	между тем	7	2
86	нет и	3	2
87	от этих	2	2
88	не с	1	2
89	человека как	2	2
90	только в	8	2
91	в себя	1	2
92	конечно не	4	2
93	уже не	3	2
94	не только	9	2
95	чтобы овладеть	1	2
96	на этих	1	2
97	его и	3	2
98	превращаются в	2	2
99	не так	1	2
100	для него	1	2
101	не к	1	2
102	и никогда	1	2
103	людей не	1	2
104	тем что	5	2
105	не будет	1	2
106	это не	3	2
107	т д	6	2
108	прежде всего	4	2
109	для них	7	2
110	с тем	7	2
111	мы и	3	2
112	один из	1	2
113	для их	1	2
114	и тогда	2	2
115	мира в	1	2
116	не могут	10	2
117	является в	2	2
118	да и	4	2
119	одна из	2	2
120	том что	4	2
121	а к	2	2
122	для нас	3	2
123	от него	2	2
124	в форме	1	2
125	и теперь	6	2
126	они и	3	2
127	ее в	3	2
128	есть уже	1	2
129	не создает	1	2
130	а в	1	2
131	но не	5	2
132	могут быть	4	2
133	во всяком	6	2
134	глубокие и	1	1
135	дальнейшая история	1	1
136	от этой	1	1
137	как мы	8	1
138	бы сделать	1	1
139	в виду	3	1
140	будет так	1	1
141	в ее	4	1
142	в словах	1	1
143	и до	1	1
144	роль в	4	1
145	важное место	1	1
146	и самое	1	1
147	не имеют	1	1
148	значение в	1	1
149	если они	2	1
150	то же	15	1
151	с внутренним	1	1
152	в результате	5	1
153	это только	2	1
154	что уже	2	1
155	еще так	1	1
156	и вообще	1	1
157	не была	1	1
158	который был	2	1
159	говорят что	1	1
160	и ее	6	1
161	не был	1	1
162	же что	2	1
163	зависимости от	5	1
164	лишь тот	1	1
165	целое и	3	1
166	в их	1	1
167	и на	3	1
168	он был	4	1
169	жизни т	1	1
170	и который	1	1
171	бы то	4	1
172	оно ни	1	1
173	конечно это	2	1
174	других людей	1	1
175	жизни с	2	1
176	все в	1	1
177	страшном суде	1	1
178	от них	1	1
179	менее всего	4	1
180	а потому	1	1
181	что человек	1	1
182	себе и	1	1
183	бы в	6	1
184	от исторической	1	1
185	не просто	1	1
186	и чем	1	1
187	что бы	1	1
188	сложное и	1	1
189	его на	1	1
190	как в	4	1
191	и самые	1	1
192	и мир	2	1
193	в своем	2	1
194	все же	6	1
195	но с	1	1
196	в двух	1	1
197	мы видим	1	1
198	мы увидим	2	1
199	и так	1	1
200	это очень	1	1
201	со своей	1	1
202	в самом	11	1
203	у них	2	1
204	что это	3	1
205	бы ни	4	1
206	в целом	4	1
207	существует лишь	1	1
208	этого сама	1	1
209	тоже не	1	1
210	в этой	2	1
211	же и	4	1
212	им в	1	1
213	уже в	4	1
214	то и	1	1
215	и если	1	1
216	как объективную	1	1
217	или даже	1	1
218	чего бы	1	1
219	перестает быть	2	1
220	теперь это	1	1
221	и навсегда	3	1
222	но путь	1	1
223	и должна	1	1
224	вовсе не	28	1
225	и по	1	1
226	на этом	2	1
227	бы от	1	1
228	и вместе	1	1
229	человека в	2	1
230	лишь к	2	1
231	для того	4	1
232	им по	1	1
233	у ницше	1	1
234	без такого	1	1
235	то ни	4	1
236	всякого содержания	1	1
237	и с	3	1
238	ней и	1	1
239	ними как	1	1
240	а его	1	1
241	не дали	1	1
242	с другой	6	1
243	есть не	1	1
244	и быть	1	1
245	еще и	1	1
246	и тем	3	1
247	души и	3	1
248	даже что	2	1
249	на страшном	1	1
250	говорит о	1	1
251	формах в	1	1
252	ничем не	1	1
253	жизнь в	1	1
254	для чего	2	1
255	между собою	1	1
256	очень важное	1	1
257	его по	1	1
258	о чем	1	1
259	стороны в	1	1
260	ли было	1	1
261	таким же	2	1
262	вместе с	6	1
263	жизнь так	2	1
264	так же	9	1
265	как это	4	1
266	является и	2	1
267	с каким-то	1	1
268	и столь	1	1
269	у нас	3	1
270	в которых	3	1
271	он говорит	1	1
272	для всякого	1	1
273	с такой	2	1
274	в одном	1	1
275	а потом	1	1
276	образ и	1	1
277	это значит	2	1
278	который он	1	1
279	если нет	1	1
280	этого слова	2	1
281	освободиться от	1	1
282	с этой	1	1
283	и очень	2	1
284	раз и	3	1
285	нет никакого	1	1
286	какие бы	2	1
287	и нет	1	1
288	ни для	2	1
289	в познании	1	1
290	и новой	1	1
291	свою роль	1	1
292	и именно	2	1
293	предложение и	2	1
294	мы все	1	1
295	в другие	1	1
296	к нейтральному	1	1
297	и от	11	1
298	мира и	1	1
299	ничего не	2	1
300	в разных	1	1
301	того как	1	1
302	всего можно	1	1
303	лишь как	3	1
304	может быть	25	1
305	пути и	1	1
306	вообще в	1	1
307	как она	1	1
308	конце концов	2	1
309	вот что	1	1
310	в новых	1	1
311	на него	1	1
312	в сознании	1	1
313	звучит в	1	1
314	из сторон	1	1
315	жизни в	3	1
316	может и	3	1
317	другой стороны	5	1
318	его нужно	1	1
319	но все	1	1
320	новых формах	2	1
321	к этому	2	1
322	его с	1	1
323	в искусстве	7	1
324	в своих	6	1
325	слова с	1	1
326	в процессе	15	1
327	и эта	3	1
328	это в	1	1
329	она не	4	1
330	они не	4	1
