N	3gram	Voloshinov_1	Vladivir
1	в том что	4	10
2	тем не менее	2	9
3	о том что	1	8
4	с точки зрения	10	6
5	а также и	1	6
6	не может быть	3	6
7	что же касается	1	5
8	дело в том	1	5
9	в то время	1	4
10	ничего не говорит	1	4
11	том что в	1	3
12	в настоящее время	1	3
13	хотя бы и	2	3
14	бы то ни	1	3
15	во всяком случае	3	3
16	с одной стороны	1	3
17	в то же	5	3
18	и в отношении	1	3
19	в отличие от	1	3
20	никакого отношения к	1	3
21	как мы видели	4	3
22	сводится к тому	1	2
23	то ни стало	1	2
24	иметь в виду	1	2
25	ни в каких	1	2
26	есть прежде всего	1	2
27	при таких условиях	1	2
28	во что бы	1	2
29	в таком случае	2	2
30	сам по себе	2	2
31	в этом отношении	2	2
32	а с другой	1	2
33	он никогда не	1	2
34	что бы то	1	2
35	в данном случае	3	2
36	в себе и	1	2
37	ни в каком	1	2
38	то же время	5	2
39	ничего общего с	1	2
40	к нему и	1	2
41	в вопросе о	1	2
42	но как раз	1	1
43	а следовательно и	2	1
44	в нашем сознании	1	1
45	не является продуктом	1	1
46	чем определяется его	1	1
47	а потому и	2	1
48	том что это	1	1
49	это было бы	1	1
50	так как в	1	1
51	в котором он	1	1
52	и необходимость его	1	1
53	в таком виде	1	1
54	том что он	2	1
55	в этом случае	1	1
56	так и его	1	1
57	и в данном	1	1
58	и должны быть	1	1
59	до сих пор	3	1
60	он не был	1	1
61	мы не будем	1	1
62	того что мы	1	1
63	сих пор не	1	1
64	и в дальнейшем	1	1
65	только то что	2	1
66	как раз наиболее	1	1
67	от того чтобы	1	1
68	так и с	1	1
69	это вовсе не	1	1
70	является для него	1	1
71	благодаря тому что	2	1
72	для него только	1	1
73	одно и то	1	1
74	и тем не	1	1
75	отнюдь не является	1	1
76	ни в какой	1	1
77	может быть и	1	1
78	в последний период	1	1
79	далеко не всегда	3	1
80	в этой работе	1	1
81	тому что все	1	1
82	именно в этой	1	1
83	в себя и	1	1
84	и то же	1	1
85	а есть только	1	1
86	как будто бы	1	1
87	но и его	1	1
88	человеческой души в	1	1
89	но вместе с	2	1
90	и она не	1	1
91	то что он	1	1
92	понятно и не	1	1
93	все то что	2	1
94	если мы будем	1	1
95	и ни в	1	1
96	вместо этого он	1	1
97	каждое из этих	1	1
98	раз и навсегда	1	1
99	мы не можем	1	1
100	и притом в	1	1
101	это и есть	1	1
102	к которой он	1	1
103	с самого начала	5	1
104	в самом деле	5	1
105	выходит за пределы	1	1
106	мы знаем что	3	1
107	на примере анализа	1	1
108	однако и здесь	1	1
109	возможно только в	1	1
110	могут и должны	1	1
111	бы для него	1	1
112	и совсем не	1	1
113	самом деле ведь	1	1
114	по этому вопросу	1	1
115	в обществе а	1	1
116	мы уже знаем	2	1
117	он не только	1	1
118	для того чтобы	1	1
119	мог бы сделать	1	1
