N	3gram	Medvedev_U_1	OGranits
1	не может быть	4	4
2	в самом деле	2	2
3	художественного произведения как	1	2
4	в данном случае	1	2
5	с одной стороны	1	2
6	замкнутая в себе	1	2
7	с другой стороны	3	2
8	в том что	2	2
9	как и всякого	1	1
10	более или менее	1	1
11	равно как и	1	1
12	то же самое	2	1
13	в его эстетической	1	1
14	не было бы	1	1
15	в этом отношении	2	1
16	нам представляется не	1	1
17	и всякого художника	1	1
18	говорит в.м жирмунский	2	1
19	эстетического объекта и	1	1
20	в значительной мере	1	1
21	мы полагаем что	1	1
22	в поэтическом творчестве	1	1
23	проблем связанных с	1	1
24	не входит в	1	1
25	что он называет	1	1
26	и в их	1	1
27	само по себе	1	1
28	то же время	3	1
29	все же остается	1	1
30	его эстетической функции	1	1
31	но в то	1	1
32	в конечном счете	4	1
33	на то что	1	1
34	с проблемой художественной	1	1
35	в то же	3	1
36	тех или иных	2	1
37	эстетического объекта в	1	1
