N	2gram	Medvedev_I_1	FransuaR
1	и в	1	65
2	и др	1	24
3	и не	2	22
4	в этом	2	15
5	все эти	1	10
6	так и	1	10
7	все это	1	9
8	в основе	1	8
9	жизни и	1	7
10	никогда не	1	6
11	в значительной	1	6
12	в них	1	5
13	для него	1	5
14	и еще	1	4
15	и с	3	3
16	на котором	1	3
17	ничего не	2	3
18	с другой	1	3
19	что в	2	3
20	эти произведения	1	2
21	он не	2	2
22	это было	1	2
23	и без	1	2
24	и очень	1	2
25	есть только	1	2
26	значительной мере	1	2
27	во многом	1	2
28	того что	1	2
29	в целом	1	2
30	тех же	1	1
31	и ничего	1	1
32	нам в	1	1
33	говорить о	1	1
34	видит в	1	1
35	по отношению	1	1
36	это был	1	1
37	не остается	1	1
38	от этого	1	1
39	для того	1	1
40	же это	1	1
41	и сам	1	1
42	них не	1	1
43	др он	1	1
44	только для	1	1
45	вплоть до	1	1
46	другой стороны	1	1
47	не чужд	1	1
48	что при	1	1
49	того чтобы	1	1
50	его ученики	1	1
51	и многое	1	1
52	понимания жизни	1	1
53	и та	1	1
54	утверждает что	1	1
55	бы в	1	1
56	то и	1	1
57	не увидел	1	1
58	без этого	1	1
59	тем что	1	1
60	стороны он	1	1
61	многое другое	1	1
62	в эту	1	1
63	отношению к	1	1
