N	2gram	Medvedev_V_1	Literetu
1	и не	19	22
2	и в	26	16
3	в этом	26	14
4	не только	25	14
5	но и	10	14
6	в том	15	12
7	может быть	22	12
8	а не	7	12
9	то что	6	12
10	в частности	11	11
11	не в	6	10
12	то же	10	9
13	так и	5	9
14	в то	6	9
15	того что	3	9
16	в этой	4	8
17	в жизни	2	8
18	том что	8	8
19	не может	17	8
20	как бы	5	8
21	в своей	4	7
22	же время	5	7
23	только в	7	7
24	точки зрения	3	7
25	еще не	2	6
26	с его	3	6
27	в себе	6	6
28	в другом	2	6
29	в стихотворении	1	6
30	о том	10	6
31	и его	6	6
32	в его	14	6
33	с другой	11	6
34	к тому	4	6
35	в стихах	1	6
36	в году	6	5
37	как в	1	5
38	всего лишь	3	5
39	в целом	4	5
40	тому же	1	5
41	то есть	1	5
42	лишь в	2	5
43	это не	7	5
44	соответствии с	1	5
45	как и	7	5
46	в основе	1	5
47	этом отношении	13	5
48	в ее	4	5
49	что он	4	5
50	в качестве	11	5
51	в поэзии	1	5
52	именно в	2	5
53	а именно	1	5
54	вместе с	7	5
55	а в	3	5
56	с жизнью	1	4
57	одним из	5	4
58	но не	2	4
59	по отношению	7	4
60	хотя и	2	4
61	и если	1	4
62	входит в	1	4
63	должно быть	2	4
64	даже в	5	4
65	не говоря	1	4
66	никогда не	4	4
67	художника в	6	4
68	говоря уже	1	4
69	данном случае	1	4
70	а также	1	4
71	с одной	2	4
72	в начале	1	4
73	из них	9	4
74	в одном	4	4
75	как будто	1	4
76	как у	2	4
77	одной стороны	2	4
78	в данном	1	4
79	по существу	3	4
80	и для	2	4
81	об искусстве	1	4
82	отношению к	7	4
83	например в	3	3
84	самом деле	1	3
85	с ее	1	3
86	отнюдь не	3	3
87	и как	3	3
88	и наконец	2	3
89	и к	3	3
90	но в	2	3
91	то в	1	3
92	бы и	6	3
93	на его	1	3
94	а затем	2	3
95	в слове	3	3
96	взгляд на	1	3
97	на свою	1	3
98	только для	1	3
99	произведения в	7	3
100	однако если	1	3
101	потому что	1	3
102	в области	2	3
103	личности в	1	3
104	уже о	1	3
105	для его	4	3
106	еще в	1	3
107	не случайно	1	3
108	искусства и	1	3
109	прежде всего	13	3
110	между тем	5	3
111	вслед за	2	3
112	ни к	1	3
113	совершенно не	1	3
114	уже не	1	3
115	в единстве	4	3
116	в самом	4	3
117	наконец в	1	3
118	в соответствии	1	3
119	о чем	2	3
120	мира в	1	3
121	как это	12	3
122	тому как	2	3
123	это как	1	3
124	в романе	4	3
125	жизни и	3	3
126	как на	3	3
127	том числе	2	3
128	художественного произведения	6	2
129	жизни к	1	2
130	поэзии и	1	2
131	как мы	1	2
132	вопрос о	1	2
133	не вполне	2	2
134	на себя	1	2
135	из того	1	2
136	мы и	1	2
137	то это	2	2
138	во всех	6	2
139	а и	1	2
140	отношение к	1	2
141	оказывается не	1	2
142	стороны и	2	2
143	все же	5	2
144	когда он	3	2
145	к идее	1	2
146	в противоположность	3	2
147	так или	1	2
148	он в	1	2
149	на то	1	2
150	все они	2	2
151	в нем	6	2
152	не как	1	2
153	том чтобы	2	2
154	в творческом	2	2
155	подобно тому	2	2
156	художественное творчество	6	2
157	человека в	2	2
158	в работе	3	2
159	а по	1	2
160	его в	3	2
161	знает что	1	2
162	было бы	7	2
163	и даже	2	2
164	той или	1	2
165	далеко не	2	2
166	со своими	1	2
167	не всегда	1	2
168	он и	2	2
169	несмотря на	1	2
170	еще раз	1	2
171	и при	5	2
172	художественного творчества	18	2
173	и ее	4	2
174	не удивительно	4	2
175	об отсутствии	1	2
176	одном из	3	2
177	вплоть до	2	2
178	в конце	3	2
179	и наоборот	1	2
180	по себе	2	2
181	не менее	2	2
182	с которой	1	2
183	художника и	7	2
184	как о	2	2
185	от жизни	1	2
186	того чтобы	3	2
187	о природе	1	2
188	жизни не	1	2
189	записывает в	1	2
190	как раз	3	2
191	другой стороны	8	2
192	целом и	1	2
193	у нас	2	2
194	же самое	2	2
195	числе и	2	2
196	удивительно что	3	2
197	для такого	1	2
198	с по	1	2
199	и сам	1	2
200	что у	2	2
201	искусство как	2	2
202	мира и	3	2
203	если бы	3	2
204	о нем	1	2
205	из рассказа	2	2
206	можно сказать	4	2
207	что и	3	2
208	во всей	2	2
209	в ту	1	2
210	как например	2	2
211	но с	2	2
212	здесь не	1	2
213	вне себя	1	2
214	с ними	4	2
215	связи с	4	2
216	для него	8	2
217	тем что	1	2
218	и вместе	1	2
219	для того	3	2
220	или иной	2	2
221	или иначе	1	2
222	бытия в	1	2
223	себя и	1	2
224	что не	3	2
225	в живом	1	2
226	не означает	1	2
227	если не	1	2
228	что художник	3	2
229	так же	3	2
230	и потому	2	2
231	если это	1	2
232	никем не	1	2
233	с этой	1	2
234	художественное произведение	5	2
235	один из	5	2
236	по аналогии	1	2
237	за его	1	2
238	что в	10	2
239	в каждой	1	2
240	внимание на	1	2
241	же в	6	2
242	романа и	1	2
243	в свою	1	2
244	еще и	2	2
245	ее в	4	2
246	в своих	2	2
247	к этому	9	2
248	как известно	2	1
249	и т	23	1
250	автора так	1	1
251	начинается с	1	1
252	о работе	3	1
253	и то	1	1
254	исходя из	1	1
255	в стороне	1	1
256	это и	6	1
257	путем не	1	1
258	и есть	5	1
259	из его	3	1
260	все те	1	1
261	по его	2	1
262	обойтись без	1	1
263	всей ее	1	1
264	который в	1	1
265	смотреть на	1	1
266	бы уже	1	1
267	из своих	2	1
268	в последнем	2	1
269	говорить о	2	1
270	в деле	1	1
271	работе над	6	1
272	и он	2	1
273	в ней	2	1
274	проявляется в	1	1
275	и мысль	1	1
276	он был	1	1
277	он сам	2	1
278	именно этого	2	1
279	ответа на	1	1
280	быть в	1	1
281	в последних	1	1
282	в чем	2	1
283	во имя	1	1
284	сознания а	1	1
285	не знала	1	1
286	у вл	1	1
287	если в	2	1
288	конечном счете	5	1
289	очевидно что	7	1
290	органической связи	2	1
291	уже как	1	1
292	он пишет	7	1
293	нет и	3	1
294	за пределы	1	1
295	вмешивается в	1	1
296	сама по	1	1
297	к сожалению	2	1
298	что автор	1	1
299	однако от	1	1
300	в истории	1	1
301	своем дневнике	1	1
302	с этим	3	1
303	и дети	1	1
304	в художественном	10	1
305	в своем	8	1
306	и целого	1	1
307	перед нами	4	1
308	сознания в	1	1
309	что по	1	1
310	более или	6	1
311	или иную	1	1
312	видения мира	1	1
313	художника перед	1	1
314	бы не	2	1
315	у каждого	1	1
316	определена как	1	1
317	т п	9	1
318	ни одна	2	1
319	уже в	1	1
320	ее как	2	1
321	как он	2	1
322	закрепленное в	1	1
323	для творца	1	1
324	над материалом	1	1
