N	3gram	Savitsky_E_1	SlovoVZh
1	не может быть	2	7
2	можно сказать что	3	5
3	дело в том	1	4
4	в том что	6	4
5	бы то ни	4	3
6	может быть и	1	3
7	этой точки зрения	5	3
8	и не в	1	3
9	то ни было	4	3
10	с другой стороны	2	2
11	одной стороны и	6	2
12	с точки зрения	16	2
13	мы можем сказать	2	2
14	в отношении к	12	2
15	в данном случае	2	2
16	с одной стороны	8	2
17	тех или иных	1	1
18	каких бы то	2	1
19	один и тот	1	1
20	и в этом	4	1
21	следует отметить что	1	1
22	или хотя бы	2	1
23	то время как	1	1
24	более или менее	1	1
25	друг к другу	1	1
26	во всяком случае	3	1
27	одна и та	1	1
28	уже и сейчас	1	1
29	как одно из	1	1
30	в этом смысле	3	1
31	нам кажется что	2	1
32	по себе не	2	1
33	физические и химические	1	1
34	же как и	3	1
35	в нем и	1	1
36	в то время	1	1
37	в частности в	2	1
38	хотя бы только	1	1
39	а не к	1	1
40	в свою очередь	2	1
41	но и в	1	1
42	же время не	1	1
43	и та же	1	1
44	и притом с	1	1
45	от того в	1	1
46	в этом отношении	3	1
47	поскольку они являются	1	1
48	и прежде всего	3	1
49	можно было бы	3	1
50	в пределах этого	1	1
51	то же время	14	1
52	в противном случае	1	1
53	в лучшем случае	1	1
54	мы видели в	1	1
55	в то же	15	1
56	и в частности	2	1
57	нужно думать что	1	1
58	как не может	1	1
59	в значительной степени	1	1
60	к которой принадлежит	1	1
61	на одну доску	1	1
62	так же как	5	1
63	и в своем	1	1
64	но в процессе	1	1
65	к тому же	1	1
66	но в то	2	1
67	мы увидим что	1	1
68	в том же	1	1
69	не нужно думать	1	1
70	и тот же	1	1
