N	3gram	Berdyaev_N_1	Analitik
1	в том что	1	7
2	с другой стороны	2	5
3	о том что	1	5
4	как и в	1	4
5	и того же	1	3
6	одного и того	1	3
7	подобно тому как	3	2
8	в отличие от	1	2
9	в значительной степени	1	2
10	с одной стороны	2	2
11	во всяком случае	1	2
12	по своей природе	1	1
13	прежде всего они	1	1
14	а не с	1	1
15	в истории не	1	1
16	в этом смысле	2	1
17	до сих пор	1	1
18	в зависимости от	1	1
19	со всех сторон	3	1
20	в том чтобы	1	1
21	не только в	1	1
22	в известном смысле	1	1
23	ни за какие	1	1
24	и потому оно	1	1
25	не могут быть	1	1
26	по природе своей	1	1
27	не в том	1	1
28	лишь в том	1	1
29	лицом к лицу	3	1
30	бог не есть	1	1
31	не менее чем	1	1
32	не может быть	4	1
33	что в новом	1	1
34	не должно быть	1	1
35	вопрос о том	2	1
36	в большинстве случаев	1	1
37	было бы сказать	1	1
38	бы он и	1	1
