N	2gram	Tiupa_Hudo_2	KulturaY
1	и т	4	54
2	т п	2	41
3	т е	2	32
4	и в	28	23
5	точки зрения	2	23
6	в том	15	22
7	не только	11	17
8	в этом	13	16
9	было бы	3	16
10	с точки	2	16
11	самом деле	3	14
12	может быть	8	14
13	в области	1	14
14	в самом	5	13
15	что в	5	13
16	не менее	5	12
17	потому что	2	12
18	для того	4	12
19	том что	19	11
20	того чтобы	4	11
21	можно было	3	11
22	в его	11	11
23	того что	1	11
24	а не	14	11
25	и не	18	10
26	еще не	3	9
27	тем не	4	9
28	хотя бы	2	9
29	так как	1	9
30	прежде всего	3	9
31	т д	2	8
32	лишь в	2	8
33	если бы	6	8
34	уже не	10	8
35	до сих	2	8
36	сих пор	2	8
37	как на	2	8
38	как это	7	7
39	все эти	1	7
40	в нашем	2	7
41	того как	2	7
42	те же	2	7
43	и что	1	7
44	с другой	3	7
45	или иной	2	7
46	на фоне	3	7
47	в данном	2	7
48	слова и	1	7
49	сказать что	2	7
50	то же	6	6
51	говорить о	2	6
52	в общем	1	6
53	в силу	1	6
54	только в	4	6
55	так и	8	6
56	при этом	11	6
57	и тем	1	6
58	ничего не	5	6
59	не может	4	6
60	по себе	1	6
61	о том	12	6
62	после того	1	6
63	что и	4	6
64	что он	8	6
65	также и	1	5
66	в первом	2	5
67	как мы	2	5
68	я не	7	5
69	независимо от	1	5
70	все же	2	5
71	хотя и	1	5
72	из этих	2	5
73	как бы	5	5
74	что она	7	5
75	как и	11	5
76	не в	13	5
77	вовсе не	2	5
78	от того	1	5
79	той или	1	5
80	тем что	6	5
81	на которых	1	5
82	что же	2	5
83	но это	1	5
84	а в	6	5
85	совершенно не	1	5
86	тех же	1	4
87	отношения между	1	4
88	в сущности	1	4
89	столь же	3	4
90	точка зрения	1	4
91	как в	5	4
92	в своем	5	4
93	только тогда	1	4
94	лишь с	1	4
95	том случае	1	4
96	в своей	6	4
97	не столько	2	4
98	том чтобы	1	4
99	же мы	1	4
100	тому что	4	4
101	тем самым	2	4
102	о них	3	4
103	учения о	1	4
104	как раз	4	4
105	и о	4	4
106	в ее	18	4
107	данном случае	2	4
108	были бы	1	4
109	для нас	3	4
110	а также	2	4
111	заключается в	1	4
112	между тем	8	4
113	один из	2	4
114	с одной	3	4
115	в нашей	1	4
116	что не	2	4
117	не случайно	10	4
118	не было	6	4
119	одной стороны	3	4
120	в той	1	4
121	этом случае	1	4
122	то что	6	4
123	только как	1	4
124	в таком	1	4
125	в слове	1	4
126	я и	6	3
127	это и	1	3
128	то в	4	3
129	по преимуществу	3	3
130	той же	2	3
131	пока он	1	3
132	мы не	1	3
133	в ней	3	3
134	но не	4	3
135	то он	1	3
136	но как	1	3
137	по отношению	7	3
138	отношение к	2	3
139	отнюдь не	2	3
140	и к	2	3
141	бы и	4	3
142	что это	5	3
143	бы не	3	3
144	тому же	2	3
145	он не	4	3
146	и с	6	3
147	зрения на	2	3
148	и рядом	1	3
149	с этой	1	3
150	установка на	1	3
151	и более	1	3
152	что сам	1	3
153	она не	5	3
154	в то	6	3
155	как о	3	3
156	на него	3	3
157	не по	2	3
158	что на	3	3
159	но и	9	3
160	нас в	1	3
161	из практики	1	3
162	это не	6	3
163	и только	2	3
164	как же	2	3
165	а лишь	1	3
166	я в	1	3
167	уже в	1	3
168	могло бы	1	3
169	именно в	2	3
170	а именно	1	3
171	а с	3	3
172	в ряду	2	3
173	когда мы	1	3
174	по существу	1	3
175	там где	1	3
176	того или	2	3
177	но для	1	3
178	это уже	2	3
179	к тому	7	3
180	другой стороны	1	3
181	или иного	2	3
182	по поводу	3	3
183	таком случае	1	2
184	чтобы не	3	2
185	и через	1	2
186	было как	1	2
187	к другому	1	2
188	отношению к	7	2
189	этой фразы	1	2
190	бы уже	1	2
191	на материале	1	2
192	мы имеем	1	2
193	смысле можно	1	2
194	содержания в	1	2
195	ответить на	1	2
196	на себя	3	2
197	здесь не	2	2
198	в различных	1	2
199	не то	1	2
200	не все	3	2
201	не просто	1	2
202	или иное	1	2
203	за пределы	1	2
204	что они	4	2
205	более чем	2	2
206	как к	1	2
207	на минуту	1	2
208	когда он	1	2
209	имеет в	1	2
210	самое важное	1	2
211	но в	2	2
212	для которого	1	2
213	он в	1	2
214	и тот	1	2
215	как он	3	2
216	так сказать	1	2
