N	3gram	Bakhtin_sl_1	Hudozhes
1	о том что	1	9
2	и т п	23	8
3	то же время	12	8
4	в то же	12	8
5	в том что	1	6
6	можно было бы	2	4
7	к тому что	2	4
8	с точки зрения	8	3
9	в этом отношении	1	3
10	но в то	4	3
11	тем не менее	1	3
12	как и в	1	3
13	и т д	5	3
14	того или иного	2	2
15	до сих пор	2	2
16	не только в	2	2
17	в значительной степени	1	2
18	так или иначе	1	2
19	не может быть	1	2
20	несет на себе	1	2
21	а между тем	2	1
22	не может не	5	1
23	сам он в	1	1
24	и там где	2	1
25	но у него	1	1
26	все дело в	1	1
27	прежде всего в	1	1
28	отношения автора к	1	1
29	может быть только	2	1
30	и в этом	2	1
31	и в то	5	1
32	с самого начала	1	1
33	до известной степени	2	1
34	более или менее	3	1
35	с ним в	1	1
36	на самом же	1	1
37	в отличие от	1	1
38	себе самому и	1	1
39	ничего не нужно	1	1
40	с этой точки	1	1
41	в узком смысле	10	1
42	различия между романом	1	1
43	в первом случае	2	1
44	в первый раз	1	1
45	а также и	1	1
46	так и в	3	1
47	к одному из	1	1
48	в том и	2	1
49	во всяком случае	5	1
50	не только на	2	1
51	самом же деле	1	1
52	не укладывается в	2	1
53	т п не	1	1
54	в свое время	1	1
55	в стороне от	1	1
56	непосредственно в пределах	1	1
57	в данном случае	3	1
58	узком смысле слова	1	1
59	в свою очередь	2	1
60	этой точки зрения	1	1
61	никогда не бывает	1	1
62	не только не	1	1
63	создают вокруг себя	1	1
64	с его установкой	1	1
65	между романом и	1	1
66	но в этом	1	1
67	даже в самых	1	1
68	или иного конкретного	2	1
69	мы не знаем	1	1
70	с одной стороны	4	1
71	слова никогда не	1	1
72	этим не исчерпывается	1	1
73	друг с другом	2	1
74	в настоящем и	1	1
75	друг друга и	1	1
76	о нем и	2	1
